Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,8/31/2021,1.52,3/25/2020,1.56,3/1/2020,1.56,1/28/2020,1.56,12/31/2019,1.56,,,,,,,,,,,,,,
,5/29/2021,1.43,,1.5,,1.5,,1.48,,1.48,,,,,,,,,,,,,,
,2/28/2021,0.93,,0.92,,0.92,,0.92,,0.92,,,,,,,,,,,,,,
,11/29/2020,1.03,,1.03,,1.03,,1.04,,1.04,,,,,,,,,,,,,,
,8/31/2020,1.36,,1.35,,1.35,,1.35,,1.35,,1.27,,1.27,,1.25,,1.27,,1.075,,1.0925,,
,5/29/2020,1.24,,1.27,,1.27,,1.26,,1.26,,1.23,,1.23,,1.25,,1.26,,1.27,,1.075,,1.0925
3/25/2020,2/28/2020,0.51,,0.69,,0.71,,0.71,,0.73,,0.73,,0.74,,0.73,,0.71,,1.075,,1.0925,,
12/20/2019,11/29/2019,0.44,,0.78,,0.86,,0.86,,0.85,,0.84,,0.83,,1.075,,1.0925,,,,,,
10/23/2019,8/30/2019,1.005,,1.02,,1.1,,1.1,,1.09,,1.11,,1.14,,1.15,,1.14,1.25,1.29,1.25,,,
6/19/2019,5/24/2019,1.143060296,,1.143060296,,0.99,,1.02,,1.06,,1.07,,1.21,,1.24,,1.25,1.22,1.21,1.24,,,
3/25/2019,2/22/2019,0.680809482,,0.58,,0.75,,0.76,,0.75,,0.85,,0.89,,0.86,0.78,,,,,,,
12/19/2018,11/23/2018,0.696580122,,0.64,,0.66,,0.72,,0.69,,0.79,,0.74,,,,,,,,,,
10/17/2018,8/31/2018,0.938119981,,0.91,,0.97,,0.99,,1,,,,,,,,,,,,,,
6/20/2018,5/31/2018,1.024186691,,0.91,,0.92,,1,,,,,,,,,,,,,,,,
3/21/2018,2/28/2018,0.6934137,,0.63,,,,,,,,,,,,,,,,,,,,
12/20/2017,11/24/2017,0.565214654,,0.52,,,,,,,,,,,,,,,,,,,,
10/19/2017,8/25/2017,0.785768333,,0.7,,,,,,,,,,,,,,,,,,,,
6/21/2017,5/26/2017,0.611877189,,0.72,,,,,,,,,,,,,,,,,,,,
3/22/2017,2/24/2017,0.482168781,,0.45,,,,,,,,,,,,,,,,,,,,
12/21/2016,11/25/2016,0.41967893,,0.31,,,,,,,,,,,,,,,,,,,,
,8/26/2016,0.486240568,,0.47,,,,,,,,,,,,,,,,,,,,
,5/27/2016,0.534661532,,0.44,,,,,,,,,,,,,,,,,,,,
,2/26/2016,0.346252082,,0.33,,,,,,,,,,,,,,,,,,,,
,11/27/2015,0.316178372,,0.37,,,,,,,,,,,,,,,,,,,,
,8/28/2015,0.433064755,,0.47,,,,,,,,,,,,,,,,,,,,
,5/28/2015,0.425527192,,0.41,,,,,,,,,,,,,,,,,,,,
,2/27/2015,0.299652084,,0.38,,,,,,,,,,,,,,,,,,,,
,11/28/2014,0.365425807,,0.45,,,,,,,,,,,,,,,,,,,,
,8/29/2014,0.475663147,,,,,,,,,,,,,,,,,,,,,,
,5/30/2014,0.416742926,,,,,,,,,,,,,,,,,,,,,,
,2/28/2014,0.346017891,,,,,,,,,,,,,,,,,,,,,,
,11/29/2013,0.398484144,,,,,,,,,,,,,,,,,,,,,,
,8/30/2013,0.378885756,,,,,,,,,,,,,,,,,,,,,,
,5/31/2013,0.27275964,,,,,,,,,,,,,,,,,,,,,,
,3/1/2013,0.222943493,,,,,,,,,,,,,,,,,,,,,,
,11/30/2012,0.260604351,,,,,,,,,,,,,,,,,,,,,,
,8/30/2012,1.406063106,,,,,,,,,,,,,,,,,,,,,,
,5/25/2012,0.134675187,,,,,,,,,,,,,,,,,,,,,,
,2/24/2012,-0.031181619,,,,,,,,,,,,,,,,,,,,,,
,11/25/2011,0.035430645,,,,,,,,,,,,,,,,,,,,,,
,8/26/2011,0.121476763,,,,,,,,,,,,,,,,,,,,,,
,5/27/2011,0.040992042,,,,,,,,,,,,,,,,,,,,,,
,2/25/2011,0.113839286,,,,,,,,,,,,,,,,,,,,,,
,11/26/2010,0.130036064,,,,,,,,,,,,,,,,,,,,,,
,8/27/2010,0.168057702,,,,,,,,,,,,,,,,,,,,,,
,5/28/2010,0.205861133,,,,,,,,,,,,,,,,,,,,,,
,2/26/2010,0.024268674,,,,,,,,,,,,,,,,,,,,,,
,11/27/2009,-0.046207798,,,,,,,,,,,,,,,,,,,,,,
,8/28/2009,-1.728282933,,,,,,,,,,,,,,,,,,,,,,
,5/29/2009,-0.29436261,,,,,,,,,,,,,,,,,,,,,,
,2/27/2009,-0.357398609,,,,,,,,,,,,,,,,,,,,,,
,11/28/2008,-0.330452151,,,,,,,,,,,,,,,,,,,,,,
,8/29/2008,-0.437050298,,,,,,,,,,,,,,,,,,,,,,
,5/30/2008,0.103277334,,,,,,,,,,,,,,,,,,,,,,
,2/29/2008,0.086691465,,,,,,,,,,,,,,,,,,,,,,
,11/30/2007,0.338383152,,,,,,,,,,,,,,,,,,,,,,
,8/24/2007,0.485446102,,,,,,,,,,,,,,,,,,,,,,
