CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Y,,12/31/2026,,2.79,1/11/2026,2.79,11/27/2025,2.81,10/24/2025,2.76,9/29/2025,2.74,8/26/2025,2.77,7/21/2025,2.77,7/7/2025,,,
,,9/30/2026,,2.72,,2.74,,2.73,,2.7,,2.69,,2.75,,2.74,,,,
,,6/30/2026,,2.54,,2.56,,2.55,,2.54,,2.54,,2.6,,2.61,,,,
,,3/30/2026,,2.32,,2.33,,2.34,,2.33,,2.33,,2.37,,2.38,,,,
,,12/31/2025,,2.39,12/30/2024,2.42,12/30/2024,2.44,12/30/2024,2.46,12/30/2024,2.45,12/30/2024,2.49,12/30/2024,2.51,12/30/2024,,,
,10/21/2025,9/30/2025,2.28,2.28,,2.09,,2.08,,2.3,,2.31,,,,,,,,
,7/17/2025,6/30/2025,2.07,2.07,,2.03,,2.03,,2.08,,,,,,,,,,
,4/21/2025,3/30/2025,1.79,1.79,,1.8,,1.84,,1.92,,,,,,,,,,
,1/27/2025,12/31/2024,1.95,1.95,3/10/2024,1.91,3/10/2024,2.04,3/10/2024,2.05,3/10/2024,,,,,,,,,
,10/17/2024,9/30/2024,1.8,1.8,,1.91,,1.91,,1.95,,,,,,,,,,
,7/18/2024,6/30/2024,1.75,1.75,,1.73,,1.84,,1.89,,,,,,,,,,
,4/18/2024,3/30/2024,1.6,1.72,,1.68,,1.76,,1.8,,,,,,,,,,
,1/25/2024,12/31/2023,1.33,1.33,,1.92,,1.92,,1.91,,,,,,,,,,
,10/19/2023,9/30/2023,1.97,1.84,,1.9,,1.9,,1.9,,,,,,,,,,
,7/18/2023,6/30/2023,1.96,1.96,,1.99,,2.02,,2.02,,,,,,,,,,
,4/18/2023,3/30/2023,1.28,2.3,,2.38,,2.38,,2.56,,,,,,,,,,
,1/24/2023,12/31/2022,2.67,2.67,,2.68,,2.68,,2.82,,,,,,,,,,
,10/20/2022,9/30/2022,2.42,2.42,,2.61,,2.61,,2.63,,,,,,,,,,
,7/21/2022,6/30/2022,2.39,2.39,,2.33,,2.34,,2.35,,,,,,,,,,
,4/21/2022,3/31/2022,2.22,2.22,,2.13,,2.24,,2.24,,,,,,,,,,
,1/27/2022,12/31/2021,2.32,2.32,,2.3,,2.3,,2.32,,,,,,,,,,
,10/21/2021,9/30/2021,2.28,2.28,,2.21,,2.21,,2.1,,,,,,,,,,
,7/15/2021,6/30/2021,2.17,2.17,,1.92,,1.92,,1.68,,,,,,,,,,
,4/15/2021,3/31/2021,1.9,1.9,,1.47,,1.47,,1.24,,,,,,,,,,
,1/21/2021,12/31/2020,1.93,1.93,,1.31,,1.3,,1.09,3/25/2020,,,,,,,,,
,10/22/2020,9/30/2020,1.36,1.36,,0.92,,0.91,,0.92,,,,,,,,,,
,7/16/2020,6/30/2020,0.93,0.93,,0.77,,0.82,,0.79,,,,,,,,,,
,4/16/2020,3/31/2020,0.83,0.83,,1.18,,1.2,,1.19,,,,,,,,,,
,1/23/2020,12/31/2019,1.25,1.25,,1.2,,1.21,,1.2,1.21,,,,,,,,,
,10/17/2019,9/30/2019,1.243277274,1.24,,1.19,,1.2,,1.19,1.2,,,,,,,,,
,7/18/2019,6/28/2019,1.187775964,1.19,,1.16,,1.13,,1.14,1.12,,,,,,,,,
,4/22/2019,3/29/2019,1.156219191,1.16,,1.09,,1.08,,1.09,1.08,,,,,,,,,
,1/24/2019,12/31/2018,1.131071557,1.13,,1.07,,1.08,,1.05,0.94,,,,,,,,,
,10/18/2018,9/28/2018,1.049667029,1.05,,1.03,,1.04,,1.02,0.91,,,,,,,,,
,7/19/2018,6/29/2018,0.992970973,0.99,,0.98,,0.97,,0.98,0.96,,,,,,,,,
,4/19/2018,3/29/2018,0.957996278,0.96,,0.93,,0.84,,0.83,0.81,,,,,,,,,
,1/25/2018,12/29/2017,0.849587311,,,0.83,,0.81,,0.8,0.79,,,,,,,,,
,10/19/2017,9/29/2017,0.789559947,,,0.78,,0.76,,0.77,0.76,,,,,,,,,
,7/20/2017,6/30/2017,0.761302299,,,0.73,,0.72,,0.7,0.71,,,,,,,,,
,4/20/2017,3/31/2017,0.699731008,,,0.69,,0.71,,0.69,0.68,,,,,,,,,
,,12/30/2016,0.666253043,,,0.67,,0.68,,0.67,0.63,,,,,,,,,
,,9/30/2016,0.641253204,,,0.65,,0.66,,0.65,0.61,,,,,,,,,
,,6/30/2016,0.59546544,,,0.61,,0.62,,0.61,0.58,,,,,,,,,
,,3/31/2016,0.598139226,,,0.56,,0.54,,0.52,0.51,,,,,,,,,
,,12/31/2015,0.573750564,,,0.54,,0.49,,0.47,0.49,,,,,,,,,
,,9/30/2015,0.580752561,,,0.46,,0.47,,0.48,0.47,,,,,,,,,
,,6/30/2015,0.388714734,,,0.46,,0.45,,0.44,,,,,,,,,,
,,3/31/2015,0.452380952,,,0.43,,0.42,,,,,,,,,,,,
,,12/31/2014,0.455521838,,,0.43,,,,,,,,,,,,,,
,,9/30/2014,0.463230256,,,0.4,,,,,,,,,,,,,,
