CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,
Y,,12/31/2021,1.43,1/19/2021,1.45,1/10/2021,1.45,12/9/2020,1.45,11/8/2020,1.39,10/15/2020,1.34,9/13/2020,1.36,8/4/2020,1.36,7/11/2020,1.36,7/6/2020,1.36,,,,,,,,
,,9/30/2021,1.47,,1.48,,1.47,,1.53,,1.56,,1.54,,1.47,,1.47,,1.47,,1.47,,,,,,,,
,,6/30/2021,1.13,,1.13,,1.07,,1.26,,1.34,,1.39,,1.35,,1.35,,1.35,,1.35,,,,,,,,
,,3/31/2021,0.81,,0.8,,0.72,,0.93,,0.99,,1,,1.15,,1.15,,1.15,,1.15,,,,,,,,
,,12/31/2020,0.66,,0.65,,0.65,,0.89,,0.92,,0.93,,0.95,,0.95,,0.94,,0.94,,1.28,,0.37,,0.48,,0.33
,11/5/2020,9/30/2020,0.6,,0.7,,0.7,,0.8,,0.8,,0.79,,0.79,,1.31,,0.97,,0.55,,0.4,,,,,,
,8/4/2020,6/30/2020,0.02,,-0.28,,0.31,,0.31,,1.27,,0.65,,0.61,,0.5,,,,,,,,,,,,
,4/30/2020,3/31/2020,1.723421516,,0.99,,0.94,,0.16,,0.69,,1.05,,,,,,,,,,,,,,,,
,3/5/2020,12/31/2019,11.61506657,,2.56,,0,,0.25,,0.74,,0.56,,0.4275,,,,,,,,,,,,,,
,11/5/2019,9/30/2019,-0.40811501,,-0.40811501,,0.74,,0.61,,0.4275,,,,,,,,,,,,,,,,,,
,8/6/2019,6/28/2019,-1.640611718,,-0.59,,-0.08,,0.57,,0.4275,,,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,-1.16198407,,-0.72,,0.32,,0.4275,,,,,,,,,,,,,,,,,,,,
,3/5/2019,12/31/2018,0.484271305,,0.21,,0.37,,0.36,,0.6,,,,,,,,,,,,,,,,,,
,8/6/2018,9/28/2018,0.534971354,,0.49,,0.65,,0.78,,,,,,,,,,,,,,,,,,,,
,5/3/2018,6/29/2018,0.783175947,,0.46,,0.67,,,,,,,,,,,,,,,,,,,,,,
,3/8/2018,3/29/2018,5.299299437,,0.28,,-0.11,,,,,,,,,,,,,,,,,,,,,,
,11/7/2017,12/29/2017,-0.438485797,,-0.05,,0.77,,0.08,,,,,,,,,,,,,,,,,,,,
,8/3/2017,9/29/2017,-0.293326955,,-0.4,,0.76,,0.53,,,,,,,,,,,,,,,,,,,,
,5/4/2017,6/30/2017,-0.899925954,,0.07,,0.17,,0.46,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,-0.412289961,,-0.51,,-0.02,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.511565795,,0.44,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.591690079,,0.65,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.161885611,,0.21,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.037176174,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,-2.174968231,,0.84,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,-0.357517521,,-0.19,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,-0.045751401,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,-0.858988612,,-0.42,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,1.598969669,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.106146292,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.272284131,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,-0.052415304,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.8,,0.75,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,2.31,,0.59,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.62,,0.62,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,1.25,,0.51,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,-0.03,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,-0.24,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.39,,nan,,,,,,,,,,,,,,,,,,,,,,,,
