CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Non-GAAP,,12/31/2025,,0.71,10/15/2024,0.71,9/10/2024,0.71,9/9/2024,,,,,,,,,,,,,,,
,,9/30/2025,,-0.14,,-0.14,,-0.14,,,,,,,,,,,,,,,,
,,6/30/2025,,0.19,,0.19,,0.19,,,,,,,,,,,,,,,,
,,3/30/2025,,0.01,,0.01,,0.01,,,,,,,,,,,,,,,,
,,12/31/2024,,0.29,,0.29,,0.29,,,,,,,,,,,,,,,,
,,9/30/2024,,-0.42,,-0.42,,-0.42,,,,,,,,,,,,,,,,
,8/1/2024,6/30/2024,0.12,0.12,,0.12,,,,,,,,,,,,,,,,,,
,5/2/2024,3/30/2024,-0.3,-0.3,,-0.3,,,,,,,,,,,,,,,,,,
,2/15/2024,12/31/2023,-0.1,-0.1,,-0.1,,,,,,,,,,,,,,,,,,
,11/2/2023,9/30/2023,-0.61,-0.61,,-0.61,,,,,,,,,,,,,,,,,,
,8/3/2023,6/30/2023,-0.17,-0.17,,-0.17,,,,,,,,,,,,,,,,,,
,5/4/2023,3/30/2023,-0.87,-0.87,,-0.87,,,,,,,,,,,,,,,,,,
,2/16/2023,12/31/2022,-0.53,-0.53,,-0.53,,,,,,,,,,,,,,,,,,
,11/4/2022,9/30/2022,-1,-1,,-1,,,,,,,,,,,,,,,,,,
,8/5/2022,6/30/2022,-0.72,-0.5,,-0.5,,,,,,,,,,,,,,,,,,
,5/6/2022,3/31/2022,-0.73,-1.14,,-1.14,,,,,,,,,,,,,,,,,,
,2/18/2022,12/31/2021,-0.8,-0.8,,-0.8,,,,,,,,,,,,,,,,,,
,11/5/2021,9/30/2021,-1.35,-1.35,,-1.35,,,,,,,,,,,,,,,,,,
,8/6/2021,6/30/2021,-0.76,-0.76,,-0.76,,,,,,,,,,,,,,,,,,
,5/7/2021,3/31/2021,-0.87,-0.87,,-0.87,,,,,,,,,,,,,,,,,,
,,12/31/2020,-1,-1,,-1,,,,,,,,,,,,,,,,,,
,,9/30/2020,-1.01,-1.01,,-1.01,,,,,,,,,,,,,,,,,,
,,6/30/2020,-1.01,-1.01,,-1.01,,,,,,,,,,,,,,,,,,
,,3/31/2020,-1.01,-1.01,,-1.01,,,,,,,,,,,,,,,,,,
