CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,12/31/2024,,-0.1,2/18/2024,-0.1,12/31/2023,-0.1,11/11/2023,-0.1,9/27/2023,0.1,8/10/2023,-0.24,6/20/2023,-0.37,5/11/2023,,3/18/2023,-0.16,1/24/2023,-0.16,12/17/2022,-0.17,11/9/2022,-0.22,10/20/2022,-0.22,9/16/2022,-0.22,8/13/2022,0.01,7/20/2022,0.01,6/20/2022,0.12,5/14/2022,0.12,4/10/2022,,3/7/2022,0.03,2/19/2022,0.03,1/17/2022,0.09,12/9/2021,0.12,11/13/2021,0.14,10/18/2021,0.17,9/16/2021,0.2,8/14/2021,0.19,7/13/2021,0.19,6/14/2021,0.21,5/16/2021,0.15,4/3/2021,0.13,2/21/2021,0.14,1/14/2021,0.14,1/13/2021
,,9/30/2024,,-0.08,,-0.08,,-0.08,,-0.08,,-0.08,,-0.03,,0.02,,,,-0.06,,-0.06,,-0.06,,-0.08,,-0.08,,-0.08,,0.02,,0.02,,0.07,,0.07,,,,0.08,,0.08,,0.1,,0.13,,0.15,,0.18,,0.2,,0.2,,0.2,,0.22,,0.14,,0.13,,0.14,,0.14,
,,6/30/2024,,-0.07,,-0.07,,-0.08,,-0.06,,-0.06,,-0.05,,-0.02,,,,-0.06,,-0.06,,-0.06,,-0.07,,-0.07,,-0.07,,-0.02,,-0.02,,0.01,,0.01,,,,0.05,,0.05,,0.08,,0.13,,0.14,,0.17,,0.18,,0.18,,0.18,,0.18,,0.12,,0.1,,0.11,,0.11,
,,3/30/2024,,-0.11,,-0.11,,-0.11,,-0.09,,-0.09,,-0.09,,-0.09,,,,-0.1,,-0.1,,-0.1,,-0.1,,-0.1,,-0.1,,-0.04,,-0.04,,-0.04,,-0.04,,,,-0.01,,-0.01,,0.04,,0.09,,0.11,,0.14,,0.16,,0.16,,0.16,,0.16,,0.08,,0.06,,0.08,,0.08,
,,12/31/2023,,-0.13,3/18/2023,-0.13,3/18/2023,-0.13,3/18/2023,-0.12,3/18/2023,-0.12,3/18/2023,-0.08,3/18/2023,-0.13,3/18/2023,-0.16,3/18/2023,-0.16,1/24/2023,-0.16,12/17/2022,-0.17,11/9/2022,-0.22,10/20/2022,-0.22,9/16/2022,-0.22,8/13/2022,0.01,7/20/2022,0.01,6/20/2022,0.12,5/14/2022,0.12,4/10/2022,,3/7/2022,0.03,2/19/2022,0.03,1/17/2022,0.09,12/9/2021,0.12,11/13/2021,0.14,10/18/2021,0.17,9/16/2021,0.2,8/14/2021,0.19,7/13/2021,0.19,6/14/2021,0.21,5/16/2021,0.15,4/3/2021,0.13,2/21/2021,0.14,1/14/2021,0.14,1/13/2021
,11/8/2023,9/30/2023,-0.12,-0.12,,-0.11,,-0.11,,-0.06,,-0.05,,-0.04,,-0.06,,-0.06,,-0.06,,-0.08,,-0.08,,-0.08,,0.02,,0.02,,0.07,,0.07,,,,0.08,,0.08,,0.1,,0.13,,0.15,,0.18,,0.2,,0.2,,0.2,,0.22,,0.14,,0.13,,0.14,,0.14,,,,,
,8/8/2023,6/30/2023,-0.09,-0.09,,-0.08,,-0.07,,-0.07,,-0.06,,-0.06,,-0.06,,-0.07,,-0.07,,-0.07,,-0.02,,-0.02,,0.01,,0.01,,,,0.05,,0.05,,0.08,,0.13,,0.14,,0.17,,0.18,,0.18,,0.18,,0.18,,0.12,,0.1,,0.11,,0.11,,,,,,,,,
,5/9/2023,3/30/2023,-0.1,-0.1,,-0.11,,-0.1,,-0.1,,-0.1,,-0.1,,-0.1,,-0.1,,-0.04,,-0.04,,-0.04,,-0.04,,,,-0.01,,-0.01,,0.04,,0.09,,0.11,,0.14,,0.16,,0.16,,0.16,,0.16,,0.08,,0.06,,0.08,,0.08,,,,,,,,,,,,,
,3/15/2023,12/31/2022,-0.25,-0.25,,-0.11,,-0.11,,-0.11,,-0.11,,-0.12,,-0.12,,-0.05,,-0.05,,0.01,,0.05,,0.05,,0.03,2/19/2022,0.03,1/17/2022,0.09,12/9/2021,0.12,11/13/2021,0.14,10/18/2021,0.17,9/16/2021,0.2,8/14/2021,0.19,7/13/2021,0.19,6/14/2021,0.21,5/16/2021,0.15,4/3/2021,0.13,2/21/2021,0.14,1/14/2021,0.14,1/13/2021,,,,,,,,,,,,,,
,11/7/2022,9/30/2022,-0.12,-0.12,,-0.12,,-0.13,,-0.13,,-0.05,,-0.05,,0.02,,0.06,,0.07,,0.08,,0.08,,0.1,,0.13,,0.15,,0.18,,0.2,,0.2,,0.2,,0.22,,0.14,,0.13,,0.14,,0.14,,,,,,,,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,-2.24,-2.24,,-0.08,,-0.08,,-0.03,,0.03,,0.04,,0.05,,0.05,,0.08,,0.13,,0.14,,0.17,,0.18,,0.18,,0.18,,0.18,,0.12,,0.1,,0.11,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/10/2022,3/31/2022,-0.09,-0.09,,-0.08,,-0.07,,-0.01,,-0.01,,0.04,,0.09,,0.11,,0.14,,0.16,,0.16,,0.16,,0.16,,0.08,,0.06,,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/1/2022,12/31/2021,-0.07,-0.07,,-0.09,,-0.09,,0.01,,0.08,,0.1,,0.13,,0.15,,0.15,,0.15,,0.15,,0.15,4/3/2021,0.13,2/21/2021,0.14,1/14/2021,0.14,1/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/11/2021,9/30/2021,0.07,0.07,,0.09,,0.11,,0.13,,0.15,,0.15,,0.14,,0.14,,0.13,,0.14,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/12/2021,6/30/2021,0.11,0.11,,0.12,,0.12,,0.11,,0.12,,0.1,,0.11,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/12/2021,3/31/2021,0.1,0.1,,0.08,,0.06,,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/29/2021,12/31/2020,0.03,0.03,,0.07,,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/11/2020,9/30/2020,0.06,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/23/2020,6/30/2020,0.06,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/14/2020,3/31/2020,-0.05,-0.06,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/27/2020,12/31/2019,-0.02,-0.01,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/11/2019,9/30/2019,0.02,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2019,0.03,0.01,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/7/2019,3/29/2019,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/1/2019,12/31/2018,-0.1,-0.1,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
