CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,
,,9/30/1999,1.903518751,,,nan,,,,,,,,,,,,
,,6/30/1999,1.843185344,,,nan,,,,,,,,,,,,
,,3/31/1999,-5.875085807,,,nan,,,,,,,,,,,,
,,12/31/1998,3.459382088,,,nan,,,,,,,,,,,,
,,9/30/1998,1.922469032,,,nan,,,,,,,,,,,,
,,6/30/1998,1.424417675,,,nan,,,,,,,,,,,,
,,3/31/1998,-0.63518132,,,nan,,,,,,,,,,,,
,,12/31/1997,-0.695659448,,,nan,,,,,,,,,,,,
,,9/30/1997,1.594055972,,,nan,,,,,,,,,,,,
,,6/30/1997,1.334512172,,,nan,,,,,,,,,,,,
,,3/31/1997,-0.093638397,,,nan,,,,,,,,,,,,
,,12/31/1996,-0.48394221,,,nan,,,,,,,,,,,,
,,9/30/1996,1.363567776,,,nan,,,,,,,,,,,,
,,6/28/1996,1.249558766,,,nan,,,,,,,,,,,,
,,3/29/1996,0.135000889,,,nan,,,,,,,,,,,,
,,12/29/1995,0.223041331,,,nan,,,,,,,,,,,,
,,9/29/1995,0.93211424,,,nan,,,,,,,,,,,,
,,6/30/1995,0.399832174,,,nan,,,,,,,,,,,,
,,3/31/1995,-0.355321992,,,nan,,,,,,,,,,,,
