Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,12/31/2020,0.68,3/23/2020,0.95,2/13/2020,0.95,1/26/2020,0.95,1/10/2020,0.88,9/24/2019,0.81,,0.81,,0.83,,0.8452173909999999,,,,,
,9/30/2020,0.78,,0.89,,0.89,,0.88,,0.85,,0.89,,0.89,,0.88,,0.9,,0.861790281,,,
,6/30/2020,0.68,,0.84,,0.84,,0.85,,0.79,,0.84,,0.84,,0.85,,0.87,,0.8783631709999999,,,
,3/31/2020,0.55,,0.83,,0.83,,0.82,,0.68,,0.66,,0.66,,0.67,,0.59,,0.6712020459999999,,,
,12/31/2019,0.64,,0.97,,0.96,,0.98,,1.01,,1.01,,1.0,,0.97,,1.02,,0.88,0.9,0.89,0.78
,9/30/2019,1.05,,0.99,,1.06,,1.06,,1.05,,1.04,,1.0,,0.96,0.91,0.88,,,,,
,6/28/2019,1.1041517440000002,,1.04,,1.05,,1.08,,1.06,,0.93,,0.91,0.81,0.76,,,,,,,
,3/29/2019,0.9807051859999999,,0.83,,0.81,,0.74,,0.72,,0.6,,0.57,,,,,,,,,
,12/31/2018,1.195839804,,0.9,,0.85,,0.84,,0.83,,0.74,,0.65,0.53,,,,,,,,
,9/28/2018,1.031618302,,0.89,,0.82,,0.8,,0.82,,0.71,,0.55,,,,,,,,,
,6/29/2018,0.722265913,,0.73,,0.7,,0.63,,0.48,,,,,,,,,,,,,
,3/29/2018,0.511997469,,0.47,,0.52,,0.53,,0.35,,,,,,,,,,,,,
,12/29/2017,2.5432902509999997,,0.54,,0.53,,0.38,,0.37,,,,,,,,,,,,,
,9/29/2017,0.723861372,,0.47,,0.41,,0.38,,0.37,,0.37,,,,,,,,,,,
,6/30/2017,0.538676265,,0.37,,0.33,,0.32,,,,,,,,,,,,,,,
,3/31/2017,0.355740645,,0.22,,0.23,,0.16,,,,,,,,,,,,,,,
,12/30/2016,0.30975646,,0.31,,,,,,,,,,,,,,,,,,,
,9/30/2016,0.36946913600000003,,0.3,,,,,,,,,,,,,,,,,,,
,6/30/2016,0.265265584,,0.27,,,,,,,,,,,,,,,,,,,
,3/31/2016,0.058344905,,0.17,,,,,,,,,,,,,,,,,,,
,12/31/2015,0.23832422600000003,,0.44,,,,,,,,,,,,,,,,,,,
,9/30/2015,0.48334791899999996,,0.47,,,,,,,,,,,,,,,,,,,
,6/30/2015,0.47662641200000005,,0.47,,,,,,,,,,,,,,,,,,,
,3/31/2015,0.40944247899999997,,0.38,,,,,,,,,,,,,,,,,,,
,12/31/2014,0.598978475,,0.52,,,,,,,,,,,,,,,,,,,
,9/30/2014,0.571365993,,0.51,,,,,,,,,,,,,,,,,,,
,6/30/2014,0.485642243,,0.42,,,,,,,,,,,,,,,,,,,
,3/31/2014,0.296561428,,0.28,,,,,,,,,,,,,,,,,,,
,12/31/2013,0.37,,0.38,,,,,,,,,,,,,,,,,,,
,9/30/2013,0.37,,0.35,,,,,,,,,,,,,,,,,,,
,6/28/2013,0.14,,0.42,,,,,,,,,,,,,,,,,,,
,3/28/2013,0.34,,0.33,,,,,,,,,,,,,,,,,,,
,12/31/2012,0.36,,,,,,,,,,,,,,,,,,,,,
,9/28/2012,0.38,,,,,,,,,,,,,,,,,,,,,
,6/29/2012,0.44,,,,,,,,,,,,,,,,,,,,,
,3/30/2012,0.4,,,,,,,,,,,,,,,,,,,,,
,12/30/2011,0.5,,,,,,,,,,,,,,,,,,,,,
,9/30/2011,0.41,,,,,,,,,,,,,,,,,,,,,
,6/30/2011,0.32,,,,,,,,,,,,,,,,,,,,,
,3/31/2011,0.19,,,,,,,,,,,,,,,,,,,,,
,12/31/2010,0.24,,,,,,,,,,,,,,,,,,,,,
,9/30/2010,0.37,,,,,,,,,,,,,,,,,,,,,
,6/30/2010,0.15,,,,,,,,,,,,,,,,,,,,,
,3/31/2010,0.06,,,,,,,,,,,,,,,,,,,,,
,12/31/2009,0.04,,,,,,,,,,,,,,,,,,,,,
,9/30/2009,0.08,,,,,,,,,,,,,,,,,,,,,
,6/30/2009,-0.04,,,,,,,,,,,,,,,,,,,,,
,3/31/2009,0.08,,,,,,,,,,,,,,,,,,,,,
,12/31/2008,0.14,,,,,,,,,,,,,,,,,,,,,
,9/30/2008,0.21,,,,,,,,,,,,,,,,,,,,,
,6/30/2008,0.16,,,,,,,,,,,,,,,,,,,,,
