CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2026,,3.6,5/11/2025,4,4/22/2025,4.03,3/21/2025,4.04,2/12/2025,3.52,1/11/2025,3.44,12/4/2024,3.73,10/26/2024,4.1,9/8/2024,4.1,7/27/2024,4.51,7/7/2024,4.65,5/28/2024,4.03,4/20/2024,4.07,4/19/2024,4.13,,4.51,,4.21,,4.33,,4.23,,4.28
,,9/30/2026,,3.64,,3.8,,3.84,,3.88,,3.48,,3.48,,3.65,,3.9,,3.9,,4.27,,4.44,,3.63,,3.63,,3.71,,3.99,,3.79,,3.76,,3.74,,3.77
,,6/30/2026,,3.61,,3.78,,3.91,,4.04,,3.74,,3.64,,3.82,,4.11,,4.11,,4.4,,4.38,,3.68,,3.65,,3.68,,4.1,,4.14,,4.24,,3.93,,3.81
,,3/30/2026,,3.5,,3.46,,3.58,,3.57,,3.22,,3.17,,3.33,,3.69,,3.69,,4.23,,4.24,,3.02,,3.13,,3.17,,3.45,,3.51,,3.54,,3.68,,3.74
,,12/31/2025,,2.92,1/11/2025,3.18,1/11/2025,3.47,1/11/2025,3.41,1/11/2025,3.52,1/11/2025,3.44,12/4/2024,3.73,10/26/2024,4.1,9/8/2024,4.1,7/27/2024,4.51,7/7/2024,4.65,5/28/2024,4.03,4/20/2024,4.07,4/19/2024,4.13,,4.51,,4.21,,4.33,,4.23,,4.28
,,9/30/2025,,2.84,,3.17,,3.28,,3.24,,3.48,,3.48,,3.65,,3.9,,3.9,,4.27,,4.44,,3.63,,3.63,,3.71,,3.99,,3.79,,3.76,,3.74,,3.77
,,6/28/2025,,2.98,,2.81,,3.24,,3.25,,3.74,,3.64,,3.82,,4.11,,4.11,,4.4,,4.38,,3.68,,3.65,,3.68,,4.1,,4.14,,4.24,,3.93,,3.81
,5/6/2025,3/28/2025,1.49,3.12,,2.64,,2.66,,2.68,,3.22,,3.17,,3.33,,3.69,,3.69,,4.23,,4.24,,3.02,,3.13,,3.17,,3.45,,3.51,,3.54,,3.68,,3.74
,2/6/2025,12/31/2024,1.61,2.94,4/20/2024,2.5,4/20/2024,2.47,4/20/2024,2.98,4/20/2024,3.11,4/20/2024,3.34,4/20/2024,3.98,4/20/2024,4.11,4/20/2024,4.03,4/20/2024,4.07,4/19/2024,4.13,,4.51,,4.21,,4.33,,4.23,,4.28,,,,,,
,10/24/2024,9/30/2024,2.41,2.89,,2.78,,2.99,,3.44,,3.6,,3.63,,3.63,,3.71,,3.99,,3.79,,3.76,,3.74,,3.77,,,,,,,,,,,,
,7/25/2024,6/28/2024,3.02,3.6,,3.43,,3.46,,3.68,,3.65,,3.68,,4.1,,4.14,,4.24,,3.93,,3.81,,,,,,,,,,,,,,,,
,4/30/2024,3/28/2024,1.9,3.18,,3.02,,3.13,,3.17,,3.45,,3.51,,3.54,,3.68,,3.74,,,,,,,,,,,,,,,,,,,,
,2/6/2024,12/29/2023,2.176068376,3.03,,3.12,,3.13,,2.94,,3.03,,3.07,,3.02,,4.63,,,,,,,,,,,,,,,,,,,,,,
,10/26/2023,9/29/2023,2.248730964,2.87,,2.67,,2.72,,2.64,,2.61,,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/1/2023,6/30/2023,2.841685905,3.33,,3.21,,2.8,,2.71,,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/27/2023,3/31/2023,2.411055961,2.78,,2.58,,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/2/2023,12/30/2022,1.97147651,2.81,,2.57,,3.03,,4.56,,4.67,,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2022,9/30/2022,1.54384331,2.33,,2.12,,2.46,,4.29,,4.04,,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2022,6/30/2022,1.139849727,1.79,,1.44,,1.39,,3.63,,4.42,,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/3/2022,3/31/2022,0.820448377,1.8,,1.57,,2.58,,4,,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/8/2022,12/31/2021,0.35655058,1.22,,1.07,,1.19,,3.13,,3.99,,3.15,,3.14,,4.345570934,,,,,,,,,,,,,,,,,,,,,,
,11/2/2021,9/30/2021,-0.442355776,0.53,,0.62,,1.41,,3.58,,2.96,,3.1,,4.210124567,,,,,,,,,,,,,,,,,,,,,,,,
,8/6/2021,6/30/2021,2.890540336,2.45,,2.47,,2.77,,3.34,,2.87,,3.781211073,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/7/2021,4/1/2021,3.363558631,3.73,,2.95,,2.82,,2.87,,3.99566782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/4/2021,12/31/2020,3.332231405,3.66,,3.47,,2.77,,2.87,,3.85,,3.66,,3.56,,4.36,,5.35,,5.388783186,,5.40920765,,,,,,,,,,,,,,,,
,10/30/2020,10/2/2020,2.890722358,3.73,,3.14,,2.46,,2.08,,3.73,,3.9,,3.95,,4.22,,5.32,,5.232909292,,5.208453552,,,,,,,,,,,,,,,,
,8/4/2020,7/2/2020,-4.88994504,-4.14,,-4.68,,-4.2,,3.35,,3.76,,3.96,,4.27,,4.77,,4.865492257,,4.929628415,,,,,,,,,,,,,,,,,,
,5/8/2020,4/3/2020,1.259093199,2.05,,1.49,,3.54,,3.66,,3.75,,4.18,,4.66,,4.576012168,,4.751180328,,,,,,,,,,,,,,,,,,,,
,,12/31/2019,2.068965517,,,2.24,,2.12,,3.7,,4.8,,4.84,,4.85,,4.84,,4.85,,4.77,,4.81,,5.31,,5.33,,5.38,,,,,,,,,,
,,9/30/2019,3.52029508,,,3.14,,3.48,,4.71,,4.7,,4.69,,4.7,,4.67,,4.71,,4.75,,4.65,,4.68,,5.16,,5.01,,,,,,,,,,
,,6/28/2019,2.931632627,,,3.76,,4.07,,4.37,,4.41,,4.4,,4.42,,4.51,,4.83,,5.23,,5.2,,5.38,,5.53,,,,,,,,,,,,
,,3/29/2019,3.627575277,,,4.11,,4.19,,4.26,,4.24,,4.53,,5.27,,5.24,,5.4,,5.12,,,,,,,,,,,,,,,,,,
,,12/31/2018,3.284829721,,,3.92,,4.01,,4.59,,4.62,,4.77,,4.87,,4.75,,4.77,,4.72,,4.53,,4.42,,4.51,,4.4,,,,,,,,,,
,,9/28/2018,3.798468042,,,3.99,,4.01,,4.5,,4.51,,4.42,,4.43,,4.21,,4.02,,3.9,,3.89,,4.01,,3.95,,,,,,,,,,,,
,,6/29/2018,4.8300025,,,4.99,,5.13,,5.07,,4.91,,4.81,,4.72,,4.66,,4.45,,4.32,,4.17,,,,,,,,,,,,,,,,
,,3/29/2018,5.155230305,,,4.92,,4.91,,4.89,,4.81,,4.65,,4.55,,4.45,,4.38,,4.36,,4.26,,,,,,,,,,,,,,,,
,,12/29/2017,5.846715328,,,4.28,,4.27,,4.19,,4.18,,4.12,,4.08,,4.07,,4.08,,4.07,,4.08,,,,,,,,,,,,,,,,
,,9/29/2017,3.959302326,,,3.74,,3.69,,3.67,,3.64,,3.63,,3.61,,3.62,,4.11,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,4.491078449,,,4.11,,4.03,,4.02,,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,4.349928876,,,4.11,,3.94,,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,3.23347398,,,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,2.975617562,,,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/1/2016,3.823219062,,,nan,,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/1/2016,3.291184836,,,nan,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,3.071801567,,,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,2.3380149,,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,2.329773868,,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,1.862680182,,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,3.24,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,1.72,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,1.81,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,1.47,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.88,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,1.38,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,1.6,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,1.13,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
