CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted,,12/31/2023,,1.84,4/4/2023,1.84,2/23/2023,1.75,1/9/2023,1.75,12/4/2022,1.75,10/30/2022,2,10/5/2022,2,9/2/2022,1.98,7/31/2022,1.91,7/5/2022,1.91,6/3/2022,2.03,5/1/2022,2.03,3/26/2022,,2/23/2022,1.69,1/9/2022,1.69,12/7/2021,1.76,11/1/2021,1.83,10/5/2021,1.83,8/31/2021,1.83,7/29/2021,1.85,7/18/2021,1.83,6/17/2021,1.83,5/22/2021,1.38,4/26/2021,1.38,4/24/2021,1.37,3/24/2021,1.35,2/24/2021,1.37,12/28/2020,1.37,11/27/2020,1.34,10/27/2020,1.33,9/27/2020,1.33,9/26/2020
,,9/30/2023,,1.54,,1.54,,1.46,,1.46,,1.46,,1.6,,1.6,,1.67,,1.7,,1.7,,1.78,,1.78,,,,1.43,,1.43,,1.47,,1.54,,1.54,,1.54,,1.43,,1.4,,1.4,,1.16,,1.16,,1.15,,1.16,,1.05,,1.09,,0.97,,0.97,,0.97,
,,6/30/2023,,1.24,,1.24,,1.32,,1.32,,1.32,,1.33,,1.33,,1.32,,1.56,,1.56,,1.46,,1.46,,,,1.35,,1.34,,1.33,,1.38,,1.38,,1.38,,1.32,,1.3,,1.3,,1.14,,1.14,,1.14,,1.18,,1.16,,1.16,,1.16,,1.16,,1.16,
,,3/30/2023,,0.72,,0.72,,0.99,,1.01,,1.01,,0.98,,0.98,,0.97,,1.16,,1.16,,0.97,,0.97,,,,1.04,,1.02,,1.09,,1.12,,1.12,,1.12,,1.01,,1,,1,,0.84,,0.78,,0.78,,0.78,,0.89,,0.82,,0.9,,0.9,,0.9,
,2/21/2023,12/31/2022,1.17,1.49,,1.4,,1.39,,1.56,,1.7,,1.7,,1.68,,1.67,,1.67,,1.67,,1.73,,1.7,,1.69,1/9/2022,1.69,12/7/2021,1.76,11/1/2021,1.83,10/5/2021,1.83,8/31/2021,1.83,7/29/2021,1.85,7/18/2021,1.83,6/17/2021,1.83,5/22/2021,1.38,4/26/2021,1.38,4/24/2021,1.37,3/24/2021,1.35,2/24/2021,1.37,12/28/2020,1.37,11/27/2020,1.34,10/27/2020,1.33,9/27/2020,1.33,9/26/2020,,
,10/26/2022,9/30/2022,1.07,1.27,,1.19,,1.19,,1.35,,1.41,,1.41,,1.41,,1.44,,1.43,,1.43,,1.43,,1.47,,1.54,,1.54,,1.54,,1.43,,1.4,,1.4,,1.16,,1.16,,1.15,,1.16,,1.05,,1.09,,0.97,,0.97,,0.97,,,,,,,,,
,7/27/2022,6/30/2022,1.04,1.13,,1.2,,1.2,,1.19,,1.09,,1.31,,1.35,,1.34,,1.33,,1.38,,1.38,,1.38,,1.32,,1.3,,1.3,,1.14,,1.14,,1.14,,1.18,,1.16,,1.16,,1.16,,1.16,,1.16,,,,,,,,,,,,,,,
,4/26/2022,3/30/2022,0.8,0.87,,0.57,,0.93,,1.04,,1.02,,1.09,,1.12,,1.12,,1.12,,1.01,,1,,1,,0.84,,0.78,,0.78,,0.78,,0.89,,0.82,,0.9,,0.9,,0.9,,,,,,,,,,,,,,,,,,,,,
,2/22/2022,12/31/2021,0.99,0.92,,1.11,,1.11,,1.24,,1.5,,1.49,,1.46,,1.5,,1.49,,1.48,,1.38,4/26/2021,1.38,4/24/2021,1.37,3/24/2021,1.35,2/24/2021,1.37,12/28/2020,1.37,11/27/2020,1.34,10/27/2020,1.33,9/27/2020,1.33,9/26/2020,,,,,,,,,,,,,,,,,,,,,,,,
,10/27/2021,9/30/2021,0.91,1.02,,1.2,,1.21,,1.22,,1.19,,1.19,,1.19,,1.16,,1.16,,1.15,,1.16,,1.05,,1.09,,0.97,,0.97,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
