CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Non-GAAP,,6/30/2026,,0.26,12/17/2024,0.26,11/7/2024,0.19,10/21/2024,0.18,9/15/2024,0.18,9/14/2024,,,,,,,,,,,,,,
,,3/30/2026,,0.24,,0.24,,0.17,,0.16,,0.16,,,,,,,,,,,,,,,
,,12/31/2025,,0.22,,0.22,,0.14,,0.14,,0.14,,,,,,,,,,,,,,,
,,9/30/2025,,0.22,,0.22,,0.13,,0.13,,0.13,,,,,,,,,,,,,,,
,,6/30/2025,,0.2,10/21/2024,0.19,10/21/2024,0.19,10/21/2024,0.18,9/15/2024,0.18,9/14/2024,,,,,,,,,,,,,,
,,3/30/2025,,0.19,,0.19,,0.17,,0.16,,0.16,,,,,,,,,,,,,,,
,,12/31/2024,,0.17,,0.16,,0.14,,0.14,,0.14,,,,,,,,,,,,,,,
,11/4/2024,9/30/2024,-0.06,0.21,,0.13,,0.13,,0.13,,,,,,,,,,,,,,,,,
,8/13/2024,6/30/2024,-0.01,0.15,,0.15,,,,,,,,,,,,,,,,,,,,,
,5/7/2024,3/30/2024,-0.09,0.14,,0.14,,,,,,,,,,,,,,,,,,,,,
,2/6/2024,12/31/2023,-0.13,0.11,,0.11,,,,,,,,,,,,,,,,,,,,,
,11/7/2023,9/30/2023,-0.22,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,
,9/6/2023,6/30/2023,-0.17,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,
,5/8/2023,3/30/2023,-0.28,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,
,2/6/2023,12/31/2022,-0.31,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,
,11/7/2022,9/30/2022,-0.32,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,
,9/7/2022,6/30/2022,-0.35,-0.04,,-0.04,,,,,,,,,,,,,,,,,,,,,
,5/11/2022,3/31/2022,-0.47,-0.04,,-0.04,,,,,,,,,,,,,,,,,,,,,
,2/9/2022,12/31/2021,-0.4,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,
,11/10/2021,9/30/2021,-0.42,-0.04,,-0.04,,,,,,,,,,,,,,,,,,,,,
,9/8/2021,6/30/2021,-0.68,-0.19,,-0.19,,,,,,,,,,,,,,,,,,,,,
,,3/31/2021,-0.49,-0.14,,-0.14,,,,,,,,,,,,,,,,,,,,,
,,12/31/2020,-0.51,-0.12,,-0.12,,,,,,,,,,,,,,,,,,,,,
,,9/30/2020,-0.55,-0.1,,-0.1,,,,,,,,,,,,,,,,,,,,,
,,6/30/2020,-0.49,-0.03,,-0.03,,,,,,,,,,,,,,,,,,,,,
,,3/31/2020,-0.66,-0.36,,-0.36,,,,,,,,,,,,,,,,,,,,,
,,12/31/2019,-0.66,-0.36,,-0.36,,,,,,,,,,,,,,,,,,,,,
,,9/30/2019,-0.67,-0.36,,-0.36,,,,,,,,,,,,,,,,,,,,,
