CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,
Y,,11/30/2021,0.24,7/15/2020,0.293367347,5/20/2020,0.293367347,,,,,,,,
,,8/31/2021,0.21,,0.306122449,,0.306122449,,,,,,,,
,,5/28/2021,0.13,,0.382653061,,0.382653061,,,,,,,,
,,2/26/2021,0.04,,0.267857143,,0.267857143,,,,,,,,
,,11/30/2020,-0.02,,0.23,,0.23,,0.31,,0.32,,0.396990291,,
,,8/31/2020,-0.06,,0.24,,0.24,,0.41,,0.36,,0.506504854,,
,6/29/2020,5/29/2020,0.16,,0.3,,0.3,,0.31,,0.34,,0.328543689,,
,3/26/2020,2/28/2020,0.37,,0.21,,0.25,,0.28,,0.438058252,,,,
,1/8/2020,11/22/2019,0.62,,0.47,,0.28,,0.32,,0.29,,0.56,,0.53
,9/26/2019,8/30/2019,0.15,,0.34,,0.37,,0.43,,0.39,,,,
,7/3/2019,5/31/2019,2.146259363,,0.24,,0.4,,0.42,,,,,,
,3/28/2019,2/28/2019,0.143785764,,0.32,,0.35,,,,,,,,
,,11/30/2018,-0.062087323,,-0.062087323,,0.26,,0.49,,0.45,,,,
,10/25/2018,8/24/2018,0.546894581,,0.57,,0.73,,0.43,,,,,,
,7/26/2018,5/31/2018,2.026705048,,1.88,,0.35,,,,,,,,
,4/26/2018,2/23/2018,0.333539513,,0.32,,0.4,,,,,,,,
,2/22/2018,11/24/2017,-0.742079235,,0.47,,0.27,,0.32,,,,,,
,10/26/2017,8/25/2017,0.268372601,,0.17,,0.31,,,,,,,,
,7/27/2017,5/26/2017,0.156621415,,0.3,,0.4,,,,,,,,
,4/27/2017,2/28/2017,0.748981292,,0.67,,,,,,,,,,
,,11/25/2016,0.366089038,,0.23,,0.25,,,,,,,,
,,8/26/2016,0.412097168,,0.43,,,,,,,,,,
,,5/31/2016,0.153772856,,0.25,,,,,,,,,,
,,2/29/2016,-0.598549281,,-0.43,,,,,,,,,,
,,11/30/2015,0.150321761,,0.02,,,,,,,,,,
,,8/31/2015,-0.464835309,,nan,,,,,,,,,,
,,5/29/2015,0.043121859,,nan,,,,,,,,,,
,,2/27/2015,0.992136887,,nan,,,,,,,,,,
,,11/21/2014,-0.026131038,,nan,,,,,,,,,,
,,8/22/2014,0.143017074,,nan,,,,,,,,,,
,,5/30/2014,0.170438315,,nan,,,,,,,,,,
,,2/28/2014,0.243637173,,nan,,,,,,,,,,
,,11/22/2013,0.02,,nan,,,,,,,,,,
,,8/23/2013,0.01,,nan,,,,,,,,,,
,,5/24/2013,0.14,,nan,,,,,,,,,,
,,2/22/2013,1.08,,nan,,,,,,,,,,
,,11/23/2012,1.83,,nan,,,,,,,,,,
,,8/24/2012,0.43,,nan,,,,,,,,,,
,,5/25/2012,-0.81,,nan,,,,,,,,,,
,,2/24/2012,1.97,,nan,,,,,,,,,,
,,11/25/2011,0.49,,nan,,,,,,,,,,
,,8/26/2011,-1.19,,nan,,,,,,,,,,
,,5/31/2011,0.75,,nan,,,,,,,,,,
,,2/25/2011,0.04,,nan,,,,,,,,,,
,,11/26/2010,6.98,,nan,,,,,,,,,,
,,8/30/2010,1.17,,nan,,,,,,,,,,
,,5/28/2010,-0.97,,nan,,,,,,,,,,
,,2/26/2010,0.78,,nan,,,,,,,,,,
,,11/30/2009,-0.34,,nan,,,,,,,,,,
,,8/28/2009,1.5,,nan,,,,,,,,,,
,,5/29/2009,1.67,,nan,,,,,,,,,,
,,2/20/2009,-0.59,,nan,,,,,,,,,,
,,11/21/2008,-11.68,,nan,,,,,,,,,,
,,8/22/2008,0.37,,nan,,,,,,,,,,
,,5/23/2008,0.76,,nan,,,,,,,,,,
,,2/28/2008,-0.43,,nan,,,,,,,,,,
,,11/30/2007,1.92,,nan,,,,,,,,,,
,,8/31/2007,0.02,,nan,,,,,,,,,,
,,5/31/2007,0.12,,nan,,,,,,,,,,
,,2/28/2007,0.04,,nan,,,,,,,,,,
,,11/30/2006,0.05,,nan,,,,,,,,,,
,,8/31/2006,0.27,,nan,,,,,,,,,,
,,5/31/2006,0.17,,nan,,,,,,,,,,
,,2/28/2006,0.36,,nan,,,,,,,,,,
,,11/30/2005,1.165,,nan,,,,,,,,,,
,,8/31/2005,0.465,,nan,,,,,,,,,,
,,5/31/2005,5.515,,nan,,,,,,,,,,
,,2/28/2005,0.01,,nan,,,,,,,,,,
,,11/30/2004,0.24,,nan,,,,,,,,,,
,,8/31/2004,0.333333333,,nan,,,,,,,,,,
,,5/28/2004,0.156666667,,nan,,,,,,,,,,
,,2/20/2004,-0.056666667,,nan,,,,,,,,,,
,,11/21/2003,0.183333333,,nan,,,,,,,,,,
,,8/22/2003,0.31,,nan,,,,,,,,,,
,,5/23/2003,0.086666667,,nan,,,,,,,,,,
,,2/21/2003,-0.076666667,,nan,,,,,,,,,,
,,11/22/2002,0.75,,nan,,,,,,,,,,
,,8/23/2002,-0.013333333,,nan,,,,,,,,,,
,,5/24/2002,0.163333333,,nan,,,,,,,,,,
,,2/22/2002,0.076666667,,nan,,,,,,,,,,
,,11/23/2001,0.106666667,,nan,,,,,,,,,,
,,8/24/2001,-0.193333333,,nan,,,,,,,,,,
,,5/25/2001,0.156666667,,nan,,,,,,,,,,
,,2/23/2001,-0.116666667,,nan,,,,,,,,,,
,,11/24/2000,0.313333333,,nan,,,,,,,,,,
,,8/25/2000,0.173333333,,nan,,,,,,,,,,
,,5/26/2000,0.056666667,,nan,,,,,,,,,,
,,2/25/2000,0.153333333,,nan,,,,,,,,,,
,,11/26/1999,-0.013333333,,nan,,,,,,,,,,
,,8/27/1999,0.21,,nan,,,,,,,,,,
,,5/28/1999,0.073333333,,nan,,,,,,,,,,
,,2/26/1999,0.85,,nan,,,,,,,,,,
,,11/27/1998,0.143333333,,nan,,,,,,,,,,
,,8/28/1998,-0.01,,nan,,,,,,,,,,
,,5/29/1998,0.076666667,,nan,,,,,,,,,,
,,2/20/1998,0.066666667,,nan,,,,,,,,,,
,,11/21/1997,2.243333333,,nan,,,,,,,,,,
,,8/22/1997,1.063333333,,nan,,,,,,,,,,
,,5/23/1997,0.176666667,,nan,,,,,,,,,,
,,2/21/1997,0.07,,nan,,,,,,,,,,
,,11/22/1996,0.003333333,,nan,,,,,,,,,,
,,8/23/1996,0.103333333,,nan,,,,,,,,,,
,,5/24/1996,0.073333333,,nan,,,,,,,,,,
,,2/23/1996,0.086666667,,nan,,,,,,,,,,
,,11/24/1995,0.29,,nan,,,,,,,,,,
,,8/30/1995,0.12,,nan,,,,,,,,,,
,,5/30/1995,0.098333333,,nan,,,,,,,,,,
,,2/28/1995,0.093333333,,nan,,,,,,,,,,
,,11/30/1994,0.131666667,,nan,,,,,,,,,,
,,8/30/1994,0.12,,nan,,,,,,,,,,
,,5/30/1994,0.07,,nan,,,,,,,,,,
