CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,
Non-GAAP,,3/30/2027,,1.39,11/8/2025,1.4,9/16/2025,1.42,8/13/2025,1.41,7/23/2025,1.41,6/23/2025
,,12/30/2026,,2.69,,2.85,,2.91,,2.95,,2.94,
,,9/30/2026,,2.32,,2.31,,2.33,,2.3,,2.29,
,,6/30/2026,,1.09,,0.99,,1.04,,1,,1,
,,3/30/2026,,1.17,4/20/2025,1.28,4/20/2025,1.27,4/20/2025,1.34,4/20/2025,1.33,4/20/2025
,,12/30/2025,,2.36,,2.11,,2.32,,2.56,,2.55,
,11/4/2025,9/30/2025,2.48,2.83,,2.37,,2.25,,2.07,,2.07,
,8/5/2025,6/30/2025,1.14,1.51,,1.1,,1.08,,1.05,,,
,5/6/2025,3/30/2025,1.31,1.67,6/25/2024,1.18,6/25/2024,1.18,6/25/2024,1.17,6/25/2024,,
,2/4/2025,12/30/2024,2.11,2.51,,2.12,,2.18,,2.44,,,
,11/4/2024,9/30/2024,1.83,2.25,,2.02,,1.88,,1.79,,,
,8/6/2024,6/30/2024,0.76,1.12,,0.61,,0.59,,0.55,,,
,5/7/2024,3/30/2024,0.81,1.24,6/16/2023,0.65,6/16/2023,0.64,6/16/2023,0.72,6/16/2023,,
,2/6/2024,12/30/2023,2.5,2.89,,2.01,,2.01,,2.03,,,
,11/3/2023,9/30/2023,1.34,1.8,,1.55,,1.51,,1.37,,,
,8/3/2023,6/30/2023,0.28,0.67,,0.41,,0.58,,0.57,,,
,5/4/2023,3/30/2023,-0.97,0.92,,0.84,,0.84,,0.86,,,
,2/2/2023,12/30/2022,1.83,2.4,,1.99,,2.01,,2.02,,,
,11/1/2022,9/30/2022,1.52,1.99,,1.45,,1.45,,1.45,,,
,8/2/2022,6/30/2022,0.69,1.12,,0.83,,0.84,,0.85,,,
,5/3/2022,3/31/2022,1.64,2.01,,1.4,,1.4,,1.18,,,
,1/31/2022,12/31/2021,2.16,2.54,,2.14,,2.14,,2.07,,,
,11/1/2021,9/30/2021,1.43,1.82,,1.63,,1.63,,1.6,,,
,7/28/2021,6/30/2021,0.29,0.54,,0.4,,0.39,,0.6,,,
,4/29/2021,3/31/2021,0.42,0.66,,0.71,,0.71,,0.69,,,
,2/1/2021,12/31/2020,1.91,2.13,,1.86,,1.86,,1.19,,,
,11/2/2020,9/30/2020,0.99,1.26,,0.89,,0.89,,0.96,,,
,8/3/2020,6/30/2020,0.3,0.53,,0.3,,0.3,,0.42,,,
,5/4/2020,3/27/2020,0.167394493,0.68,,0.5,,0.51,,0.37,,,
,1/29/2020,12/31/2019,1.132579515,1.41,,1.14,,1.13,,1.04,,,
,10/30/2019,9/30/2019,1.265673526,1.55,,0.95,,0.94,,0.67,,,
,7/31/2019,6/28/2019,0.076637127,0.35,,0.15,,0.39,,0.52,,,
,5/1/2019,3/29/2019,0.102277446,0.37,,0.12,,0.5,,0.76,,,
,1/30/2019,12/31/2018,0.492456772,0.91,,0.78,,1.31,,1.4,,,
,11/1/2018,9/28/2018,0.931796704,1.08,,0.74,,0.73,,1.43,,,
,8/1/2018,6/29/2018,-0.069506362,0.28,,0.07,,0.06,,0.95,,,
,5/2/2018,3/29/2018,0.18590101,,,0.58,,0.49,,0.89,,,
,2/5/2018,12/29/2017,0.515261528,,,1.78,,1.69,,1.77,,,
,11/2/2017,9/22/2017,1.104581073,,,1.21,,1.14,,1.2,,,
,8/2/2017,6/30/2017,0.638951757,,,0.66,,0.68,,0.75,,,
,5/3/2017,3/31/2017,0.522769974,,,0.7,,0.71,,0.68,,,
,2/1/2017,12/30/2016,1.828384371,,,1.63,,1.62,,1.2,,,
,10/27/2016,9/30/2016,1.187896587,,,1.05,,0.99,,0.65,,,
,7/27/2016,6/24/2016,0.243193525,,,0.28,,0.27,,0.37,,,
,,3/24/2016,0.214257317,,,0.21,,0.34,,0.6,,,
,,12/31/2015,0.629309165,,,0.81,,0.99,,0.96,,,
,,9/30/2015,0.525863499,,,0.59,,0.46,,0.42,,,
,,6/30/2015,0.502243638,,,0.43,,0.16,,0.29,,,
,,3/31/2015,0.324388799,,,0.47,,0.39,,0.31,,,
