CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2023,,3.07,12/8/2022,3.06,11/3/2022,3.15,10/19/2022,3.24,9/15/2022,3.31,8/13/2022,3.59,7/13/2022,3.63,6/12/2022,3.61,5/11/2022,3.61,4/20/2022,,3/18/2022,3.08,2/17/2022,2.98,1/16/2022,2.94,12/9/2021,3,11/4/2021,3.05,10/12/2021,3.05,9/11/2021,3.07,8/7/2021,3.02,7/17/2021,3.04,6/17/2021,2.96,5/22/2021,2.92,5/6/2021,2.92,3/19/2021,2.38,2/17/2021,2.37,12/30/2020,2.37,11/29/2020,2.27,10/29/2020,2.27,10/16/2020,2.27,10/15/2020
,,9/30/2023,,2.89,,2.91,,2.93,,2.99,,3.1,,3.39,,3.42,,3.43,,3.43,,,,3.01,,2.99,,2.95,,2.95,,2.99,,3,,3,,2.89,,2.9,,2.82,,2.78,,2.78,,2.32,,2.31,,2.28,,2.09,,2.09,,2.09,
,,6/30/2023,,2.86,,2.88,,3.06,,3.08,,3.08,,3.21,,3.27,,3.3,,3.3,,,,2.81,,2.83,,2.81,,2.79,,2.86,,2.88,,2.84,,2.76,,2.78,,2.67,,2.66,,2.66,,2.07,,2.07,,2.08,,2.02,,2.02,,2.02,
,,3/30/2023,,2.63,,2.64,,2.82,,2.83,,2.88,,3.09,,3.12,,3.12,,3.12,,,,2.75,,2.74,,2.72,,2.74,,2.79,,2.79,,2.81,,2.79,,2.82,,2.69,,2.65,,2.65,,2.07,,2.07,,2.07,,2.03,,2.03,,2.03,
,,12/31/2022,,2.75,,2.72,,2.74,,2.74,,2.71,,3.11,,3.11,,3.1,,3.09,,3.08,,3.08,2/17/2022,2.98,1/16/2022,2.94,12/9/2021,3,11/4/2021,3.05,10/12/2021,3.05,9/11/2021,3.07,8/7/2021,3.02,7/17/2021,3.04,6/17/2021,2.96,5/22/2021,2.92,5/6/2021,2.92,3/19/2021,2.38,2/17/2021,2.37,12/30/2020,2.37,11/29/2020,2.27,10/29/2020,2.27,10/16/2020,2.27,10/15/2020
,11/2/2022,9/30/2022,1.88,2.63,,2.49,,2.5,,2.5,,2.92,,2.93,,2.94,,2.97,,3,,3.01,,2.99,,2.95,,2.95,,2.99,,3,,3,,2.89,,2.9,,2.82,,2.78,,2.78,,2.32,,2.31,,2.28,,2.09,,2.09,,2.09,,,
,8/3/2022,6/30/2022,2.13,2.77,,2.76,,2.79,,2.82,,2.84,,2.82,,2.81,,2.83,,2.81,,2.79,,2.86,,2.88,,2.84,,2.76,,2.78,,2.67,,2.66,,2.66,,2.07,,2.07,,2.08,,2.02,,2.02,,2.02,,,,,,,,,
,5/4/2022,3/31/2022,1.81,2.75,,2.72,,2.72,,2.75,,2.74,,2.72,,2.74,,2.79,,2.79,,2.81,,2.79,,2.82,,2.69,,2.65,,2.65,,2.07,,2.07,,2.07,,2.03,,2.03,,2.03,,,,,,,,,,,,,,,
,2/16/2022,12/31/2021,2.67,2.49,,2.43,,2.43,,2.47,,2.58,,2.58,,2.6,,2.59,,2.59,,2.57,,2.56,4/19/2021,2.5,3/19/2021,2.38,2/17/2021,2.37,12/30/2020,2.37,11/29/2020,2.27,10/29/2020,2.27,10/16/2020,2.27,10/15/2020,,,,,,,,,,,,,,,,,,,,
,11/3/2021,9/30/2021,2.01,2.7,,2.59,,2.58,,2.56,,2.47,,2.48,,2.46,,2.45,,2.4,,2.32,,2.31,,2.28,,2.09,,2.09,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
