Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,
12/31/2020,0.33,1/24/2020,0.33,,0.32,,0.327592593,0.32,,,,,
9/30/2020,0.35,,0.35,,0.34,,0.338888889,0.331034483,,,,,
6/30/2020,0.31,,0.31,,0.3,,0.282407407,0.275862069,,,,,
3/31/2020,0.27,,0.27,,0.26,,0.25,0.26,0.271111111,0.264827586,,,
12/31/2019,0.29,,0.29,,0.3,,0.29,0.32,0.38,0.37,,,
9/30/2019,0.032667685,,0.3,,0.33,,0.4,0.39,,,,,
6/28/2019,-0.03481674,,0.24,,0.25,,0.26,0.25,0.28,0.36,0.35,,
3/29/2019,0.052833991,,0.24,,0.26,,0.32,0.3,,,,,
12/31/2018,0.722636742,,0.33,,0.35,,0.34,,,,,,
9/28/2018,0.135451791,,0.38,,0.34,,0.32,,,,,,
6/29/2018,0.074485102,,0.29,,0.27,,,,,,,,
3/29/2018,0.024495942,,0.24,,0.22,,,,,,,,
12/29/2017,-0.104947072,,0.25,,0.24,,0.21,,,,,,
9/29/2017,0.030620769,,0.23,,0.2,,0.21,,,,,,
6/30/2017,-0.051294489,,0.16,,0.15,,0.16,,,,,,
3/31/2017,-0.131509891,,0.11,,,,,,,,,,
12/30/2016,-0.224185254,,0.14,,0.15,,0.21,0.27,0.29,0.3,,,
9/30/2016,0.027380003,,0.14,,0.2,,0.26,0.27,0.28,,,,
7/1/2016,-1.652134074,,0.12,,0.11,,0.15,0.22,0.23,,,,
4/1/2016,-0.324712581,,0.06,,0.11,,0.17,0.19,,,,,
12/31/2015,-0.21626745,,0.13,,0.16,,0.18,0.19,0.2,0.15,0.17,0.19,0.18
9/30/2015,0.084751592,,0.16,,0.17,,0.18,0.19,0.16,0.18,0.19,0.2,
6/30/2015,-0.27015246,,0.13,,0.12,,0.14,0.15,0.2,0.17,0.16,,
3/31/2015,-1.256154852,,0.08,,0.09,,0.11,0.17,0.13,0.12,0.08,,
12/31/2014,0.020703762,,0.13,,0.15,,0.16,0.17,0.25,0.22,0.08,,
9/30/2014,0.077125918,,0.15,,0.16,,0.17,0.16,0.17,0.18,0.25,0.23,0.03
6/30/2014,0.05792898,,0.12,,0.13,,0.2,0.18,-0.04,,,,
3/31/2014,-0.051328831,,0.07,,0.06,,0.07,0.08,0.16,0.14,-0.01,,
12/31/2013,-0.09373928,,0.08,,0.07,,0.2,0.17,0.01,,,,
9/30/2013,-0.055839497,,0.12,,0.17,,0.15,0,,,,,
6/28/2013,0.024100549,,0.07,,0.09,,-0.08,,,,,,
3/28/2013,-0.193528681,,0.01,,0.04,,0.05,0.13,0.17,-0.08,,,
12/31/2012,-0.154723025,,0.04,,0.14,,0.2,0.05,,,,,
9/28/2012,0.0894136,,0.2,,,,,,,,,,
6/29/2012,0.03023602,,0.03,,,,,,,,,,
3/30/2012,-0.080248276,,-0.04,,,,,,,,,,
12/30/2011,0.18,,nan,,,,,,,,,,
9/30/2011,0.216846171,,nan,,,,,,,,,,
7/1/2011,0.211373234,,nan,,,,,,,,,,
4/1/2011,0.276028668,,nan,,,,,,,,,,
12/31/2010,0.045824981,,nan,,,,,,,,,,
10/1/2010,0.185943508,,nan,,,,,,,,,,
7/2/2010,0.102231772,,nan,,,,,,,,,,
4/1/2010,0.065539677,,nan,,,,,,,,,,
12/31/2009,0.019586432,,nan,,,,,,,,,,
9/25/2009,-0.126963316,,nan,,,,,,,,,,
6/26/2009,-0.320926673,,nan,,,,,,,,,,
3/27/2009,-0.655513257,,nan,,,,,,,,,,
12/26/2008,-0.841864577,,nan,,,,,,,,,,
9/26/2008,-0.150500419,,nan,,,,,,,,,,
6/27/2008,0.144720896,,nan,,,,,,,,,,
3/28/2008,-0.148967475,,nan,,,,,,,,,,
12/31/2007,0.01,,nan,,,,,,,,,,
9/28/2007,0.18,,nan,,,,,,,,,,
6/29/2007,2.29,,nan,,,,,,,,,,
3/30/2007,-0.01,,nan,,,,,,,,,,
12/29/2006,0.09,,nan,,,,,,,,,,
9/29/2006,0.06,,nan,,,,,,,,,,
6/30/2006,0.04,,nan,,,,,,,,,,
3/31/2006,0.05,,nan,,,,,,,,,,
12/30/2005,-0.02,,nan,,,,,,,,,,
9/30/2005,-0.04,,nan,,,,,,,,,,
7/1/2005,-0.12,,nan,,,,,,,,,,
4/1/2005,-0.53,,nan,,,,,,,,,,
12/31/2004,-0.22,,nan,,,,,,,,,,
9/24/2004,0.02,,nan,,,,,,,,,,
6/25/2004,0.13,,nan,,,,,,,,,,
3/26/2004,0.16,,nan,,,,,,,,,,
12/26/2003,0.15,,nan,,,,,,,,,,
9/26/2003,0.12,,nan,,,,,,,,,,
6/27/2003,-0.1,,nan,,,,,,,,,,
3/28/2003,-0.27,,nan,,,,,,,,,,
12/27/2002,-1.01,,nan,,,,,,,,,,
9/27/2002,-0.45,,nan,,,,,,,,,,
6/28/2002,-0.23,,nan,,,,,,,,,,
3/28/2002,-0.33,,nan,,,,,,,,,,
12/28/2001,-0.31,,nan,,,,,,,,,,
9/28/2001,-2.92,,nan,,,,,,,,,,
6/29/2001,-0.14,,nan,,,,,,,,,,
3/30/2001,0.08,,nan,,,,,,,,,,
12/29/2000,0.68,,nan,,,,,,,,,,
9/29/2000,0.45,,nan,,,,,,,,,,
6/30/2000,0.49,,nan,,,,,,,,,,
3/31/2000,0.4,,nan,,,,,,,,,,
12/31/1999,0.35,,nan,,,,,,,,,,
10/1/1999,0.21,,nan,,,,,,,,,,
7/2/1999,0.08,,nan,,,,,,,,,,
4/1/1999,0.08,,nan,,,,,,,,,,
12/31/1998,-0.02,,nan,,,,,,,,,,
9/28/1998,0.02,,nan,,,,,,,,,,
6/29/1998,-0.09,,nan,,,,,,,,,,
3/30/1998,-0.92,,nan,,,,,,,,,,
12/29/1997,0,,nan,,,,,,,,,,
9/29/1997,0.08,,nan,,,,,,,,,,
6/30/1997,0.07,,nan,,,,,,,,,,
3/31/1997,0.06,,nan,,,,,,,,,,
12/30/1996,0.02,,nan,,,,,,,,,,
9/30/1996,0.01,,nan,,,,,,,,,,
7/1/1996,0.19,,nan,,,,,,,,,,
4/1/1996,0.39,,nan,,,,,,,,,,
12/29/1995,0.38,,nan,,,,,,,,,,
10/2/1995,0.33,,nan,,,,,,,,,,
7/3/1995,0.27,,nan,,,,,,,,,,
4/3/1995,0.11,,nan,,,,,,,,,,
12/30/1994,0.18,,nan,,,,,,,,,,
10/3/1994,0.16,,nan,,,,,,,,,,
7/1/1994,0,,nan,,,,,,,,,,
4/4/1994,0,,nan,,,,,,,,,,
1/3/1994,-0.055,,nan,,,,,,,,,,
9/27/1993,0.08,,nan,,,,,,,,,,
6/28/1993,0.05,,nan,,,,,,,,,,
3/29/1993,0.035,,nan,,,,,,,,,,
12/31/1992,-0.33,,nan,,,,,,,,,,
9/30/1992,0.005,,nan,,,,,,,,,,
6/30/1992,-0.02,,nan,,,,,,,,,,
