CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1
N,,12/31/2027,,0.382,8/25/2026,0.382,8/24/2026
Plots Adjusted,,9/30/2027,,0.441,,0.441,
,,6/30/2027,,0.434,,0.434,
,,3/31/2027,,0.441,,0.441,
,,12/31/2026,,0.319,,0.319,
,,9/30/2026,,0.355,,0.355,
,8/6/2026,6/30/2026,0.14,0.36,,0.36,
,5/7/2026,3/31/2026,0.33,0.41,,0.41,
,2/26/2026,12/31/2025,0.04,0.26,,0.26,
,11/6/2025,9/30/2025,-0.27,0.42,,0.42,
,8/7/2025,6/30/2025,0.33,0.47,,0.47,
,5/6/2025,3/31/2025,0.15,0.18,,0.18,
,2/20/2025,12/31/2024,-0.11,-0.11,,-0.11,
,11/6/2024,9/30/2024,0.01,0.01,,0.01,
,8/6/2024,6/30/2024,0.28,0.28,,0.28,
,5/7/2024,3/31/2024,0.27,0.27,,0.27,
,2/29/2024,12/31/2023,0.17,0.17,,0.17,
,11/7/2023,9/30/2023,0.89,0.297,,0.297,
,8/8/2023,6/30/2023,0.52,0.173,,0.173,
,5/9/2023,3/31/2023,0.4,0.133,,0.133,
,3/1/2023,12/31/2022,-0.38,-0.123,,-0.123,
,11/9/2022,9/30/2022,-2.46,-0.82,,-0.82,
,8/9/2022,6/30/2022,0.12,0.04,,0.04,
,5/10/2022,3/31/2022,0.09,0.03,,0.03,
,3/1/2022,12/31/2021,-0.04,0.05,,0.05,
,11/11/2021,9/30/2021,0.03,0.03,,0.03,
,8/12/2021,6/30/2021,0.05,0.05,,0.05,
,5/13/2021,3/31/2021,0.01,0.01,,0.01,
,3/11/2021,12/31/2020,0.02,0.02,,0.02,
,11/12/2020,9/30/2020,0.06,0.06,,0.06,
,8/6/2020,6/30/2020,0.02,0.02,,0.02,
,5/12/2020,3/31/2020,0.01,0.01,,0.01,
,3/12/2020,12/31/2019,-0.03,-0.02,,-0.02,
,11/7/2019,9/30/2019,0.03,0.03,,0.03,
,8/8/2019,6/30/2019,-0.03,-0.03,,-0.03,
,5/9/2019,3/31/2019,0.19,0.19,,0.19,
,3/14/2019,12/31/2018,-0.02,-0.02,,-0.02,
,11/8/2018,9/30/2018,-0.08,-0.08,,-0.08,
,8/9/2018,6/30/2018,-0.07,-0.07,,-0.07,
,5/10/2018,3/31/2018,-0.06,-0.06,,-0.06,
,3/8/2018,12/31/2017,-0.12,-0.12,,-0.12,
,11/8/2017,9/30/2017,-0.04,-0.04,,-0.04,
