Q_Report_Date,Date,Q_EPS_Diluted,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,3/31/2021,0.05,0.190746269,0.190746269,,,,,,
,12/31/2020,0.24,0.328507463,0.328507463,,,,,,
,9/30/2020,0.2,0.211940299,0.211940299,,,,,,
,6/30/2020,0.19,-0.02119403,-0.02119403,,,,,,
,3/31/2020,0.08,0.18,0.18,0.15,0.13,,,,
,12/31/2019,0.26,0.31,0.31,0.23,0.24,,,,
,9/30/2019,0.18,0.2,0.2,0.18,,,,,
,6/28/2019,-0.293471945,-0.02,0.2,0.13,,,,,
,3/29/2019,0.057882353,0.16,0.15,0.16,,,,,
,12/31/2018,0.318188235,0.19,0.23,0.14,0.4,,,,
,9/28/2018,0.138525536,0.0,0.33,0.13,0.3,,,,
,6/29/2018,0.134622223,0.0,0.21,0.05,,,,,
,3/29/2018,0.137929325,0.2,0.23,0.19,0.06,,,,
,12/29/2017,0.185740693,0.25,0.27,0.19,0.21,,,,
,9/22/2017,0.21135477600000002,0.17,0.2,,,,,,
,6/23/2017,0.08126926200000001,0.09,0.12,0.21,0.06,,,,
,3/24/2017,-0.102793765,-0.12,0.01,0.24,0.21,,,,
,12/30/2016,0.14752168400000001,0.21,0.16,0.27,0.34,0.41,0.11,,
,9/30/2016,0.119410874,0.18,0.19,0.25,0.36,,,,
,6/30/2016,0.009738386,0.24,0.21,0.28,0.36,,,,
,3/31/2016,-0.24025597699999998,-0.04,0.31,0.37,,,,,
,12/31/2015,0.348587298,0.35,0.3,0.59,0.63,,,,
,9/25/2015,0.32772808600000003,0.26,0.5,0.56,0.69,,,,
,6/26/2015,0.20218246899999998,0.28,0.42,0.47,0.63,,,,
,3/31/2015,-0.027668456,0.15,0.28,0.45,0.62,,,,
,12/26/2014,0.20050089399999999,0.35,0.58,0.56,0.61,0.74,0.7,0.73,0.57
,9/30/2014,0.419081694,0.59,0.57,0.62,0.64,0.59,0.4,,
,6/30/2014,0.437857824,0.45,0.48,0.53,0.61,0.68,0.35,,
,3/31/2014,0.35182142899999996,0.4,0.41,0.47,0.43,0.44,0.58,,
,12/31/2013,0.531501743,0.62,0.64,0.65,0.49,,,,
,9/27/2013,0.550799567,0.48,0.5,0.47,0.53,0.3,,,
,6/28/2013,0.516051461,0.38,0.47,0.52,0.47,0.3,,,
,3/28/2013,0.35393939399999996,0.3,0.31,0.35,0.62,,,,
,12/28/2012,0.654424242,0.49,0.48,,,,,,
,9/28/2012,0.639441748,0.55,,,,,,,
,6/29/2012,0.510558252,0.45,,,,,,,
,3/30/2012,0.430025445,0.43,,,,,,,
,12/23/2011,0.594150591,,,,,,,,
,9/23/2011,0.445731554,,,,,,,,
,6/24/2011,0.581046748,,,,,,,,
,3/25/2011,0.211707065,,,,,,,,
,12/23/2010,0.381867423,,,,,,,,
,9/24/2010,0.43358818200000004,,,,,,,,
,6/25/2010,0.260020103,,,,,,,,
,3/26/2010,0.229045093,,,,,,,,
,12/24/2009,0.380026144,,,,,,,,
,9/25/2009,0.347147831,,,,,,,,
,6/26/2009,0.259057038,,,,,,,,
,3/27/2009,0.104234701,,,,,,,,
,12/26/2008,0.125,,,,,,,,
,9/26/2008,0.225,,,,,,,,
,6/26/2008,0.19,,,,,,,,
,3/28/2008,0.16,,,,,,,,
,12/27/2007,0.145,,,,,,,,
,9/26/2007,0.065,,,,,,,,
,6/26/2007,0.075,,,,,,,,
,3/29/2007,0.154157303,,,,,,,,
,12/29/2006,0.170674157,,,,,,,,
,9/29/2006,0.15966292099999999,,,,,,,,
,6/30/2006,0.15966292099999999,,,,,,,,
,3/31/2006,0.0917603,,,,,,,,
,12/30/2005,0.09543071199999999,,,,,,,,
,9/30/2005,0.146816479,,,,,,,,
,6/30/2005,0.10644194800000001,,,,,,,,
,3/31/2005,0.11378277199999999,,,,,,,,
,12/31/2004,0.146816479,,,,,,,,
,9/30/2004,0.132134831,,,,,,,,
,6/30/2004,0.117453184,,,,,,,,
