CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Non-GAAP Adjusted,,10/30/2027,,3.01,1/10/2026,2.85,11/15/2025,2.57,10/27/2025,2.59,9/24/2025,2.56,8/22/2025,2.64,7/1/2025,2.66,5/17/2025,,,,,,
,,7/30/2027,,2.97,,2.82,,2.44,,2.47,,2.46,,2.55,,2.55,,,,,,,
,,4/30/2027,,2.89,,2.76,,2.28,,2.31,,2.3,,2.45,,2.46,,,,,,,
,,1/30/2027,,2.88,,2.69,,2.14,,2.17,,2.17,,2.37,,2.37,,,,,,,
,,10/30/2026,,2.72,10/27/2025,2.6,10/27/2025,2.57,10/27/2025,2.59,9/24/2025,2.56,8/22/2025,2.64,7/1/2025,2.66,5/17/2025,,,,,,
,,7/30/2026,,2.39,,2.41,,2.44,,2.47,,2.46,,2.55,,2.55,,,,,,,
,,4/30/2026,,2.26,,2.28,,2.28,,2.31,,2.3,,2.45,,2.46,,,,,,,
,,1/30/2026,,2.2,,2.17,,2.14,,2.17,,2.17,,2.37,,2.37,,,,,,,
,11/13/2025,10/30/2025,2.38,2.17,11/17/2024,2.1,11/17/2024,2.12,11/17/2024,2.12,11/17/2024,2.37,11/17/2024,2.37,11/17/2024,,,,,,,,
,8/14/2025,7/30/2025,2.22,2.48,,2.36,,2.36,,2.32,,,,,,,,,,,,,
,5/15/2025,4/30/2025,2.63,2.39,,2.31,,2.31,,2.33,,,,,,,,,,,,,
,2/13/2025,1/30/2025,1.45,2.38,,2.29,,2.29,,2.26,,,,,,,,,,,,,
,11/14/2024,10/30/2024,2.09,2.32,1/2/2024,2.19,1/2/2024,2.18,1/2/2024,2.14,1/2/2024,,,,,,,,,,,,
,8/15/2024,7/30/2024,2.05,2.12,,2.03,,2.01,,1.98,,,,,,,,,,,,,
,5/16/2024,4/30/2024,2.06,2.09,,1.99,,1.97,,1.78,,,,,,,,,,,,,
,2/15/2024,1/30/2024,2.41,2.13,,1.91,,1.91,,1.84,,,,,,,,,,,,,
,11/16/2023,10/30/2023,2.38,2.12,,2,,1.9,,1.6,,,,,,,,,,,,,
,8/17/2023,7/30/2023,1.85,1.9,,1.74,,1.72,,1.65,,,,,,,,,,,,,
,5/18/2023,4/30/2023,1.86,2,,1.84,,1.84,,1.84,,,,,,,,,,,,,
,2/16/2023,1/30/2023,2.02,2.03,,1.93,,1.92,,1.85,,,,,,,,,,,,,
,11/17/2022,10/30/2022,1.85,2.03,,1.74,,2.01,,2.02,,,,,,,,,,,,,
,8/18/2022,7/31/2022,1.85,1.94,,1.81,,1.8,,2.02,,,,,,,,,,,,,
,5/19/2022,4/30/2022,1.74,1.85,,1.9,,1.91,,1.9,,,,,,,,,,,,,
,2/16/2022,1/31/2022,2,1.89,,1.86,,1.86,,2.01,,,,,,,,,,,,,
,11/18/2021,10/30/2021,1.89,1.94,,1.95,,1.81,,1.81,,,,,,,,,,,,,
,8/19/2021,7/31/2021,1.87,1.9,,1.77,,1.77,,1.56,,,,,,,,,,,,,
,5/20/2021,4/30/2021,1.43,1.63,,1.51,,1.51,,1.51,,,,,,,,,,,,,
,2/18/2021,1/31/2021,1.22,1.39,,1.26,,1.26,,1.11,,,,,,,,,,,,,
,11/12/2020,10/30/2020,1.23,1.25,,1.17,1/16/2020,1.17,1/16/2020,1.02,1/16/2020,,,,,,,,,,,,
,8/13/2020,7/31/2020,0.91,1.06,,0.95,,0.94,,0.94,,,,,,,,,,,,,
,5/14/2020,4/30/2020,0.82,0.89,,0.96,,1.04,,1,,,,,,,,,,,,,
,2/12/2020,1/31/2020,0.96,0.98,,0.92,,0.72,,0.81,,,,,,,,,,,,,
,11/14/2019,10/31/2019,0.75,0.8,,0.76,,0.75,,0.75,,,,,,,,,,,,,
,8/15/2019,7/31/2019,0.609,0.74,,0.609,,0.69,,0.82,,,,,,,,,,,,,
,5/16/2019,4/26/2019,0.702531646,0.7,,0.66,,0.76,,0.78,,,,,,,,,,,,,
,2/14/2019,1/25/2019,0.798963731,0.81,,0.79,,0.9,,0.92,,,,,,,,,,,,,
,11/15/2018,10/31/2018,0.890243902,0.97,,0.97,,1.17,,1.21,,,,,,,,,,,,,
,8/16/2018,7/31/2018,1.167164179,1.2,,1.17,,1.16,,1.04,,,,,,,,,,,,,
,5/17/2018,4/30/2018,1.085576923,1.22,,1.14,,1.02,,1.01,,,,,,,,,,,,,
,2/14/2018,1/26/2018,0.12605042,1.06,,0.98,,0.97,,0.91,,,,,,,,,,,,,
,11/16/2017,10/27/2017,0.912639405,,,0.91,,0.9,,0.79,,,,,,,,,,,,,
,8/17/2017,7/28/2017,0.854108957,,,0.84,,0.81,,0.66,,,,,,,,,,,,,
