CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Non-GAAP,,6/30/2027,,1.2,11/9/2025,1.13,9/22/2025,1.13,8/17/2025,1.05,7/18/2025,1.07,6/14/2025,,,,,,,,,,,
,,3/30/2027,,1.08,,1.03,,1.03,,0.97,,0.99,,,,,,,,,,,,
,,12/31/2026,,1.09,,1.19,,1.19,,1.14,,1.13,,,,,,,,,,,,
,,9/30/2026,,1.09,,1.04,,1.04,,0.95,,0.94,,,,,,,,,,,,
,,6/30/2026,,1.11,7/18/2025,1.08,7/18/2025,1.09,7/18/2025,1.05,7/18/2025,1.07,6/14/2025,,,,,,,,,,,
,,3/30/2026,,0.97,,0.95,,0.96,,0.97,,0.99,,,,,,,,,,,,
,,12/31/2025,,1.03,,1.11,,1.11,,1.14,,1.13,,,,,,,,,,,,
,11/5/2025,9/30/2025,0.58,1.05,,0.99,,0.99,,0.95,,0.94,,,,,,,,,,,,
,8/7/2025,6/30/2025,0.11,0.97,9/23/2024,0.83,9/23/2024,0.83,9/23/2024,0.85,9/23/2024,,,,,,,,,,,,,
,4/30/2025,3/30/2025,0.35,0.82,,0.77,,0.76,,0.86,,,,,,,,,,,,,,
,2/6/2025,12/31/2024,0.87,1.11,,0.92,,0.92,,0.99,,,,,,,,,,,,,,
,10/31/2024,9/30/2024,0.32,0.93,,0.8,,0.8,,0.77,,,,,,,,,,,,,,
,8/1/2024,6/30/2024,0.91,0.98,9/24/2023,1.01,9/24/2023,1.03,9/24/2023,1.42,9/24/2023,,,,,,,,,,,,,
,5/2/2024,3/30/2024,0.36,0.94,,0.94,,0.97,,1.19,,,,,,,,,,,,,,
,2/1/2024,12/31/2023,0.14,1.24,,1.19,,1.2,,1.22,,,,,,,,,,,,,,
,11/2/2023,9/30/2023,0.3,1.01,,0.9,,0.9,,0.96,,,,,,,,,,,,,,
,8/3/2023,6/30/2023,-0.18,0.91,,0.86,,0.87,,0.92,,,,,,,,,,,,,,
,5/4/2023,3/30/2023,0.21,0.73,,0.47,,0.49,,0.77,,,,,,,,,,,,,,
,2/2/2023,12/31/2022,0.96,0.89,,0.79,,0.81,,0.87,,,,,,,,,,,,,,
,11/3/2022,9/30/2022,-0.43,0.77,,0.76,,0.76,,0.76,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,0.38,0.8,,0.77,,0.77,,0.77,,,,,,,,,,,,,,
,5/4/2022,3/31/2022,0.28,0.7,,0.66,,0.68,,0.8,,,,,,,,,,,,,,
,2/3/2022,12/31/2021,0.32,0.89,,0.89,,0.89,,0.89,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,0.48,0.83,,0.8,,0.8,,0.82,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,0.66,0.8,,0.71,,0.72,,0.72,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,0.33,0.75,,0.69,,0.69,,0.69,,,,,,,,,,,,,,
,2/4/2021,12/31/2020,-0.24,0.95,,0.85,,0.85,,0.84,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.38,0.89,,0.67,,0.68,,0.68,,,,,,,,,,,,,,
,8/6/2020,6/30/2020,0.1,0.8,,0.61,,0.61,,0.62,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,0.1,0.61,,0.62,,0.69,,0.69,,,,,,,,,,,,,,
,1/30/2020,12/31/2019,0.4,0.84,,0.79,,0.8,,0.81,,,,,,,,,,,,,,
,10/31/2019,9/30/2019,0.27,0.64,,0.63,,0.64,,0.74,,,,,,,,,,,,,,
,8/1/2019,6/28/2019,0.27,0.72,,0.72,,0.71,,0.74,,,,,,,,,,,,,,
,5/1/2019,3/29/2019,0.269458949,0.64,,0.6,,0.61,,0.63,,,,,,,,,,,,,,
,1/31/2019,12/31/2018,0.387646622,0.8,,0.72,,0.74,,0.69,,,,,,,,,,,,,,
,10/30/2018,9/28/2018,0.134839469,0.6,,0.6,,0.59,,0.62,,,,,,,,,,,,,,
,9/2/2018,6/29/2018,0.229771282,,,0.68,,0.7,,,,,,,,,,,,,,,,
,5/9/2018,3/29/2018,0.219573953,,,0.62,,0.61,,,,,,,,,,,,,,,,
,1/31/2018,12/29/2017,0.318938608,,,0.63,,0.67,,0.545,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,0.137457509,,,0.54,,0.57,,0.505,,,,,,,,,,,,,,
