CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Adjusted Diluted,,12/31/2026,,4.79,11/4/2025,4.68,9/14/2025,4.67,8/5/2025,4.66,7/17/2025,4.64,6/11/2025,4.65,5/2/2025,,,,,
,,9/30/2026,,5.11,,4.78,,4.75,,4.74,,4.73,,4.73,,,,,,
,,6/30/2026,,4.97,,4.91,,4.82,,4.74,,4.7,,4.71,,,,,,
,,3/30/2026,,4.88,,4.86,,4.83,,4.85,,4.84,,4.83,,,,,,
,,12/31/2025,,4.25,1/13/2025,4.14,1/13/2025,4.16,1/13/2025,4.18,1/13/2025,4.15,1/13/2025,4.16,1/13/2025,,,,,
,10/30/2025,9/30/2025,3.86,4.73,,4.28,,4.27,,4.27,,4.25,,4.25,,,,,,
,7/31/2025,6/30/2025,3.5,4.43,,4.21,,4.15,,4.16,,,,,,,,,,
,4/29/2025,3/30/2025,3.54,4.37,,4.22,,4.25,,4.23,,,,,,,,,,
,2/11/2025,12/31/2024,2.85,3.77,4/5/2024,3.39,4/5/2024,3.34,4/5/2024,3.32,4/5/2024,,,,,,,,,
,10/24/2024,9/30/2024,3.11,3.89,,3.4,,3.38,,3.42,,,,,,,,,,
,7/30/2024,6/30/2024,3.23,4.04,,3.45,,3.45,,3.49,,,,,,,,,,
,4/25/2024,3/30/2024,3.16,4.01,,3.56,,3.51,,3.65,,,,,,,,,,
,2/8/2024,12/31/2023,1.83,3.13,3/23/2023,3.11,3/23/2023,3.11,3/23/2023,3.18,3/23/2023,,,,,,,,,
,11/2/2023,9/30/2023,2.33,3.21,,3.05,,3.07,,3.08,,,,,,,,,,
,7/27/2023,6/30/2023,1.6,3.12,,3.09,,3.09,,3.15,,,,,,,,,,
,4/27/2023,3/30/2023,2.47,3.15,,2.91,,2.93,,2.94,,,,,,,,,,
,2/9/2023,12/31/2022,1.33,2.54,,2.47,,2.47,,2.54,,,,,,,,,,
,10/27/2022,9/30/2022,1.84,2.93,,2.8,,2.86,,2.89,,,,,,,,,,
,8/2/2022,6/30/2022,2.86,2.81,,2.96,,3.02,,3.21,,,,,,,,,,
,5/3/2022,3/31/2022,4.47,2.89,,2.95,,3.03,,3.48,,,,,,,,,,
,2/8/2022,12/31/2021,2.79,3.15,,3.1,,3.09,,3.05,,,,,,,,,,
,10/26/2021,9/30/2021,3.3,3.54,,3.13,,3.11,,3.08,,,,,,,,,,
,7/29/2021,6/30/2021,3.3,3.62,,3.23,,3.2,,3.18,,,,,,,,,,
,4/29/2021,3/31/2021,3.12,3.39,,3.03,,2.88,,2.77,,,,,,,,,,
,2/9/2021,12/31/2020,1.88,2.71,,2.47,,2.47,,2.44,3/19/2020,,,,,,,,,
,10/27/2020,9/30/2020,1.88,2.85,,2.48,,2.45,,2.43,,,,,,,,,,
,7/28/2020,6/30/2020,3.28,3.4,,2.65,,2.45,,2.34,,,,,,,,,,
,4/28/2020,3/31/2020,2.62,2.73,,2.35,,2.39,,2.39,,,,,,,,,,
,2/6/2020,12/31/2019,2.2,2.53,,2.42,,2.36,,2.37,,,,,,,,,,
,10/29/2019,9/30/2019,2.5,2.46,,2.34,,2.32,,2.31,,,,,,,,,,
,8/1/2019,6/28/2019,2.24,2.43,,2.28,,2.3,,2.34,,,,,,,,,,
,5/2/2019,3/29/2019,1.65,2.11,,2.13,,2.2,,2.24,,,,,,,,,,
,2/7/2019,12/31/2018,2.035785288,2.22,,2.19,,2.22,,2.29,,,,,,,,,,
,10/25/2018,9/28/2018,1.952662722,2.11,,2.04,,2.13,,1.73,,,,,,,,,,
,7/26/2018,6/29/2018,1.819976313,2.17,,2.13,,2.14,,2.13,,,,,,,,,,
,4/26/2018,3/29/2018,1.930031447,2,,1.97,,1.68,,1.66,,,,,,,,,,
,2/6/2018,12/29/2017,1.019455253,,,1.61,,1.49,,1.53,,,,,,,,,,
,10/26/2017,9/29/2017,1.605273362,,,1.54,,1.52,,1.55,,,,,,,,,,
,7/27/2017,6/30/2017,1.61985379,,,1.58,,1.56,,1.57,,,,,,,,,,
,4/25/2017,3/31/2017,1.529907975,,,1.39,,1.36,,1.33,,,,,,,,,,
,,12/30/2016,2.024886878,,,1.19,,1.3,,1.29,,,,,,,,,,
,,9/30/2016,3.362231436,,,1.34,,1.32,,1.31,,,,,,,,,,
,,6/30/2016,1.436070491,,,1.34,,1.33,,1.31,,,,,,,,,,
,,3/31/2016,1.100299401,,,1.15,,1.16,,1.15,,,,,,,,,,
,,12/31/2015,0.907754502,,,1.01,,1.02,,1.12,,,,,,,,,,
,,9/30/2015,0.918367347,,,1.07,,1.14,,1.1,,,,,,,,,,
