CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
N,,12/31/2026,,2.03,11/2/2025,1.97,9/8/2025,1.98,8/3/2025,1.94,7/18/2025,1.94,6/14/2025,,,,,
,,9/30/2026,,2.29,,2.15,,2.14,,2.11,,2.11,,,,,,
,,6/30/2026,,2.07,,2.02,,1.84,,1.73,,1.73,,,,,,
,,3/30/2026,,1.92,,1.8,,1.8,,1.81,,1.81,,,,,,
,,12/31/2025,,1.78,1/29/2025,1.85,1/29/2025,1.8,1/29/2025,1.78,1/29/2025,1.78,1/29/2025,,,,,
,10/29/2025,9/30/2025,2.05,2.05,,1.98,,1.91,,1.9,,1.9,,,,,,
,7/30/2025,6/30/2025,1.7,1.7,,1.52,,1.52,,1.46,,,,,,,,
,4/30/2025,3/30/2025,1.45,1.45,,1.2,,1.26,,1.3,,,,,,,,
,2/26/2025,12/31/2024,0.99,0.99,4/12/2024,0.7,4/12/2024,0.7,4/12/2024,0.8,4/12/2024,,,,,,,
,10/30/2024,9/30/2024,0.65,0.65,,0.58,,1.39,,1.48,,,,,,,,
,7/31/2024,6/30/2024,-0.91,-0.91,,1.13,,1.27,,1.39,,,,,,,,
,5/1/2024,3/30/2024,1.12,1.12,,1.21,,1.28,,1.37,,,,,,,,
,2/28/2024,12/31/2023,1.43,1.43,,1.52,,1.49,,1.59,,,,,,,,
,10/25/2023,9/30/2023,1.28,1.28,,1.42,,1.42,,1.45,,,,,,,,
,7/26/2023,6/30/2023,1.33,1.33,,1.28,,1.28,,1.3,,,,,,,,
,4/26/2023,3/30/2023,1.38,1.38,,1.07,,1.04,,1.01,,,,,,,,
,2/22/2023,12/31/2022,1.46,1.46,,1.08,,1.08,,1.05,,,,,,,,
,10/26/2022,9/30/2022,1.09,1.09,,1.23,,1.23,,1.31,,,,,,,,
,7/27/2022,6/30/2022,1.15,1.15,,1.16,,1.16,,1.21,,,,,,,,
,4/27/2022,3/31/2022,1.21,1.21,,1.06,,1.06,,1.09,,,,,,,,
,2/23/2022,12/31/2021,1.2,1.2,,1.15,,1.15,,1.16,,,,,,,,
,10/27/2021,9/30/2021,1.35,1.35,,1.18,,1.17,,1.16,,,,,,,,
,7/28/2021,6/30/2021,1.24,1.24,,0.95,,0.95,,0.87,,,,,,,,
,4/28/2021,3/31/2021,1.17,1.17,,0.65,,0.65,,0.62,,,,,,,,
,3/3/2021,12/31/2020,1.07,1.07,,0.79,,0.79,,0.79,,,,,,,,
,10/28/2020,9/30/2020,1.02,1.02,,0.75,,0.8,,0.83,,,,,,,,
,7/29/2020,6/30/2020,0.8,0.8,,0.62,,0.58,,0.58,,,,,,,,
,4/29/2020,3/31/2020,0.59,0.59,,0.52,,0.48,,0.48,,,,,,,,
,3/4/2020,12/31/2019,0.76,0.76,,0.62,,0.63,,0.65,,,,,,,,
,10/30/2019,9/30/2019,0.62,0.62,,0.61,,0.62,,0.67,,,,,,,,
,7/31/2019,6/28/2019,0.431453544,0.43,,0.57,,0.45,,,,,,,,,,
,5/1/2019,3/29/2019,0.441409533,0.44,,0.39,,0.4,,,,,,,,,,
,3/6/2019,12/31/2018,0.640430521,0.64,,0.52,,0.53,,0.5,,,,,,,,
,10/31/2018,9/28/2018,0.47847264,0.48,,0.54,,0.58,,,,,,,,,,
,8/1/2018,6/29/2018,0.411945516,0.41,,0.4,,0.38,,,,,,,,,,
,5/2/2018,3/29/2018,0.341646489,0.34,,0.19,,0.26,,,,,,,,,,
,3/7/2018,12/29/2017,0.821476104,,,0.34,,0.46,,0.47,,,,,,,,
,11/1/2017,9/29/2017,0.312310307,,,0.34,,0.51,,0.46,,,,,,,,
,8/2/2017,6/30/2017,0.074531903,,,0.34,,0.43,,0.4,,,,,,,,
,5/3/2017,3/31/2017,0.07293946,,,0.29,,0.28,,0.3,,,,,,,,
,,12/30/2016,0.477087794,,,0.4,,0.36,,0.38,,,,,,,,
,,9/30/2016,0.379922112,,,0.38,,0.37,,0.4,,,,,,,,
,,6/30/2016,0.311103569,,,0.33,,0.31,,0.37,,,,,,,,
,,3/31/2016,0.101201997,,,0.28,,0.29,,0.37,,,,,,,,
,,12/31/2015,0.285721226,,,0.31,,0.46,,0.43,,,,,,,,
,,9/30/2015,0.291081361,,,0.42,,0.49,,0.43,,,,,,,,
,,6/30/2015,0.380579778,,,0.4,,0.42,,0.39,,,,,,,,
,,3/31/2015,0.34068022,,,0.3,,0.31,,0.29,,,,,,,,
,,12/31/2014,0.667848532,,,0.37,,0.42,,0.41,,,,,,,,
,,9/30/2014,0.3905023,,,0.38,,0.45,,0.42,,,,,,,,
,,6/30/2014,0.357866026,,,0.41,,0.39,,0.43,,,,,,,,
,,3/31/2014,0.291544647,,,0.32,,0.34,,0.33,,,,,,,,
,,12/31/2013,0.465101169,,,0.4,,0.41,,0.4,,,,,,,,
,,9/30/2013,0.387609547,,,0.44,,0.45,,0.46,,,,,,,,
,,6/28/2013,0.442211525,,,0.44,,0.45,,0.48,,,,,,,,
,,3/28/2013,0.326591901,,,0.35,,0.36,,0.35,,,,,,,,
,,12/28/2012,0.459746859,,,0.42,,,,,,,,,,,,
,,9/28/2012,0.412819787,,,0.44,,,,,,,,,,,,
,,6/29/2012,0.452024272,,,0.33,,,,,,,,,,,,
,,3/30/2012,0.294494238,,,0.21,,,,,,,,,,,,
