CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y/N,,12/31/2025,,0.22,6/15/2024,0.22,4/27/2024,0.16,3/16/2024,0.16,2/1/2024,0.17,12/30/2023,0.17,11/7/2023,0.17,10/1/2023,0.18,8/21/2023,0.21,7/18/2023,0.21,6/10/2023,0.23,4/29/2023,,3/16/2023,0.25,2/4/2023,0.26,1/26/2023,0.26,12/20/2022,0.26,11/14/2022,0.26,10/11/2022,0.26,9/9/2022,0.26,8/3/2022,0.26,7/26/2022,0.25,6/21/2022,0.25,5/15/2022,0.25,4/25/2022,,3/22/2022,0.22,2/21/2022,0.24,1/19/2022,0.24,12/14/2021,0.24,11/7/2021,0.26,10/17/2021,0.26,9/1/2021,0.26,7/31/2021,0.28,6/24/2021,0.28,5/25/2021,0.28,4/27/2021,0.21,4/12/2021,0.21,4/11/2021
,,9/30/2025,,0.23,,0.24,,0.17,,0.16,,0.18,,0.18,,0.17,,0.19,,0.21,,0.21,,0.25,,,,0.23,,0.26,,0.26,,0.26,,0.25,,0.25,,0.25,,0.24,,0.25,,0.25,,0.25,,,,0.21,,0.24,,0.24,,0.24,,0.27,,0.27,,0.27,,0.28,,0.28,,0.28,,0.21,,0.21,
,,6/30/2025,,0.21,,0.21,,0.14,,0.15,,0.16,,0.16,,0.15,,0.16,,0.18,,0.18,,0.23,,,,0.23,,0.26,,0.26,,0.26,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,,,0.19,,0.22,,0.22,,0.22,,0.24,,0.24,,0.24,,0.28,,0.28,,0.28,,0.24,,0.24,
,,3/30/2025,,0.16,,0.16,,0.11,,0.14,,0.13,,0.12,,0.12,,0.11,,0.13,,0.14,,0.17,,,,0.21,,0.25,,0.25,,0.25,,0.23,,0.23,,0.23,,0.22,,0.22,,0.22,,0.22,,,,0.17,,0.18,,0.18,,0.18,,0.2,,0.2,,0.2,,0.25,,0.25,,0.25,,0.3,,0.3,
,,12/31/2024,,0.15,3/16/2024,0.15,3/16/2024,0.16,3/16/2024,0.16,2/1/2024,0.17,12/30/2023,0.17,11/7/2023,0.17,10/1/2023,0.18,8/21/2023,0.21,7/18/2023,0.21,6/10/2023,0.23,4/29/2023,,3/16/2023,0.25,2/4/2023,0.26,1/26/2023,0.26,12/20/2022,0.26,11/14/2022,0.26,10/11/2022,0.26,9/9/2022,0.26,8/3/2022,0.26,7/26/2022,0.25,6/21/2022,0.25,5/15/2022,0.25,4/25/2022,,3/22/2022,0.22,2/21/2022,0.24,1/19/2022,0.24,12/14/2021,0.24,11/7/2021,0.26,10/17/2021,0.26,9/1/2021,0.26,7/31/2021,0.28,6/24/2021,0.28,5/25/2021,0.28,4/27/2021,0.21,4/12/2021,0.21,4/11/2021
,,9/30/2024,,0.17,,0.17,,0.17,,0.16,,0.18,,0.18,,0.17,,0.19,,0.21,,0.21,,0.25,,,,0.23,,0.26,,0.26,,0.26,,0.25,,0.25,,0.25,,0.24,,0.25,,0.25,,0.25,,,,0.21,,0.24,,0.24,,0.24,,0.27,,0.27,,0.27,,0.28,,0.28,,0.28,,0.21,,0.21,
,,6/30/2024,,0.17,,0.16,,0.14,,0.15,,0.16,,0.16,,0.15,,0.16,,0.18,,0.18,,0.23,,,,0.23,,0.26,,0.26,,0.26,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,,,0.19,,0.22,,0.22,,0.22,,0.24,,0.24,,0.24,,0.28,,0.28,,0.28,,0.24,,0.24,
,4/25/2024,3/30/2024,0.17,0.17,,0.11,,0.14,,0.13,,0.12,,0.12,,0.11,,0.13,,0.14,,0.17,,,,0.21,,0.25,,0.25,,0.25,,0.23,,0.23,,0.23,,0.22,,0.22,,0.22,,0.22,,,,0.17,,0.18,,0.18,,0.18,,0.2,,0.2,,0.2,,0.25,,0.25,,0.25,,0.3,,0.3,,,
,1/30/2024,12/31/2023,-0.17,0.09,3/16/2023,0.16,3/16/2023,0.16,3/16/2023,0.15,3/16/2023,0.13,3/16/2023,0.12,3/16/2023,0.15,3/16/2023,0.16,3/16/2023,0.21,3/16/2023,0.24,3/16/2023,0.25,2/4/2023,0.26,1/26/2023,0.26,12/20/2022,0.26,11/14/2022,0.26,10/11/2022,0.26,9/9/2022,0.26,8/3/2022,0.26,7/26/2022,0.25,6/21/2022,0.25,5/15/2022,0.25,4/25/2022,,3/22/2022,0.22,2/21/2022,0.24,1/19/2022,0.24,12/14/2021,0.24,11/7/2021,0.26,10/17/2021,0.26,9/1/2021,0.26,7/31/2021,0.28,6/24/2021,0.28,5/25/2021,0.28,4/27/2021,0.21,4/12/2021,0.21,4/11/2021,,,,
,10/24/2023,9/30/2023,0.2,0.16,,0.16,,0.16,,0.15,,0.16,,0.22,,0.23,,0.23,,0.26,,0.26,,0.26,,0.25,,0.25,,0.25,,0.24,,0.25,,0.25,,0.25,,,,0.21,,0.24,,0.24,,0.24,,0.27,,0.27,,0.27,,0.28,,0.28,,0.28,,0.21,,0.21,,,,,,,,,,,
