CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2024,,1.98,1/27/2024,1.88,12/7/2023,1.91,10/28/2023,1.8,10/7/2023,1.74,8/29/2023,1.75,7/26/2023,1.54,6/9/2023,1.54,4/28/2023,,4/15/2023,1.56,3/6/2023,2.29,1/27/2023,2.01,12/24/2022,1.99,11/20/2022,1.21,5/25/2020,1.22,4/21/2020,1.22,3/30/2020
,,9/30/2024,,1.92,,1.85,,1.84,,1.73,,1.69,,1.69,,1.55,,1.55,,,,1.55,,2.29,,2.03,,1.99,,1.15,,1.18,,1.18,
,,6/30/2024,,2.05,,1.93,,1.92,,1.79,,1.76,,1.76,,1.64,,1.64,,,,1.75,,2.53,,2.13,,2.09,,1.16,,1.18,,1.18,
,,3/30/2024,,2.14,,2.08,,2.07,,1.77,,1.69,,1.7,,1.64,,1.64,,,,1.79,,2.53,,2.08,,2.04,,0.99,,1.24,,1.24,
,1/23/2024,12/31/2023,2.7,2.7,4/15/2023,2.21,4/15/2023,2.21,4/15/2023,2.03,4/15/2023,2.02,4/15/2023,1.96,4/15/2023,1.77,4/15/2023,1.73,4/15/2023,1.56,4/15/2023,1.56,3/6/2023,2.29,1/27/2023,2.01,12/24/2022,1.99,11/20/2022,1.21,5/25/2020,1.22,4/21/2020,1.22,3/30/2020
,10/24/2023,9/30/2023,2.34,2.34,,2.12,,2.12,,2.07,,1.87,,1.81,,1.56,,1.55,,2.29,,2.03,,1.99,,1.15,,1.18,,1.18,,,,,
,7/26/2023,6/30/2023,2.33,2.33,,2.17,,2.12,,1.75,,1.75,,2.53,,2.13,,2.09,,1.16,,1.18,,1.18,,,,,,,,,,,
,4/25/2023,3/31/2023,1.4,2.25,,1.79,,1.79,,2.53,,2.08,,2.04,,0.99,,1.24,,1.24,,,,,,,,,,,,,,,
,1/24/2023,12/31/2022,1.76,2.64,,2.2,,2.19,,1.21,5/25/2020,1.22,4/21/2020,1.22,3/30/2020,,,,,,,,,,,,,,,,,,,,
,10/25/2022,9/30/2022,1.47,2.21,,1.15,,1.18,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,
,7/26/2022,6/30/2022,2.07,2.07,,1.16,,1.18,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,
,4/26/2022,3/31/2022,1.72,1.72,,0.99,,1.24,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,
,1/25/2022,12/31/2021,1.49,1.47,,1.21,5/25/2020,1.22,4/21/2020,1.22,3/30/2020,,,,,,,,,,,,,,,,,,,,,,,,
,10/26/2021,9/30/2021,1.08,1.08,,1.15,,1.18,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,
,7/27/2021,6/30/2021,1.41,1.41,,1.16,,1.18,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,
,4/27/2021,3/31/2021,1.35,1.35,,0.99,,1.24,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,
,1/26/2021,12/31/2020,1.17,1.17,,0.76,3/30/2020,0.83,3/30/2020,1.16,3/30/2020,1.27,3/1/2020,1.28,1/28/2020,1.32,1/24/2020,1.32,,1.29,,1.37,1.36,1.35,1.3820625,,,,,,,,,,
,10/20/2020,9/30/2020,1.11,1.11,,0.61,,0.79,,1.17,,1.28,,1.28,,1.35,,1.35,,1.34,,1.38,1.36,1.35,1.355484375,,,,,,,,,,
,7/21/2020,6/30/2020,0.43,0.43,,0.28,,0.65,,1.22,,1.33,,1.34,,1.4,,1.4,,1.49,,1.53,1.55,1.497234375,,,,,,,,,,,
,4/21/2020,3/31/2020,1.03,1.03,,1.31,,1.35,,1.38,,1.42,,1.42,,1.41,,1.44,1.51,1.461796875,,,,,,,,,,,,,,,
