CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Adj Dilu,,3/30/2026,,1.23,11/9/2024,1.37,10/24/2024,1.37,10/23/2024,,,,,,,,,,,,
,,12/30/2025,,1.05,,1.19,,1.19,,,,,,,,,,,,,
,,9/30/2025,,0.93,,0.69,,0.69,,,,,,,,,,,,,
,,6/30/2025,,1.12,,1.14,,1.14,,,,,,,,,,,,,
,,3/30/2025,,0.96,,1.1,,1.1,,,,,,,,,,,,,
,,12/30/2024,,0.76,,0.89,,0.89,,,,,,,,,,,,,
,11/6/2024,9/30/2024,0.33,0.77,,0.42,,0.42,,,,,,,,,,,,,
,8/8/2024,6/30/2024,0.81,1.1,,1.1,,,,,,,,,,,,,,,
,5/22/2024,3/30/2024,0.25,0.53,,0.53,,,,,,,,,,,,,,,
,2/6/2024,12/30/2023,0.46,0.74,,0.74,,,,,,,,,,,,,,,
,11/1/2023,9/30/2023,0.58,0.82,,0.82,,,,,,,,,,,,,,,
,8/1/2023,6/30/2023,0.93,1.1,,1.1,,,,,,,,,,,,,,,
,5/24/2023,3/30/2023,0.29,0.42,,0.42,,,,,,,,,,,,,,,
,2/1/2023,12/30/2022,0.34,0.48,,0.48,,,,,,,,,,,,,,,
,11/2/2022,9/30/2022,0.21,0.36,,0.36,,,,,,,,,,,,,,,
,8/3/2022,6/30/2022,0.27,0.39,,0.39,,,,,,,,,,,,,,,
,5/25/2022,3/31/2022,0.03,0.13,,0.13,,,,,,,,,,,,,,,
,2/2/2022,12/31/2021,0.12,0.24,,0.24,,,,,,,,,,,,,,,
,11/3/2021,9/30/2021,0.11,0.21,,0.21,,,,,,,,,,,,,,,
,8/4/2021,6/30/2021,0.15,0.27,,0.27,,,,,,,,,,,,,,,
,5/26/2021,3/31/2021,0.01,0.16,,0.16,,,,,,,,,,,,,,,
,2/3/2021,12/31/2020,0.08,0.22,,0.22,,,,,,,,,,,,,,,
,11/4/2020,9/30/2020,0.01,0.16,,0.16,,,,,,,,,,,,,,,
,8/5/2020,6/30/2020,0.03,0.17,,0.17,,,,,,,,,,,,,,,
,5/21/2020,3/31/2020,-0.01,0.1,,0.1,,,,,,,,,,,,,,,
,2/5/2020,12/31/2019,0.16,0.24,,0.24,,,,,,,,,,,,,,,
,11/6/2019,9/30/2019,0.13,0.15,,0.15,,,,,,,,,,,,,,,
,8/7/2019,6/28/2019,0.07,0.14,,0.14,,,,,,,,,,,,,,,
,5/8/2019,3/29/2019,-0.37,0.06,,0.06,,,,,,,,,,,,,,,
,2/26/2019,12/31/2018,0.2,0.3,,0.3,,,,,,,,,,,,,,,
,11/5/2018,9/28/2018,0.08,0.17,,0.17,,,,,,,,,,,,,,,
,8/8/2018,6/29/2018,0.03,0.13,,0.13,,,,,,,,,,,,,,,
,5/9/2018,3/29/2018,0.01,0.11,,0.11,,,,,,,,,,,,,,,
,2/27/2018,12/29/2017,0.44,0.28,,0.28,,,,,,,,,,,,,,,
,11/8/2017,9/29/2017,0.12,0.2,,0.2,,,,,,,,,,,,,,,
,8/9/2017,6/30/2017,0.08,0.15,,0.15,,,,,,,,,,,,,,,
,5/10/2017,3/31/2017,0.04,0.11,,0.11,,,,,,,,,,,,,,,
,3/8/2017,12/30/2016,0.13,0.19,,0.19,,,,,,,,,,,,,,,
