Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,12/31/2020,1.38,1/13/2020,1.08,9/9/2019,1.08,,1.08,,1.09,,1.07,1.070982659,,,
,9/30/2020,1.26,,0.94,,0.94,,0.94,,0.93,,0.937109827,,,,
,6/30/2020,1.23,,0.92,,0.92,,0.92,,0.93,,0.925953757,,,,
,3/31/2020,1.09,,0.9,,0.9,,0.9,,0.91,,0.9147976879999999,,,,
,12/31/2019,1.14,,0.97,,0.97,,0.97,,0.96,,0.98,0.99,0.97,0.96,
,9/30/2019,0.33,,0.84,,0.84,,0.84,,0.85,,0.88,0.87,,,
,6/28/2019,0.558058058,,0.81,,0.84,,0.83,,0.84,0.85,0.84,,,,
,3/29/2019,0.5637684789999999,,0.82,,0.83,,0.82,,,,,,,,
,12/31/2018,0.706696318,,0.86,,0.87,,0.86,,0.795,0.78,0.77,0.765,0.76,0.755,0.76
,9/28/2018,0.550970874,,0.77,,0.735,,0.715,,0.745,0.74,0.735,0.73,0.735,,
,6/29/2018,0.602785783,,0.74,,0.71,,0.695,,0.7,0.695,0.69,0.705,,,
,3/29/2018,1.0033206829999999,,0.73,,0.695,,0.68,,0.665,0.675,,,,,
,12/29/2017,1.2847058820000001,,0.69,,0.68,,0.675,,0.67,0.665,0.675,0.65,0.655,0.65,0.645
,9/29/2017,0.540792541,,0.655,,0.65,,0.645,,0.655,0.635,0.64,0.65,,,
,6/30/2017,0.51086454,,0.615,,0.62,,0.625,,0.61,0.615,0.61,0.615,0.595,,
,3/31/2017,0.563412409,,0.595,,0.575,,0.58,,0.575,0.58,,,,,
,12/30/2016,0.48885857200000005,,0.58,,0.57,,0.575,,0.57,0.575,0.58,0.565,,,
,9/30/2016,0.48046699600000004,,0.565,,0.575,,0.555,,,,,,,,
,6/30/2016,0.469858156,,0.535,,0.54,,0.545,,0.535,,,,,,
,3/31/2016,0.635723713,,0.51,,0.505,,0.51,,0.505,,,,,,
,12/31/2015,0.408031088,,0.5,,,,,,,,,,,,
,9/30/2015,0.45991561200000003,,0.485,,,,,,,,,,,,
,6/30/2015,0.264143095,,0.47,,,,,,,,,,,,
,3/31/2015,0.366255144,,0.43,,,,,,,,,,,,
,12/31/2014,0.366100324,,0.445,,,,,,,,,,,,
,9/30/2014,0.47458300200000003,,0.42,,,,,,,,,,,,
,6/30/2014,0.327545383,,0.4,,,,,,,,,,,,
,3/31/2014,0.324825986,,0.37,,,,,,,,,,,,
,12/31/2013,0.42191676200000006,,0.405,,,,,,,,,,,,
,9/30/2013,0.301478953,,0.38,,,,,,,,,,,,
,6/28/2013,0.281087118,,0.36,,,,,,,,,,,,
,3/28/2013,0.21642619300000002,,0.335,,,,,,,,,,,,
,12/31/2012,0.33135875600000003,,0.35,,,,,,,,,,,,
,9/28/2012,0.254392387,,0.32,,,,,,,,,,,,
,6/29/2012,0.292089985,,0.315,,,,,,,,,,,,
,3/30/2012,0.234875445,,0.285,,,,,,,,,,,,
,12/30/2011,0.251229796,,,,,,,,,,,,,,
,9/30/2011,0.2225,,,,,,,,,,,,,,
