Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,
12/31/2020,0.79,3/8/2020,0.79,,0.85,,,,,,,,
9/30/2020,0.82,,0.82,,0.88,,0.86,,,,,,
6/30/2020,0.77,,0.77,,0.79,,0.75,,,,,,
3/31/2020,0.61,,0.61,,0.62,,0.55,,,,,,
12/31/2019,0.68,,0.68,,0.72,,0.73,,0.69,,0.72,,0.76
9/30/2019,0.72,,0.72,,0.73,,0.77,,0.75,,0.77,,
6/28/2019,0.576635435,,0.64,,0.65,,0.7,,0.69,,0.7,,
3/29/2019,0.341430389,,0.51,,0.56,,0.58,,,,,,
12/31/2018,0.436070857,,0.56,,0.59,,0.63,,,,,,
9/28/2018,0.1687117,,0.59,,0.6,,0.66,,,,,,
6/29/2018,0.335301941,,0.59,,0.62,,,,,,,,
3/29/2018,0.349599499,,0.45,,,,,,,,,,
12/29/2017,0.446147975,,0.52,,0.545,,0.54,,0.555,,0.55,,
9/29/2017,0.133870302,,0.59,,0.625,,0.6,,0.62,,0.61,,0.55
6/30/2017,0.275782149,,0.55,,0.57,,0.59,,0.62,,0.56,,0.35
3/31/2017,0.189979158,,0.35,,0.38,,0.44,,0.425,,0.375,,
12/30/2016,0.146256399,,0.42,,0.48,,0.455,,,,,,
9/30/2016,0,,0.475,,0.48,,0.545,,0.54,,0.535,,
6/30/2016,1.163695456,,0.495,,0.515,,0.51,,,,,,
3/31/2016,-0.44783593,,0.34,,,,,,,,,,
12/31/2015,0.196762142,,0.375,,,,,,,,,,
9/30/2015,0.157960499,,0.475,,,,,,,,,,
6/30/2015,0.566624276,,0.47,,,,,,,,,,
3/31/2015,0.073364711,,0.395,,,,,,,,,,
12/31/2014,0.269989911,,0.425,,,,,,,,,,
9/30/2014,0.51868534,,0.525,,,,,,,,,,
6/30/2014,0.535839283,,0.515,,,,,,,,,,
3/31/2014,0.324522068,,0.335,,,,,,,,,,
12/31/2013,0.424523477,,0.365,,,,,,,,,,
9/30/2013,0.389465499,,0.465,,,,,,,,,,
6/28/2013,0.316356741,,0.425,,,,,,,,,,
3/28/2013,0.236350745,,0.32,,,,,,,,,,
12/31/2012,0.19,,0.66,,,,,,,,,,
9/28/2012,0.365,,0.435,,,,,,,,,,
6/29/2012,0.44,,0.435,,,,,,,,,,
3/30/2012,0.275,,0.295,,,,,,,,,,
12/30/2011,0.25,,nan,,,,,,,,,,
9/30/2011,0.395,,nan,,,,,,,,,,
7/1/2011,0.42,,nan,,,,,,,,,,
4/1/2011,0.265,,nan,,,,,,,,,,
12/31/2010,0.3,,nan,,,,,,,,,,
9/24/2010,0.625,,nan,,,,,,,,,,
6/25/2010,0.185,,nan,,,,,,,,,,
3/26/2010,0.21,,nan,,,,,,,,,,
12/31/2009,0.215,,nan,,,,,,,,,,
9/25/2009,0.2725,,nan,,,,,,,,,,
6/26/2009,0.35,,nan,,,,,,,,,,
3/27/2009,0.1825,,nan,,,,,,,,,,
12/31/2008,0.0725,,nan,,,,,,,,,,
9/26/2008,0.2625,,nan,,,,,,,,,,
6/27/2008,0.255,,nan,,,,,,,,,,
3/28/2008,0.2125,,nan,,,,,,,,,,
12/31/2007,0.0575,,nan,,,,,,,,,,
9/28/2007,0.1475,,nan,,,,,,,,,,
6/29/2007,0.2575,,nan,,,,,,,,,,
3/30/2007,0.195,,nan,,,,,,,,,,
12/29/2006,0.1125,,nan,,,,,,,,,,
9/29/2006,0.2425,,nan,,,,,,,,,,
6/30/2006,0.315,,nan,,,,,,,,,,
3/31/2006,0.1075,,nan,,,,,,,,,,
12/30/2005,0.0925,,nan,,,,,,,,,,
9/30/2005,0.1825,,nan,,,,,,,,,,
7/1/2005,0.1775,,nan,,,,,,,,,,
4/1/2005,0.1275,,nan,,,,,,,,,,
12/31/2004,0.11,,nan,,,,,,,,,,
10/1/2004,0.225,,nan,,,,,,,,,,
7/2/2004,0.2,,nan,,,,,,,,,,
4/2/2004,0.1025,,nan,,,,,,,,,,
12/31/2003,0.11875,,nan,,,,,,,,,,
9/26/2003,0.15125,,nan,,,,,,,,,,
6/27/2003,0.1625,,nan,,,,,,,,,,
3/28/2003,0.06875,,nan,,,,,,,,,,
12/31/2002,0.06125,,nan,,,,,,,,,,
9/27/2002,0.10875,,nan,,,,,,,,,,
6/28/2002,0.10875,,nan,,,,,,,,,,
3/28/2002,0.06,,nan,,,,,,,,,,
12/31/2001,0.01625,,nan,,,,,,,,,,
9/28/2001,0.07625,,nan,,,,,,,,,,
6/29/2001,-0.37,,nan,,,,,,,,,,
3/30/2001,0.038125,,nan,,,,,,,,,,
12/29/2000,0.03625,,nan,,,,,,,,,,
9/29/2000,0.089375,,nan,,,,,,,,,,
6/30/2000,-0.034375,,nan,,,,,,,,,,
3/31/2000,0.03875,,nan,,,,,,,,,,
12/31/1999,0.035,,nan,,,,,,,,,,
10/1/1999,0.070625,,nan,,,,,,,,,,
7/2/1999,0.06,,nan,,,,,,,,,,
4/1/1999,0.029375,,nan,,,,,,,,,,
12/31/1998,-0.04125,,nan,,,,,,,,,,
9/25/1998,0.02375,,nan,,,,,,,,,,
6/26/1998,0.035625,,nan,,,,,,,,,,
3/27/1998,0.00875,,nan,,,,,,,,,,
12/31/1997,0.015,,nan,,,,,,,,,,
9/26/1997,0.0425,,nan,,,,,,,,,,
6/27/1997,0.039375,,nan,,,,,,,,,,
3/27/1997,0.0125,,nan,,,,,,,,,,
12/31/1996,-0.02625,,nan,,,,,,,,,,
9/27/1996,0.0375,,nan,,,,,,,,,,
6/28/1996,0.021875,,nan,,,,,,,,,,
3/29/1996,0.009375,,nan,,,,,,,,,,
12/29/1995,-0.001875,,nan,,,,,,,,,,
9/29/1995,-0.120625,,nan,,,,,,,,,,
6/30/1995,0.04125,,nan,,,,,,,,,,
3/31/1995,0.036875,,nan,,,,,,,,,,
12/30/1994,0.0425,,nan,,,,,,,,,,
9/30/1994,0.044375,,nan,,,,,,,,,,
7/1/1994,0.0325,,nan,,,,,,,,,,
