CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Adjusted,,12/31/2026,,2.1,12/14/2025,2.08,11/3/2025,2.02,9/9/2025,1.97,8/4/2025,1.98,6/17/2025,1.98,5/4/2025,,,,
,,9/30/2026,,2.02,,1.98,,1.89,,1.87,,1.88,,1.88,,,,,
,,6/30/2026,,1.95,,1.93,,1.93,,1.85,,1.85,,1.85,,,,,
,,3/30/2026,,1.88,,1.89,,1.86,,1.82,,1.83,,1.83,,,,,
,,12/31/2025,,1.94,1/22/2025,1.93,1/22/2025,1.89,1/22/2025,1.88,1/22/2025,1.88,1/22/2025,1.89,1/22/2025,,,,
,10/30/2025,9/30/2025,1.6,1.89,,1.76,,1.76,,1.77,,1.77,,,,,,,
,7/31/2025,6/30/2025,1.55,1.78,,1.69,,1.72,,1.76,,,,,,,,,
,5/1/2025,3/30/2025,1.52,1.75,,1.69,,1.69,,1.76,,,,,,,,,
,2/4/2025,12/31/2024,1.67,1.87,3/30/2024,1.85,3/30/2024,1.85,3/30/2024,1.84,3/30/2024,,,,,,,,
,10/31/2024,9/30/2024,1.47,1.66,,1.62,,1.66,,1.73,,,,,,,,,
,8/1/2024,6/30/2024,1.45,1.66,,1.65,,1.65,,1.67,,,,,,,,,
,5/2/2024,3/30/2024,1.34,1.64,,1.69,,1.6,,1.61,,,,,,,,,
,2/6/2024,12/31/2023,1.48,1.68,4/22/2023,1.63,4/22/2023,1.63,4/22/2023,1.63,4/22/2023,,,,,,,,
,10/31/2023,9/30/2023,1.47,1.64,,1.58,,1.58,,1.58,,,,,,,,,
,8/1/2023,6/30/2023,1.4,1.57,,1.51,,1.51,,1.49,,,,,,,,,
,5/2/2023,3/30/2023,1.32,1.49,,1.41,,1.41,,1.41,,,,,,,,,
,2/2/2023,12/31/2022,1.33,1.52,,1.47,,1.47,,1.46,,,,,,,,,
,11/1/2022,9/30/2022,1.29,1.45,,1.38,,1.38,,1.37,,,,,,,,,
,8/2/2022,6/30/2022,1.22,1.38,,1.29,,1.29,,1.31,,,,,,,,,
,5/3/2022,3/31/2022,1.17,1.33,,1.27,,1.27,,1.28,,,,,,,,,
,2/3/2022,12/31/2021,1.21,1.37,,1.3,,1.3,,1.28,,,,,,,,,
,11/2/2021,9/30/2021,1.1,1.26,,1.18,,1.19,,1.18,,,,,,,,,
,8/3/2021,6/30/2021,1,1.15,,1.1,,1.1,,1.08,,,,,,,,,
,5/4/2021,3/31/2021,0.94,1.07,,1.01,,1.01,,1.02,,,,,,,,,
,2/4/2021,12/31/2020,0.95,1.08,,1.03,,1.03,,1,,,,,,,,,
,10/29/2020,9/30/2020,0.88,1.01,,0.92,,0.92,,0.88,,,,,,,,,
,8/4/2020,6/30/2020,0.72,0.84,,0.73,,0.74,,0.93,,,,,,,,,
,5/5/2020,3/31/2020,1.22,1.02,,0.99,,1.02,,1.02,,,,,,,,,
,2/5/2020,12/31/2019,0.96,1.08,,1.03,,1.03,,1.04,,,,,,,,,
,10/31/2019,9/30/2019,0.96,1.06,,1.01,,1.01,,1.01,,,,,,,,,
,7/30/2019,6/28/2019,0.939715168,1.05,,1.02,,0.92,,0.89,,,,,,,,,
,5/1/2019,3/29/2019,0.893224771,1,,0.97,,0.96,,0.87,,,,,,,,,
,2/5/2019,12/31/2018,0.914352903,0.86,,0.84,,0.82,,0.81,,,,,,,,,
