CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2
N,,3/31/2022,0.46,11/27/2020,0.46,10/27/2020,0.46,10/26/2020,,
,,12/31/2021,0.61,,0.61,,0.61,,,
,,9/30/2021,1.12,,1.12,,1.12,,,
,,6/30/2021,1.26,,1.26,,1.26,,,
,,3/31/2021,0.41,,0.41,,0.38,,,
,,12/31/2020,0.62,,0.62,,0.61,,,
,10/21/2020,9/30/2020,1.15,,1,,,,,
,7/28/2020,6/30/2020,1.107616479,,1,,,,,
,5/20/2020,3/31/2020,0.448282944,,0.44,,,,,
,,12/31/2019,0.428723837,,nan,,,,,
,,9/30/2019,0.869923655,,nan,,,,,
,,6/28/2019,0.919488803,,nan,,,,,
,,3/29/2019,0.353130061,,nan,,,,,
,,12/28/2018,0.385547945,,nan,,,,,
,,9/28/2018,0.691198733,,nan,,,,,
,,6/29/2018,0.854048751,,nan,,,,,
,,3/29/2018,-3.499592303,,nan,,,,,
,,12/29/2017,1.609938626,,nan,,,,,
,,9/29/2017,0.489175008,,nan,,,,,
,,6/30/2017,0.549281196,,nan,,,,,
,,3/31/2017,0.397315619,,nan,,,,,
,,12/30/2016,0.335280244,,nan,,,,,
,,9/30/2016,0.679138701,,nan,,,,,
,,7/1/2016,0.720397617,,nan,,,,,
,,4/1/2016,0.4615191,,nan,,,,,
,,12/31/2015,0.077411688,,nan,,,,,
,,9/25/2015,0.536175105,,nan,,,,,
,,6/30/2015,0.638947937,,nan,,,,,
,,3/31/2015,0.366565125,,nan,,,,,
,,12/31/2014,0.296380316,,nan,,,,,
,,9/30/2014,0.579690683,,nan,,,,,
,,6/30/2014,0.567283647,,nan,,,,,
,,3/31/2014,0.404420738,,nan,,,,,
,,12/31/2013,0.328427836,,nan,,,,,
,,9/30/2013,0.491748457,,nan,,,,,
,,6/28/2013,0.483756128,,nan,,,,,
,,3/28/2013,0.394111361,,nan,,,,,
,,12/28/2012,0.12794777,,nan,,,,,
,,9/28/2012,0.687301557,,nan,,,,,
,,6/29/2012,0.417570267,,nan,,,,,
,,3/30/2012,0.335387955,,nan,,,,,
,,12/30/2011,0.533306028,,nan,,,,,
,,9/30/2011,0.665774465,,nan,,,,,
,,7/1/2011,0.64918822,,nan,,,,,
,,4/4/2011,0.182589885,,nan,,,,,
,,12/31/2010,0.410780804,,nan,,,,,
,,9/30/2010,0.66119772,,nan,,,,,
,,6/30/2010,0.711758617,,nan,,,,,
,,3/26/2010,0.538170161,,nan,,,,,
,,12/31/2009,0.544091016,,nan,,,,,
,,9/30/2009,0.648330411,,nan,,,,,
,,6/30/2009,0.589653141,,nan,,,,,
,,3/31/2009,0.5,,nan,,,,,
,,12/31/2008,0.68,,nan,,,,,
,,9/30/2008,0.67,,nan,,,,,
,,6/30/2008,0.48,,nan,,,,,
,,3/31/2008,0.17,,nan,,,,,
,,12/31/2007,0.15,,nan,,,,,
,,9/28/2007,0.29,,nan,,,,,
,,6/29/2007,0.29,,nan,,,,,
,,3/30/2007,0.18,,nan,,,,,
,,12/29/2006,0.03,,nan,,,,,
,,9/29/2006,0.31,,nan,,,,,
,,6/30/2006,0.28,,nan,,,,,
,,3/31/2006,0.13,,nan,,,,,
,,12/30/2005,0.18,,nan,,,,,
,,9/30/2005,0.29,,nan,,,,,
