CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Non-GAAP,,10/30/2027,,2.47,1/12/2026,2.47,11/29/2025,2.15,10/27/2025,2.15,9/24/2025,2.15,8/22/2025,2.16,7/2/2025,2.16,5/20/2025,,,,,,
,,7/30/2027,,2.28,,2.27,,1.97,,1.97,,1.97,,1.96,,1.96,,,,,,,
,,4/30/2027,,2.2,,2.2,,1.85,,1.85,,1.85,,1.87,,1.87,,,,,,,
,,1/30/2027,,2.29,,2.26,,1.85,,1.85,,1.85,,1.9,,1.9,,,,,,,
,,10/30/2026,,2.19,10/27/2025,2.18,10/27/2025,2.15,10/27/2025,2.15,9/24/2025,2.15,8/22/2025,2.16,7/2/2025,2.16,5/20/2025,,,,,,
,,7/30/2026,,1.99,,1.99,,1.97,,1.97,,1.97,,1.96,,1.96,,,,,,,
,,4/30/2026,,1.9,,1.9,,1.85,,1.85,,1.85,,1.87,,1.87,,,,,,,
,,1/30/2026,,1.99,,1.98,,1.85,,1.85,,1.85,,1.9,,1.9,,,,,,,
,11/24/2025,10/30/2025,1.33,1.91,11/23/2024,1.82,11/23/2024,1.82,11/23/2024,1.82,11/23/2024,1.82,11/23/2024,1.82,11/23/2024,,,,,,,,
,8/19/2025,7/30/2025,1.1,1.72,,1.67,,1.67,,1.71,,,,,,,,,,,,,
,5/20/2025,4/30/2025,1.49,1.7,,1.65,,1.64,,1.59,,,,,,,,,,,,,
,2/25/2025,1/30/2025,0.97,1.82,,1.69,,1.69,,1.58,,,,,,,,,,,,,
,11/19/2024,10/30/2024,-0.42,1.65,1/3/2024,1.57,1/3/2024,1.56,1/3/2024,1.56,1/3/2024,,,,,,,,,,,,
,8/20/2024,7/30/2024,2.22,1.57,,1.35,,1.36,,1.48,,,,,,,,,,,,,
,5/20/2024,4/30/2024,0.72,1.41,,1.39,,1.42,,1.62,,,,,,,,,,,,,
,2/20/2024,1/30/2024,0.98,1.63,,1.58,,1.6,,1.68,,,,,,,,,,,,,
,11/20/2023,10/30/2023,1.28,1.99,,1.67,,1.07,,1.92,,,,,,,,,,,,,
,8/17/2023,7/30/2023,1.61,2.19,,2.04,,2.02,,1.96,,,,,,,,,,,,,
,5/19/2023,4/30/2023,1.58,2.12,,1.95,,1.95,,1.94,,,,,,,,,,,,,
,2/21/2023,1/30/2023,1.45,2.02,,1.85,,1.86,,1.85,,,,,,,,,,,,,
,11/17/2022,10/30/2022,1.66,2.14,,1.99,,1.99,,1.97,,,,,,,,,,,,,
,8/17/2022,7/31/2022,1.87,2.01,,1.79,,1.78,,1.78,,,,,,,,,,,,,
,5/17/2022,4/30/2022,1.41,1.83,,1.67,,1.67,,1.64,,,,,,,,,,,,,
,2/17/2022,1/31/2022,1.24,1.65,,1.55,,1.55,,1.55,,,,,,,,,,,,,
,11/22/2021,10/30/2021,1.52,1.82,,1.64,,1.64,,1.64,,,,,,,,,,,,,
,8/18/2021,7/31/2021,1.36,1.54,,1.44,,1.44,,1.43,,,,,,,,,,,,,
,5/19/2021,4/30/2021,0.99,1.44,,1.34,,1.34,,1.31,,,,,,,,,,,,,
,2/18/2021,1/31/2021,0.92,1.43,,1.36,,1.36,,1.33,,,,,,,,,,,,,
,11/18/2020,10/30/2020,1.15,1.62,,1.46,,1.46,,1.46,,,,,,,,,,,,,
,8/20/2020,7/31/2020,0.93,1.19,,0.84,,0.88,,0.88,,,,,,,,,,,,,
,5/26/2020,4/30/2020,0.37,0.78,,0.37,,,,,,,,,,,,,,,,,
,2/24/2020,1/31/2020,0.86,1.26,,0.86,,,,,,,,,,,,,,,,,
,11/26/2019,10/31/2019,1.02,1.33,,1.02,,,,,,,,,,,,,,,,,
,8/21/2019,7/31/2019,0.83,1.25,,0.83,,,,,,,,,,,,,,,,,
,5/29/2019,4/26/2019,0.8,1.22,,0.8,,,,,,,,,,,,,,,,,
,2/21/2019,1/25/2019,0.6,0.93,,0.6,,,,,,,,,,,,,,,,,
,11/20/2018,10/31/2018,-0.61,1.01,,-0.61,,,,,,,,,,,,,,,,,
,8/21/2018,7/31/2018,0.63,0.89,,0.63,,,,,,,,,,,,,,,,,
,5/30/2018,4/30/2018,0.34,0.83,,0.34,,,,,,,,,,,,,,,,,
,3/1/2018,1/26/2018,0.5,0.51,,0.5,,,,,,,,,,,,,,,,,
,12/6/2017,10/27/2017,-0.2,,,-0.2,,,,,,,,,,,,,,,,,
,8/30/2017,7/28/2017,-0.1,,,-0.1,,,,,,,,,,,,,,,,,
,6/6/2017,4/27/2017,0.28,,,0.28,,,,,,,,,,,,,,,,,
,2/16/2017,1/26/2017,0.63,,,0.63,,,,,,,,,,,,,,,,,
,,10/28/2016,0.53,,,0.53,,,,,,,,,,,,,,,,,
,,7/28/2016,0.53,,,0.53,,,,,,,,,,,,,,,,,
,,4/28/2016,0.51,,,0.51,,,,,,,,,,,,,,,,,
,,1/28/2016,0.37,,,0.37,,,,,,,,,,,,,,,,,
,,10/29/2015,1.61,,,1.61,,,,,,,,,,,,,,,,,
,,7/30/2015,0.41,,,0.41,,,,,,,,,,,,,,,,,
,,4/23/2015,0.56,,,0.56,,,,,,,,,,,,,,,,,
,,1/22/2015,0.41,,,0.41,,,,,,,,,,,,,,,,,
,,10/23/2014,0.6,,,0.6,,,,,,,,,,,,,,,,,
,,7/24/2014,0.64,,,0.64,,,,,,,,,,,,,,,,,
,,4/29/2014,0.66,,,0.66,,,,,,,,,,,,,,,,,
,,1/23/2014,0.44,,,0.44,,,,,,,,,,,,,,,,,
,,10/30/2013,0.69,,,0.69,,,,,,,,,,,,,,,,,
,,7/25/2013,0.66,,,0.66,,,,,,,,,,,,,,,,,
,,4/25/2013,0.72,,,0.72,,,,,,,,,,,,,,,,,
,,1/24/2013,0.66,,,0.66,,,,,,,,,,,,,,,,,
