CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,,,,,,,,,,,,,,,,,,,
Adjusted Diluted,,12/31/2021,5.44,4/17/2021,5.44,3/13/2021,5.36,2/9/2021,5.37,1/4/2021,5.38,12/1/2020,5.54,10/30/2020,5.54,9/26/2020,5.54,8/30/2020,5.52,7/30/2020,5.51,6/23/2020,5.56,5/10/2020,5.56,4/1/2020,,,,,,,
,,9/30/2021,1.65,,1.65,,1.61,,1.59,,1.6,,1.47,,1.44,,1.44,,1.43,,1.4,,1.48,,1.48,,,,,,,,
,,6/30/2021,1.97,,1.97,,1.97,,1.96,,1.96,,1.9,,1.9,,1.9,,1.87,,1.77,,1.81,,1.81,,,,,,,,
,,3/31/2021,3.28,,3.27,,3.28,,3.28,,3.28,,3.29,,3.29,,3.29,,3.26,,3.23,,3.22,,3.22,,,,,,,,
,2/9/2021,12/31/2020,3.66,,5.04,,5.04,,5.06,4/1/2020,5.02,4/1/2020,5.02,4/1/2020,5,4/1/2020,4.99,4/1/2020,5.07,4/1/2020,5.43,4/1/2020,5.46,3/1/2020,5.48,1/24/2020,5.47,1/23/2020,5.47,,5.51,5.37,5.080336134
,10/29/2020,9/30/2020,0.93,,1.32,,1.32,,1.29,,1.28,,1.31,,1.51,,1.54,,1.5,,1.5,,1.5,,1.46,1.48,1.519663866,,,,,,
,7/30/2020,6/30/2020,0.72,,1.63,,1.67,,1.86,,1.87,,1.88,,1.87,,1.87,,1.85,1.963361345,,,,,,,,,,,,,
,4/30/2020,3/31/2020,2.34,,3.16,,3.18,,3.14,,3.16,,3.16,,3.15,3.14,3.15,3.349915966,,,,,,,,,,,,,,,
,2/6/2020,12/31/2019,4.18,,4.86,,4.86,,4.85,4.68,4.61,4.58,,,,,,,,,,,,,,,,,,,,,
,10/31/2019,9/30/2019,0.576923077,,1.31,,1.35,1.37,,,,,,,,,,,,,,,,,,,,,,,,,
,7/31/2019,6/28/2019,1.061538462,,1.75,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/1/2019,3/29/2019,2.207692308,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/7/2019,12/31/2018,2.885496183,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/2/2018,9/28/2018,0.333333333,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2018,6/29/2018,0.436090226,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/7/2018,3/29/2018,1.616541353,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/8/2018,12/29/2017,1.842105263,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,-0.402985075,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/3/2017,6/30/2017,0.240875912,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2017,3/31/2017,2.492753623,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/9/2017,12/30/2016,1.028985507,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/4/2016,9/30/2016,-0.231884058,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/5/2016,6/30/2016,0.514285714,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2016,3/31/2016,1.75,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,-0.173913043,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.847826087,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.507246377,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,1.52173913,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.558823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,-0.039325843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.258241758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
