CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,
N,,12/31/2021,1.89,9/13/2020,1.9,8/5/2020,1.9,8/4/2020,1.91,,1.934545455,,,,,,
,,9/30/2021,1.89,,1.89,,1.89,,1.955804196,,,,,,,,
,,6/30/2021,1.89,,1.92,,1.92,,1.966433566,,,,,,,,
,,3/31/2021,1.83,,1.84,,1.84,,1.721958042,,,,,,,,
,,12/31/2020,1.36,,1.67,,1.67,,1.82,,1.83,,1.87,,1.95,,
,,9/30/2020,1.32,,1.66,,1.66,,1.84,,1.83,,1.85,,1.79,,
,8/5/2020,6/30/2020,2.264079148,,1.93,,1.91,,1.85,,1.87,,1.78,,,,
,5/6/2020,3/31/2020,1.52972561,,1.63,,1.62,,1.63,,1.6,,,,,,
,2/12/2020,12/31/2019,1.333587786,,1.68,,1.71,,1.87,,2.04,,,,,,
,11/6/2019,9/30/2019,1.172413793,,1.77,,1.76,,1.68,,1.97,,,,,,
,8/7/2019,6/28/2019,1.486943164,,1.69,,1.91,,,,,,,,,,
,5/1/2019,3/29/2019,1.091397849,,1.5,,1.7,,,,,,,,,,
,2/20/2019,12/31/2018,-0.373773417,,2.05,,2.04,,1.91,,,,,,,,
,11/6/2018,9/28/2018,1.359099804,,1.71,,1.46,,,,,,,,,,
,8/8/2018,6/29/2018,-2.518664047,,1.61,,1.42,,,,,,,,,,
,5/2/2018,3/29/2018,0.977428852,,1.41,,,,,,,,,,,,
,2/8/2018,12/29/2017,3.228880157,,1.89,,1.81,,1.8,,1.75,,1.95,,,,
,11/6/2017,9/29/2017,1.259803922,,1.49,,1.64,,1.65,,1.72,,,,,,
,8/8/2017,6/30/2017,1.072265625,,1.31,,1.32,,1.34,,1.51,,,,,,
,5/2/2017,3/31/2017,0.919806763,,1.1,,1.11,,1.13,,1.38,,,,,,
,,12/30/2016,1.596819457,,1.67,,1.79,,1.78,,1.76,,1.69,,1.73,,
,,9/30/2016,1.429636533,,1.57,,1.53,,1.48,,1.52,,,,,,
,,6/30/2016,0.859534884,,1.3,,1.35,,1.39,,1.42,,,,,,
,,3/31/2016,1.042766151,,1.16,,1.18,,1.27,,1.35,,,,,,
,,12/31/2015,1.34470377,,1.53,,1.5,,1.47,,1.41,,1.43,,,,
,,9/30/2015,1.111507583,,1.29,,1.36,,1.32,,1.29,,,,,,
,,6/30/2015,1.123674912,,1.2,,1.25,,1.24,,,,,,,,
,,3/31/2015,1.074823944,,1.08,,1.14,,1.21,,,,,,,,
,,12/31/2014,1.146701389,,1.2,,1.21,,1.22,,1.21,,1.24,,1.3,,1.13
,,9/30/2014,0.81443299,,1.13,,1.15,,1.14,,1.1,,,,,,
,,6/30/2014,1.06132879,,1.1,,1.09,,1.08,,1.05,,,,,,
,,3/31/2014,0.948739496,,1.04,,0.98,,0.94,,1.11,,,,,,
,,12/31/2013,1.053288926,,1.11,,1.14,,1.02,,,,,,,,
,,9/30/2013,1.022838499,,1.02,,0.96,,,,,,,,,,
