CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Y,,12/31/2026,,0.09,11/9/2025,0.16,10/21/2025,0.16,9/9/2025,0.24,8/3/2025,0.21,6/14/2025,,,,,,
,,9/30/2026,,0.23,,0.39,,0.39,,0.37,,0.28,,,,,,,
,,6/30/2026,,-0.01,,-0.01,,-0.01,,-0.02,,-0.01,,,,,,,
,,3/30/2026,,0.04,,-0.02,,-0.02,,-0.03,,0.01,,,,,,,
,,12/31/2025,,0.02,2/3/2025,0.19,2/3/2025,0.19,2/3/2025,0.2,2/3/2025,0.01,2/3/2025,,,,,,
,11/5/2025,9/30/2025,-1.73,-1.73,,0.2,,0.2,,0.17,,0.09,,,,,,,
,7/30/2025,6/30/2025,-1.09,-1.09,,-0.11,,-0.1,,-0.05,,,,,,,,,
,4/30/2025,3/30/2025,-0.38,-0.38,,0.12,,0.36,,0.36,,,,,,,,,
,3/5/2025,12/31/2024,-0.21,-0.21,4/9/2024,-0.23,4/9/2024,-0.23,4/9/2024,-0.2,4/9/2024,,,,,,,,
,10/30/2024,9/30/2024,-0.14,-0.14,,-0.17,,-0.06,,0.26,,,,,,,,,
,7/31/2024,6/30/2024,-0.22,-0.22,,-0.31,,-0.28,,-0.08,,,,,,,,,
,4/24/2024,3/30/2024,-0.33,-0.33,,-0.22,,-0.31,,0.43,,,,,,,,,
,2/22/2024,12/31/2023,-1.12,-1.12,4/4/2023,-0.88,4/4/2023,-0.88,4/4/2023,0.66,4/4/2023,,,,,,,,
,11/7/2023,9/30/2023,-0.1,-0.1,,0.22,,0.64,,0.65,,,,,,,,,
,7/27/2023,6/30/2023,0.03,0.03,,-0.07,,-0.07,,0.4,,,,,,,,,
,4/26/2023,3/30/2023,0.51,0.51,,0.3,,0.29,,0.35,,,,,,,,,
,2/22/2023,12/31/2022,-0.24,-0.24,,-0.22,,-0.14,,-0.14,,,,,,,,,
,10/26/2022,9/30/2022,0.22,0.22,,0.05,,0.05,,0.05,,,,,,,,,
,7/27/2022,6/30/2022,1.54,1.54,,0.82,,0.82,,0.82,,,,,,,,,
,4/20/2022,3/31/2022,0.09,0.09,,0.35,,0.7,,2.15,,,,,,,,,
,2/23/2022,12/31/2021,0.47,0.47,,1.6,,1.6,,1.76,,,,,,,,,
,10/27/2021,9/30/2021,2.22,2.22,,1.48,,1.49,,1.49,,,,,,,,,
,7/20/2021,6/30/2021,0.88,0.88,,1.07,,1.03,,0.5,,,,,,,,,
,4/21/2021,3/31/2021,2.51,2.51,,1.85,,1.74,,1.26,,,,,,,,,
,2/17/2021,12/31/2020,2.19,2.19,,1.38,,1.35,,1.35,,,,,,,,,
,10/14/2020,9/30/2020,1.79,1.79,,0.92,,0.92,,0.32,,,,,,,,,
,7/15/2020,6/30/2020,-0.45,-0.45,,-0.8,,-0.85,,-0.77,,,,,,,,,
,4/22/2020,3/31/2020,1.36,1.36,,1.01,,0.87,,0.87,,,,,,,,,
