CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2022,4.18,5/25/2021,4.18,4/28/2021,4.18,4/3/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2022,4.54,,4.54,,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2022,4.41,,4.41,,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2022,4.12,,4.12,,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2021,4.19,,4.13,,4.05,4/3/2021,4.05,3/2/2021,4.08,2/3/2021,3.89,12/28/2020,3.89,11/28/2020,3.89,10/28/2020,3.94,9/27/2020,3.86,9/26/2020,4.118305732,,,,,,,,,,,,
,,9/30/2021,4.28,,4.3,,4.37,,4.38,,4.35,,4.27,,4.27,,4.05,,4.14,,4.26,,4.335630573,,,,,,,,,,,,
,,6/30/2021,4.04,,4.17,,4.35,,4.36,,4.34,,4.43,,4.43,,4.34,,4.38,,4.24,,4.455159236,,,,,,,,,,,,
,4/27/2021,3/31/2021,2.83,,4.05,,4.06,,4.11,,4.21,,4.21,,4.09,,4.13,,4.1,,4.118305732,,,,,,,,,,,,,,
,2/2/2021,12/31/2020,2.76,,3.41,,3.41,,3.55,,3.57,,3.68,,3.79,,3.91,,3.58,,3.56,,3.595235043,,,,,,,,,,,,
,10/28/2020,9/30/2020,3.43,,3.8,,3.89,,3.99,,3.61,,3.58,,3.743710826,,,,,,,,,,,,,,,,,,,,
,7/28/2020,6/30/2020,3.05,,3.82,,4.1,,4.12,,3.7,,3.61,,3.839159544,,,,,,,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,3.07,,3.76,,3.79,,3.91,,3.66,,3.55,,3.690683761,,,,,,,,,,,,,,,,,,,,
,1/30/2010,12/31/2019,2.85,,3.47,,3.52,,3.51,,3.32,,3.38,,3.39,,3.45,,,,,,,,,,,,,,,,,,
,10/29/2019,9/30/2019,3.26910299,,3.53,,3.49,,3.53,,3.52,,3.59,,,,,,,,,,,,,,,,,,,,,,
,7/30/2019,6/28/2019,3.572131148,,3.59,,3.6,,3.62,,3.61,,3.5,,3.48,,,,,,,,,,,,,,,,,,,,
,4/30/2019,3/29/2019,3.182108626,,3.48,,3.64,,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/29/2019,12/31/2018,3.0125,,3.27,,3.28,,3.27,,3.13,,,,,,,,,,,,,,,,,,,,,,,,
,10/30/2018,9/28/2018,2.86440678,,3.45,,3.47,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/26/2018,6/29/2018,3.478787879,,3.54,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/24/2018,3/29/2018,3.250351617,,3.24,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/1/2018,12/29/2017,-5.889502762,,3.03,,3.09,,3.08,,3.1,,3.11,,3.04,,2.89,,2.95,,,,,,,,,,,,,,,,
,10/25/2017,9/29/2017,2.757162347,,3.11,,3.13,,3.14,,3.13,,3.08,,3.07,,2.96,,2.85,,2.91,,,,,,,,,,,,,,
,7/25/2017,6/30/2017,2.914634146,,3.11,,3.08,,3.04,,3.02,,2.92,,2.8,,2.84,,,,,,,,,,,,,,,,,,
,4/26/2017,3/31/2017,2.794871795,,3,,2.99,,2.95,,2.93,,2.86,,2.73,,2.77,,,,,,,,,,,,,,,,,,
,,12/30/2016,2.586898396,,2.79,,2.8,,2.81,,2.83,,2.74,,2.73,,2.75,,2.74,,2.76,,2.64,,2.72,,2.7,,,,,,,,
,,9/30/2016,2.678618858,,2.79,,2.8,,2.78,,2.77,,2.7,,2.71,,2.68,,2.62,,2.63,,,,,,,,,,,,,,
,,6/30/2016,2.473544974,,2.74,,2.76,,2.73,,2.68,,2.7,,2.67,,2.57,,,,,,,,,,,,,,,,,,
,,3/31/2016,2.5,,2.6,,2.59,,2.55,,2.56,,2.61,,2.52,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,2.365308804,,2.29,,2.3,,2.32,,2.34,,2.35,,2.36,,2.44,,2.58,,2.42,,2.44,,2.28,,2.24,,2.05,,,,,,
,,9/30/2015,2.438481675,,2.38,,2.36,,2.34,,2.33,,2.39,,2.43,,2.39,,2.41,,2.27,,2.11,,,,,,,,,,,,
,,6/30/2015,2.15234375,,2.43,,2.4,,2.36,,2.37,,2.36,,2.37,,2.36,,2.32,,2.29,,2.14,,,,,,,,,,,,
,,3/31/2015,2.107792208,,2.1,,2.11,,2.12,,2.09,,2.08,,2.07,,2.06,,2.09,,2.17,,2.16,,,,,,,,,,,,
,,12/31/2014,1.676165803,,2.05,,2.04,,2.05,,2.03,,2.05,,2.06,,2.02,,2.01,,2.11,,2.12,,2.14,,2.2,,2.14,,2.24,,2.08,,2.09
,,9/30/2014,1.613488975,,2.11,,2.1,,2.08,,2.1,,2.09,,2.11,,2.1,,2.16,,2.13,,2.18,,2.14,,1.99,,,,,,,,
,,6/30/2014,2.014322917,,2.07,,2.06,,2.05,,2.08,,2.07,,2.03,,2.01,,2,,1.94,,2.02,,2.12,,1.81,,,,,,,,
,,3/31/2014,1.397135417,,1.94,,1.95,,1.94,,1.85,,1.84,,1.79,,1.77,,1.94,,2,,2.02,,1.64,,,,,,,,,,
,,12/31/2013,1.332898172,,1.68,,1.72,,1.69,,1.81,,1.8,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,1.785900783,,1.72,,1.77,,1.74,,1.77,,1.79,,1.8,,,,,,,,,,,,,,,,,,,,
