CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2026,,1.19,4/28/2025,1.35,4/6/2025,1.25,2/23/2025,1.1,1/11/2025,1.09,12/4/2024,1.05,10/26/2024,1.24,9/8/2024,1.24,7/27/2024,1.7,6/16/2024,1.59,4/27/2024,1.34,2/25/2024,1.44,1/4/2024,1.45,11/27/2023,1.62,10/22/2023,1.83,10/2/2023,1.83,8/23/2023,2.07,7/21/2023,2.19,6/3/2023,2.18,4/21/2023,,3/29/2023,2.01,2/18/2023,2.12,1/27/2023,2.09,12/24/2022,2.1,11/22/2022,2.15,10/22/2022,2.63,9/30/2022,2.63,8/27/2022,2.57,7/25/2022,2.6,6/26/2022,2.82,5/23/2022,2.69,4/23/2022,2.69,3/20/2022,,2/19/2022,2.12,12/29/2021,2.12,11/24/2021,1.8,10/22/2021,1.65,9/22/2021,1.73,8/25/2021,1.67,7/24/2021,1.43,6/22/2021,1.43,5/23/2021,1.35,4/22/2021,1.35,3/13/2021
,,9/30/2026,,3.72,,4.07,,3.82,,3.51,,3.58,,3.54,,3.78,,3.78,,4.47,,4.25,,3.77,,3.8,,3.82,,3.89,,3.91,,3.91,,4.62,,4.92,,4.87,,,,4.46,,4.42,,4.45,,4.54,,4.58,,4.71,,4.71,,4.54,,5.23,,5.58,,5.32,,5.32,,,,4.67,,4.67,,4.59,,4.09,,4.14,,3.99,,3.64,,3.64,,3.26,,3.26,
,,6/30/2026,,5.48,,5.5,,5.91,,5.6,,5.56,,5.53,,5.72,,5.72,,6.43,,6.51,,6.15,,6.26,,6.27,,6.46,,6.49,,6.49,,6.74,,7.18,,7.32,,,,6.69,,6.94,,6.97,,7.12,,7.19,,7.32,,7.32,,7.19,,8.04,,8.22,,7.9,,7.9,,,,7.03,,7.03,,7.01,,6.63,,6.51,,6.09,,5.75,,5.75,,5.11,,5.11,
,,3/30/2026,,1.55,,1.64,,2.09,,1.82,,1.82,,1.91,,1.97,,1.97,,2.03,,2.1,,2.2,,2.59,,2.6,,2.74,,2.76,,2.76,,2.86,,3.2,,3.47,,,,3.3,,3.4,,3.41,,3.45,,3.49,,3.93,,3.93,,3.93,,4.2,,4.21,,3.7,,3.7,,,,2.74,,2.74,,2.57,,2.32,,2.34,,2.28,,2.28,,2.28,,1.47,,1.47,
,,12/31/2025,,1.08,1/11/2025,1.13,1/11/2025,1.09,1/11/2025,1.1,1/11/2025,1.09,12/4/2024,1.05,10/26/2024,1.24,9/8/2024,1.24,7/27/2024,1.7,6/16/2024,1.59,4/27/2024,1.34,2/25/2024,1.44,1/4/2024,1.45,11/27/2023,1.62,10/22/2023,1.83,10/2/2023,1.83,8/23/2023,2.07,7/21/2023,2.19,6/3/2023,2.18,4/21/2023,,3/29/2023,2.01,2/18/2023,2.12,1/27/2023,2.09,12/24/2022,2.1,11/22/2022,2.15,10/22/2022,2.63,9/30/2022,2.63,8/27/2022,2.57,7/25/2022,2.6,6/26/2022,2.82,5/23/2022,2.69,4/23/2022,2.69,3/20/2022,,2/19/2022,2.12,12/29/2021,2.12,11/24/2021,1.8,10/22/2021,1.65,9/22/2021,1.73,8/25/2021,1.67,7/24/2021,1.43,6/22/2021,1.43,5/23/2021,1.35,4/22/2021,1.35,3/13/2021
,,9/30/2025,,3.5,,3.52,,3.51,,3.51,,3.58,,3.54,,3.78,,3.78,,4.47,,4.25,,3.77,,3.8,,3.82,,3.89,,3.91,,3.91,,4.62,,4.92,,4.87,,,,4.46,,4.42,,4.45,,4.54,,4.58,,4.71,,4.71,,4.54,,5.23,,5.58,,5.32,,5.32,,,,4.67,,4.67,,4.59,,4.09,,4.14,,3.99,,3.64,,3.64,,3.26,,3.26,
,,6/30/2025,,5.14,,5.17,,5.33,,5.6,,5.56,,5.53,,5.72,,5.72,,6.43,,6.51,,6.15,,6.26,,6.27,,6.46,,6.49,,6.49,,6.74,,7.18,,7.32,,,,6.69,,6.94,,6.97,,7.12,,7.19,,7.32,,7.32,,7.19,,8.04,,8.22,,7.9,,7.9,,,,7.03,,7.03,,7.01,,6.63,,6.51,,6.09,,5.75,,5.75,,5.11,,5.11,
,4/24/2025,3/30/2025,1.42,1.42,,1.52,,1.64,,1.82,,1.82,,1.91,,1.97,,1.97,,2.03,,2.1,,2.2,,2.59,,2.6,,2.74,,2.76,,2.76,,2.86,,3.2,,3.47,,,,3.3,,3.4,,3.41,,3.45,,3.49,,3.93,,3.93,,3.93,,4.2,,4.21,,3.7,,3.7,,,,2.74,,2.74,,2.57,,2.32,,2.34,,2.28,,2.28,,2.28,,1.47,,1.47,
,2/20/2025,12/31/2024,0.98,0.98,2/25/2024,0.89,2/25/2024,0.89,2/25/2024,0.94,2/25/2024,0.97,2/25/2024,0.97,2/25/2024,1.46,2/25/2024,1.42,2/25/2024,1.34,2/25/2024,1.44,1/4/2024,1.45,11/27/2023,1.62,10/22/2023,1.83,10/2/2023,1.83,8/23/2023,2.07,7/21/2023,2.19,6/3/2023,2.18,4/21/2023,,3/29/2023,2.01,2/18/2023,2.12,1/27/2023,2.09,12/24/2022,2.1,11/22/2022,2.15,10/22/2022,2.63,9/30/2022,2.63,8/27/2022,2.57,7/25/2022,2.6,6/26/2022,2.82,5/23/2022,2.69,4/23/2022,2.69,3/20/2022,,2/19/2022,2.12,12/29/2021,2.12,11/24/2021,1.8,10/22/2021,1.65,9/22/2021,1.73,8/25/2021,1.67,7/24/2021,1.43,6/22/2021,1.43,5/23/2021,1.35,4/22/2021,1.35,3/13/2021,,,,
,10/24/2024,9/30/2024,3.27,3.27,,3.17,,3.16,,3.86,,3.83,,3.77,,3.8,,3.82,,3.89,,3.91,,3.91,,4.62,,4.92,,4.87,,,,4.46,,4.42,,4.45,,4.54,,4.58,,4.71,,4.71,,4.54,,5.23,,5.58,,5.32,,5.32,,,,4.67,,4.67,,4.59,,4.09,,4.14,,3.99,,3.64,,3.64,,3.26,,3.26,,,,,,,,,,,
