CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted Diluted,,12/31/2024,,8.05,6/11/2023,8.09,4/29/2023,,3/24/2023,7.2,2/13/2023,7.22,1/15/2023,7.23,12/6/2022,7.32,10/30/2022,7.39,9/23/2022,7.39,8/17/2022,7.39,7/9/2022,7.41,6/6/2022,7.41,5/3/2022,7.41,4/20/2022,,3/14/2022,6.45,2/9/2022,6.63,1/13/2022,6.66,12/8/2021,6.55,11/1/2021,6.44,9/13/2021,6.24,8/7/2021,6.13,7/9/2021,6.16,6/1/2021,6.08,5/2/2021,6.08,4/17/2021
,,9/30/2024,,2.68,,2.73,,,,2.39,,2.49,,2.5,,2.51,,2.49,,2.49,,2.5,,2.5,,2.54,,2.54,,,,2.08,,2.11,,2.1,,1.98,,1.78,,1.73,,1.68,,1.7,,1.71,,1.71,
,,6/30/2024,,2.88,,2.91,,,,2.51,,2.61,,2.61,,2.61,,2.6,,2.6,,2.78,,2.76,,2.76,,2.76,,,,2.4,,2.41,,2.42,,2.46,,2.51,,2.3,,2.09,,2.1,,2.07,,2.07,
,,3/30/2024,,3.47,,3.45,,,,2.85,,2.97,,2.95,,2.97,,3.01,,3.01,,3.03,,3.01,,3.02,,3.02,,,,2.67,,2.67,,2.71,,2.99,,3.65,,3.84,,3.78,,3.76,,3.51,,3.51,
,,12/31/2023,,7.06,3/24/2023,7.09,3/24/2023,7.11,3/24/2023,7.2,2/13/2023,7.22,1/15/2023,7.23,12/6/2022,7.32,10/30/2022,7.39,9/23/2022,7.39,8/17/2022,7.39,7/9/2022,7.41,6/6/2022,7.41,5/3/2022,7.41,4/20/2022,,3/14/2022,6.45,2/9/2022,6.63,1/13/2022,6.66,12/8/2021,6.55,11/1/2021,6.44,9/13/2021,6.24,8/7/2021,6.13,7/9/2021,6.16,6/1/2021,6.08,5/2/2021,6.08,4/17/2021
,,9/30/2023,,2.22,,2.25,,2.25,,2.39,,2.49,,2.5,,2.51,,2.49,,2.49,,2.5,,2.5,,2.54,,2.54,,,,2.08,,2.11,,2.1,,1.98,,1.78,,1.73,,1.68,,1.7,,1.71,,1.71,
,,6/30/2023,,2.34,,2.37,,2.39,,2.51,,2.61,,2.61,,2.61,,2.6,,2.6,,2.78,,2.76,,2.76,,2.76,,,,2.4,,2.41,,2.42,,2.46,,2.51,,2.3,,2.09,,2.1,,2.07,,2.07,
,4/27/2023,3/30/2023,1.88,2.84,,2.79,,2.85,,2.97,,2.95,,2.97,,3.01,,3.01,,3.03,,3.01,,3.02,,3.02,,,,2.67,,2.67,,2.71,,2.99,,3.65,,3.84,,3.78,,3.76,,3.51,,3.51,,,
,2/9/2023,12/31/2022,5.4,6.33,,6.22,,6.28,,6.33,,6.45,,6.45,,6.49,,6.48,,6.51,,6.5,,6.67,,6.45,2/9/2022,6.63,1/13/2022,6.66,12/8/2021,6.55,11/1/2021,6.44,9/13/2021,6.24,8/7/2021,6.13,7/9/2021,6.16,6/1/2021,6.08,5/2/2021,6.08,4/17/2021,,,,,,
,10/27/2022,9/30/2022,1.72,2.2,,2.13,,2.14,,2.13,,2.13,,2.15,,2.15,,2.12,,2.08,,2.11,,2.1,,1.98,,1.78,,1.73,,1.68,,1.7,,1.71,,1.71,,,,,,,,,,,,,
,7/28/2022,6/30/2022,0.97,2.32,,2.3,,2.31,,2.32,,2.32,,2.3,,2.4,,2.41,,2.42,,2.46,,2.51,,2.3,,2.09,,2.1,,2.07,,2.07,,,,,,,,,,,,,,,,,
,4/28/2022,3/31/2022,1.03,2.66,,2.5,,2.49,,2.67,,2.67,,2.71,,2.99,,3.65,,3.84,,3.78,,3.76,,3.51,,3.51,,,,,,,,,,,,,,,,,,,,,,,
,2/8/2022,12/31/2021,19.19,5.67,,5.5,,5.54,,5.56,,5.68,,5.63,,5.47,,5.46,,5.44,,5.44,4/17/2021,5.44,3/13/2021,5.36,2/9/2021,5.37,1/4/2021,5.38,12/1/2020,5.54,10/30/2020,5.54,9/26/2020,5.54,8/30/2020,5.52,7/30/2020,5.51,6/23/2020,5.56,5/10/2020,5.56,4/1/2020,,,,,,
,10/28/2021,9/30/2021,6.99,1.73,,1.58,,1.56,,1.64,,1.64,,1.65,,1.65,,1.65,,1.61,,1.59,,1.6,,1.47,,1.44,,1.44,,1.43,,1.4,,1.48,,1.48,,,,,,,,,,,,,
,8/3/2021,6/30/2021,1.41,2.66,,2,,2.01,,1.99,,1.97,,1.97,,1.97,,1.96,,1.96,,1.9,,1.9,,1.9,,1.87,,1.77,,1.81,,1.81,,,,,,,,,,,,,,,,,
