Date,Q_EPS,CNBC_Report
12/31/2020,0.56,
9/30/2020,0.52,
6/30/2020,0.46,
3/29/2020,0.45,
12/31/2019,0.47,
9/30/2019,0.42,
6/30/2019,0.26,
3/29/2019,0.33,0.44
12/31/2018,0.42,0.47
9/28/2018,0.46,0.47
6/29/2018,0.52,0.55
3/29/2018,0.46,0.5
12/29/2017,0.65,0.42
9/29/2017,0.28,0.36
6/30/2017,0.32,0.42
3/31/2017,0.32,0.38
12/31/2016,1.7,0.34
9/28/2016,0.36,0.36
6/29/2016,0.41,0.41
3/29/2016,0.26,0.31
12/29/2015,0.22,
9/29/2015,0.26,
6/30/2015,0.25,
3/31/2015,0.08,
12/31/2014,-0.99,
9/28/2014,0,
6/29/2014,-0.81,
3/29/2014,0.05,
