CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1
,,12/31/2027,,0.53,8/17/2026,0.53,8/16/2026
,,9/30/2027,,0.66,,0.66,
,,6/30/2027,,0.667,,0.667,
,,3/31/2027,,0.547,,0.547,
,,12/31/2026,,0.476,,0.476,
,,9/30/2026,,0.596,,0.596,
,7/31/2026,6/30/2026,0.37,0.6,,0.6,
,5/1/2026,3/31/2026,0.33,0.54,,0.54,
,2/6/2026,12/31/2025,0.25,0.44,,0.44,
,10/31/2025,9/30/2025,0.3,0.47,,0.47,
,7/31/2025,6/30/2025,0.18,0.41,,0.41,
,5/2/2025,3/31/2025,0.15,0.33,,0.33,
,2/7/2025,12/31/2024,-0.01,0.38,,0.38,
,11/1/2024,9/30/2024,0.29,0.47,,0.47,
,8/2/2024,6/30/2024,0.18,0.38,,0.38,
,5/3/2024,3/31/2024,0.2,0.4,,0.4,
,2/9/2024,12/31/2023,0.26,0.46,,0.46,
,11/3/2023,9/30/2023,0.31,0.51,,0.51,
,8/4/2023,6/30/2023,-0.01,0.33,,0.33,
,5/5/2023,3/31/2023,0.1,0.3,,0.3,
,2/10/2023,12/31/2022,-4.19,0.26,,0.26,
,11/4/2022,9/30/2022,0.14,0.4,,0.4,
,8/5/2022,6/30/2022,0.09,0.46,,0.46,
,5/6/2022,3/31/2022,0.19,0.38,,0.38,
,2/11/2022,12/31/2021,0.44,0.41,,0.41,
,10/28/2021,9/30/2021,0.17,0.35,,0.35,
,7/29/2021,6/30/2021,0.47,0.39,,0.39,
,5/6/2021,3/31/2021,0.13,0.4,,0.4,
,2/12/2021,12/31/2020,0.35,0.5,,0.5,
,10/29/2020,9/30/2020,0.55,0.67,,0.67,
,7/28/2020,6/30/2020,0.47,0.59,,0.59,
,4/30/2020,3/31/2020,0.52,0.61,,0.61,
,2/6/2020,12/31/2019,0.56,0.63,,0.63,
,10/24/2019,9/30/2019,0.62,0.76,,0.76,
,7/25/2019,6/30/2019,0.6,0.71,,0.71,
,4/25/2019,3/31/2019,0.57,0.69,,0.69,
,2/7/2019,12/31/2018,0.71,0.74,,0.74,
,10/25/2018,9/30/2018,0.77,0.86,,0.86,
,7/26/2018,6/30/2018,0.67,0.73,,0.73,
,4/26/2018,3/31/2018,0.66,0.71,,0.71,
,2/8/2018,12/31/2017,0.53,0.58,,0.58,
,10/26/2017,9/30/2017,0.49,0.56,,0.56,
,7/27/2017,6/30/2017,0.45,0.49,,0.49,
,4/27/2017,3/31/2017,0.46,0.51,,0.51,
,2/9/2017,12/31/2016,0.36,0.41,,0.41,
,10/27/2016,9/30/2016,0.45,0.51,,0.51,
,7/28/2016,6/30/2016,0.4,0.45,,0.45,
,4/28/2016,3/31/2016,0.4,0.44,,0.44,
,2/4/2016,12/31/2015,0.46,0.5,,0.5,
,10/22/2015,9/30/2015,0.47,0.52,,0.52,
,7/23/2015,6/30/2015,0.44,0.5,,0.5,
,4/23/2015,3/31/2015,0.4,0.45,,0.45,
,2/5/2015,12/31/2014,0.39,0.43,,0.43,
,10/23/2014,9/30/2014,0.4,0.44,,0.44,
,7/24/2014,6/30/2014,0.42,0.45,,0.45,
,5/1/2014,3/31/2014,0.39,0.41,,0.41,
,2/11/2014,12/31/2013,0.37,0.39,,0.39,
,10/31/2013,9/30/2013,0.34,0.37,,0.37,
,8/1/2013,6/30/2013,0.33,0.36,,0.36,
,4/25/2013,3/31/2013,0.32,0.35,,0.35,
,2/13/2013,12/31/2012,0.29,0.31,,0.31,
,10/25/2012,9/30/2012,0.26,0.29,,0.29,
,7/24/2012,6/30/2012,0.2,0.23,,0.23,
,5/3/2012,3/31/2012,0.22,0.24,,0.24,
,,12/31/2011,0.09,,,,
,,9/30/2011,0.22,,,,
,,6/30/2011,0.17,,,,
,,3/31/2011,0.19,,,,
