CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,
N,,3/28/2026,,1.76,8/3/2024,1.56,6/26/2024,1.57,5/11/2024,1.57,3/17/2024,1.58,2/3/2024,1.56,1/14/2024,1.57,12/6/2023,1.58,10/28/2023,1.62,10/13/2023,1.64,9/6/2023,1.65,7/28/2023,,7/3/2023,1.41,7/2/2023,1.56,,1.61,,1.5725
,,12/29/2025,,1.82,,1.54,,1.55,,1.55,,1.56,,1.56,,1.6,,1.61,,1.64,,1.66,,1.61,,,,1.34,,1.54,,1.68,,1.5725
,,9/29/2025,,1.59,,1.32,,1.33,,1.36,,1.37,,1.37,,1.36,,1.37,,1.35,,1.33,,1.35,,,,1.13,,1.25,,1.3,,1.5725
,,6/30/2025,,1.46,,1.18,,1.19,,1.23,,1.23,,1.23,,1.22,,1.22,,1.24,,1.25,,1.28,,,,1.05,,1.12,,1.19,,1.5725
,,3/28/2025,,1.54,6/26/2024,1.56,6/26/2024,1.57,5/11/2024,1.57,3/17/2024,1.58,2/3/2024,1.56,1/14/2024,1.57,12/6/2023,1.58,10/28/2023,1.62,10/13/2023,1.64,9/6/2023,1.65,7/28/2023,,7/3/2023,1.41,7/2/2023,1.56,,1.61,,1.5725
,,12/29/2024,,1.52,,1.54,,1.55,,1.55,,1.56,,1.56,,1.6,,1.61,,1.64,,1.66,,1.61,,,,1.34,,1.54,,1.68,,1.5725
,,9/29/2024,,1.34,,1.32,,1.33,,1.36,,1.37,,1.37,,1.36,,1.37,,1.35,,1.33,,1.35,,,,1.13,,1.25,,1.3,,1.5725
,7/30/2024,6/30/2024,1.3,1.22,,1.18,,1.19,,1.23,,1.23,,1.23,,1.22,,1.22,,1.24,,1.25,,1.28,,,,1.05,,1.12,,1.19,,1.5725
,5/8/2024,3/28/2024,1.18,1.27,,1.22,,1.22,,1.23,,1.24,,1.25,,1.36,,1.4,,1.37,,1.38,7/3/2023,1.41,7/2/2023,1.56,,1.61,,1.5725,,,,
,2/1/2024,12/29/2023,1.04,1.22,,1.16,,1.18,,1.2,,1.2,,1.22,,1.19,,1.32,,1.34,,1.54,,1.68,,1.5725,,,,,,,,
,10/26/2023,9/29/2023,0.99,1.11,,1.01,,1.01,,0.99,,1.11,,1.13,,1.25,,1.3,,1.5725,,,,,,,,,,,,,,
,7/27/2023,6/30/2023,0.9,0.99,,1.05,,1.05,,1.12,,1.19,,1.5725,,,,,,,,,,,,,,,,,,,,
,5/9/2023,3/31/2023,0.875968589,1.11,,0.93,,1.14,,1.33,,1.59,,1.64,,1.5,,1.41,,1.32,,,,,,,,,,,,,,
,1/31/2023,12/30/2022,0.904974884,1.14,,1.15,,1.36,,1.8,,1.97,,1.58,,1.38,,1.29,,,,,,,,,,,,,,,,
,10/27/2022,9/30/2022,0.869627158,1.19,,1.03,,1.21,,1.51,,1.42,,1.21,,1.09,,,,,,,,,,,,,,,,,,
,7/28/2022,6/30/2022,1.028647454,1.1,,0.94,,0.98,,1.42,,1.32,,1.2,,1.08,,,,,,,,,,,,,,,,,,
,5/12/2022,3/31/2022,0.966072952,1.3,,1.2,,1.68,,1.57,,1.39,,1.21,,,,,,,,,,,,,,,,,,,,
,2/8/2022,12/31/2021,2.543939004,2.9,,2.18,,1.75,,1.36,,1.22,,,,,,,,,,,,,,,,,,,,,,
,10/28/2021,9/30/2021,1.646337703,1.71,,1.17,,1.11,,1.05,,,,,,,,,,,,,,,,,,,,,,,,
,8/3/2021,6/30/2021,1.251480148,1.19,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/11/2021,3/31/2021,1.442678201,1.51,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/28/2021,12/31/2020,1.708567494,1.77,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/29/2020,9/30/2020,0.700997744,0.75,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/28/2020,6/30/2020,0.690134638,0.56,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/12/2020,3/31/2020,0.899514777,0.96,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/3/2020,12/31/2019,0.745335639,0.88,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/24/2019,9/30/2019,0.500860921,0.7,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/25/2019,6/28/2019,0.652229207,0.67,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,0.692450931,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,0.669113198,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,0.607153317,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,0.448951006,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,0.578269129,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,0.931598034,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,0.499193742,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.59062608,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.513114893,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.509803782,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.312796104,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.292408242,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.349030826,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.347065502,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.148333095,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.248077507,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.411208216,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
