CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,
N,,3/31/2026,,1.09,4/8/2025,1.09,2/27/2025,1.08,1/30/2025,1.04,1/16/2025,1.05,12/8/2024,1.05,10/31/2024,1.04,9/15/2024,1.06,8/3/2024,0.95,6/29/2024,0.96,6/21/2024,0.87,,,,
,,12/31/2025,,1.05,,1.05,,1.05,,1.02,,1.02,,1.01,,0.99,,1,,0.91,,0.91,,0.82,,0.79,,0.7725
,,9/30/2025,,0.92,,0.92,,0.92,,0.9,,0.91,,0.9,,0.87,,0.87,,0.77,,0.77,,0.74,,0.72,,0.7725
,,6/28/2025,,0.97,,0.97,,0.97,,0.95,,0.95,,0.94,,0.92,,0.91,,0.73,,0.73,,0.76,,0.74,,0.7725
,,3/31/2025,,0.92,6/29/2024,0.92,6/29/2024,0.92,6/29/2024,0.87,6/29/2024,0.88,6/29/2024,0.88,6/29/2024,0.88,6/29/2024,0.93,6/29/2024,0.95,6/29/2024,0.96,6/21/2024,0.87,,,,
,1/28/2025,12/31/2024,0.24,0.94,,0.87,,0.88,,0.87,,0.84,,0.87,,0.91,,0.91,,0.82,,0.79,,0.7725,,,,
,10/29/2024,9/30/2024,0.35,0.83,,0.76,,0.77,,0.77,,0.77,,0.74,,0.72,,0.7725,,,,,,,,,,
,7/30/2024,6/28/2024,0.41,0.85,,0.73,,0.73,,0.76,,0.74,,0.7725,,,,,,,,,,,,,,
,4/30/2024,3/28/2024,2.807845582,0.79,,0.73,,0.74,,0.75,,0.76,,0.7625,,,,,,,,,,,,,,
,1/30/2024,12/29/2023,0.381704949,0.78,,0.73,,0.72,,0.73,,0.7625,,,,,,,,,,,,,,,,
,10/31/2023,9/29/2023,0.28951295,0.7,,0.64,,0.63,,0.7625,,,,,,,,,,,,,,,,,,
,8/1/2023,6/30/2023,0.280155642,0.72,,0.64,,0.7625,,,,,,,,,,,,,,,,,,,,
,5/2/2023,3/31/2023,-0.978913968,0.73,,0.62,,0.74,,0.85,,,,,,,,,,,,,,,,,,
,1/31/2023,12/30/2022,-0.006709608,0.62,,0.65,,0.7,,0.79,,0.86,,,,,,,,,,,,,,,,
,11/1/2022,9/30/2022,0.098814229,0.57,,0.5,,0.62,,0.72,,,,,,,,,,,,,,,,,,
,7/26/2022,6/30/2022,0.076550747,0.64,,0.63,,0.58,,0.66,,,,,,,,,,,,,,,,,,
,5/3/2022,3/31/2022,0.17452007,0.75,,0.64,,0.58,,0.7,,0.55,,0.52,,,,,,,,,,,,,,
,1/25/2022,12/31/2021,0.214216914,0.67,,0.65,,0.71,,0.53,,0.5,,0.43,,,,,,,,,,,,,,
,10/26/2021,9/30/2021,0.035715036,0.48,,0.57,,0.58,,0.48,,0.41,,0.43,,,,,,,,,,,,,,
