CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Non-GAAP,,12/31/2026,,3.38,1/9/2026,3.35,11/10/2025,3.27,9/22/2025,3.28,8/17/2025,3.25,6/27/2025,3.23,5/14/2025,,,,,
,,9/30/2026,,3.37,,3.36,,3.3,,3.3,,3.22,,3.24,,,,,,
,,6/30/2026,,3.07,,3.06,,2.98,,2.99,,2.96,,2.97,,,,,,
,,3/30/2026,,2.75,,2.77,,2.75,,2.75,,2.75,,2.71,,,,,,
,,12/31/2025,,3.16,12/22/2024,3.1,12/22/2024,2.89,12/22/2024,2.9,12/22/2024,2.96,12/22/2024,2.93,12/22/2024,,,,,
,11/6/2025,9/30/2025,1.91,3.08,,3.02,,3.01,,2.9,,2.89,,,,,,,,
,8/7/2025,6/30/2025,1.56,2.77,,2.6,,2.6,,2.53,,,,,,,,,,
,5/8/2025,3/30/2025,1.28,2.41,,2.29,,2.37,,2.59,,,,,,,,,,
,2/20/2025,12/31/2024,1.8,2.84,4/7/2024,2.75,4/7/2024,2.74,4/7/2024,2.7,4/7/2024,,,,,,,,,
,11/7/2024,9/30/2024,2.37,3.12,,2.7,,2.69,,2.7,,,,,,,,,,
,8/8/2024,6/30/2024,1.7,2.45,,2.26,,2.29,,2.44,,,,,,,,,,
,5/9/2024,3/30/2024,1.97,2.46,,2.32,,2.33,,2.4,,,,,,,,,,
,2/15/2024,12/31/2023,1.66,2.75,3/24/2023,2.5,3/24/2023,2.5,3/24/2023,2.45,3/24/2023,,,,,,,,,
,11/2/2023,9/30/2023,1.65,2.73,,2.55,,2.56,,2.49,,,,,,,,,,
,8/3/2023,6/30/2023,2.03,2.64,,2.34,,2.44,,2.49,,,,,,,,,,
,5/5/2023,3/30/2023,1.73,2.47,,2.34,,2.34,,2.8,,,,,,,,,,
,2/16/2023,12/31/2022,2.61,2.93,,2.68,,2.68,,2.67,,,,,,,,,,
,11/3/2022,9/30/2022,2.63,3.1,,2.53,,2.54,,2.49,,,,,,,,,,
,8/4/2022,6/30/2022,0.32,2.38,,1.72,,1.72,,1.84,,,,,,,,,,
,5/5/2022,3/31/2022,1.52,2.49,,1.8,,2.08,,2.62,,,,,,,,,,
,2/17/2022,12/31/2021,2.4,2.76,,2.51,,2.51,,2.44,,,,,,,,,,
,11/4/2021,9/30/2021,1.95,2.42,,2.22,,2.22,,2.07,,,,,,,,,,
,8/5/2021,6/30/2021,1.94,2.05,,1.93,,1.93,,1.93,,,,,,,,,,
,5/6/2021,3/31/2021,1.86,1.81,,1.68,,1.68,,1.7,,,,,,,,,,
,2/18/2021,12/31/2020,1.46,1.81,,1.71,,1.71,,1.64,3/24/2020,,,,,,,,,
