CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP Net Income per ADS,,12/30/2025,,1.66,3/23/2025,1.65,12/29/2024,12.03,11/23/2024,10.27,10/2/2024,10.27,8/18/2024,9.67,7/6/2024,10.24,5/25/2024,7.16,4/19/2024,8.97,3/16/2024,8.97,2/18/2024,8.97,1/3/2024,7.66,11/18/2023,7.66,10/3/2023,8.48,8/25/2023,8.48,6/27/2023,8.99,5/19/2023,,4/17/2023,8.44,3/11/2023,8.44,1/26/2023,8.44,12/21/2022,8.44,11/17/2022,9.45,10/31/2022,9.45,9/25/2022,9.45,8/22/2022,9.85,8/4/2022,9.85,7/1/2022,9.85,5/31/2022,,4/16/2022,8.21,3/12/2022,8.21,2/28/2022,8.21,1/21/2022,8.21,12/21/2021,8.21,11/20/2021,7.59,10/10/2021,7.59,9/9/2021,8.76,9/8/2021,8.76
,,9/30/2025,,1.65,,1.64,,11.97,,9.35,,9.35,,8.45,,8.76,,7.95,,8.29,,8.29,,8.29,,7.77,,7.77,,8.52,,8.52,,8.98,,,,8.87,,8.87,,8.87,,8.87,,9.06,,9.06,,9.06,,9.4,,9.4,,9.4,,,,7.44,,7.44,,7.44,,7.44,,7.44,,7.59,,7.59,,8.35,,8.35
,,6/30/2025,,1.42,,1.41,,10.32,,7.98,,7.98,,8.02,,8.34,,8.15,,5.68,,5.68,,5.68,,7.08,,7.08,,8.29,,8.29,,9.03,,,,8.71,,8.71,,8.71,,8.71,,8.22,,8.22,,8.22,,8.71,,8.71,,8.71,,,,7.47,,7.47,,7.47,,7.47,,7.47,,7.61,,7.61,,8.69,,8.69
,,3/31/2025,,1.55,,1.64,,11.97,,8.67,,8.67,,7.85,,8.38,,7.77,,6.58,,6.58,,6.58,,7.2,,7.2,,7.6,,7.6,,8.1,,,,7.81,,7.81,,7.81,,7.81,,8.71,,8.71,,8.71,,8.04,,8.04,,8.04,,,,7.54,,7.54,,7.54,,7.54,,7.54,,8.19,,8.19,,8.67,,8.67
,3/16/2025,12/30/2024,1.82,1.89,4/19/2024,1.27,4/19/2024,12.22,4/19/2024,7.77,4/19/2024,7.77,4/19/2024,8.07,4/19/2024,8.07,4/19/2024,7.16,4/19/2024,8.97,3/16/2024,8.97,2/18/2024,8.97,1/3/2024,7.66,11/18/2023,7.66,10/3/2023,8.48,8/25/2023,8.48,6/27/2023,8.99,5/19/2023,,4/17/2023,8.44,3/11/2023,8.44,1/26/2023,8.44,12/21/2022,8.44,11/17/2022,9.45,10/31/2022,9.45,9/25/2022,9.45,8/22/2022,9.85,8/4/2022,9.85,7/1/2022,9.85,5/31/2022,,4/16/2022,8.21,3/12/2022,8.21,2/28/2022,8.21,1/21/2022,8.21,12/21/2021,8.21,11/20/2021,7.59,10/10/2021,7.59,9/9/2021,8.76,9/8/2021,8.76
,11/19/2024,9/30/2024,1.668493151,1.691780822,,10.01,,10.01,,7.92,,7.92,,7.95,,8.29,,8.29,,8.29,,7.77,,7.77,,8.52,,8.52,,8.98,,,,8.87,,8.87,,8.87,,8.87,,9.06,,9.06,,9.06,,9.4,,9.4,,9.4,,,,7.44,,7.44,,7.44,,7.44,,7.44,,7.59,,7.59,,8.35,,8.35,,,,
,8/13/2024,6/30/2024,1.221917808,1.254794521,,7.64,,7.64,,8.15,,5.68,,5.68,,5.68,,7.08,,7.08,,8.29,,8.29,,9.03,,,,8.71,,8.71,,8.71,,8.71,,8.22,,8.22,,8.22,,8.71,,8.71,,8.71,,,,7.47,,7.47,,7.47,,7.47,,7.47,,7.61,,7.61,,8.69,,8.69,,,,,,,,
,5/19/2024,3/31/2024,1,1.038356164,,7.77,,6.58,,6.58,,6.58,,7.2,,7.2,,7.6,,7.6,,8.1,,,,7.81,,7.81,,7.81,,7.81,,8.71,,8.71,,8.71,,8.04,,8.04,,8.04,,,,7.54,,7.54,,7.54,,7.54,,7.54,,8.19,,8.19,,8.67,,8.67,,,,,,,,,,,,
,3/12/2024,12/30/2023,0.942465753,0.979452055,4/17/2023,7.04,4/17/2023,7.04,4/17/2023,8.01,4/17/2023,8.01,4/17/2023,8.35,4/17/2023,8.35,4/17/2023,7.58,4/17/2023,7.58,4/17/2023,8.44,3/11/2023,8.44,1/26/2023,8.44,12/21/2022,8.44,11/17/2022,9.45,10/31/2022,9.45,9/25/2022,9.45,8/22/2022,9.85,8/4/2022,9.85,7/1/2022,9.85,5/31/2022,,4/16/2022,8.21,3/12/2022,8.21,2/28/2022,8.21,1/21/2022,8.21,12/21/2021,8.21,11/20/2021,7.59,10/10/2021,7.59,9/9/2021,8.76,9/8/2021,8.76,,,,,,,,,,,,,,,,
,11/16/2023,9/30/2023,0.950684932,0.98630137,,6.46,,7.73,,7.73,,8.4,,8.4,,8.87,,8.87,,8.87,,8.87,,9.06,,9.06,,9.06,,9.4,,9.4,,9.4,,,,7.44,,7.44,,7.44,,7.44,,7.44,,7.59,,7.59,,8.35,,8.35,,,,,,,,,,,,,,,,,,,,,,
