CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,
Non-GAAP,,12/31/2026,,0.45,12/17/2025,0.46,11/5/2025,0.46,10/23/2025,0.46,9/15/2025,0.46,8/6/2025,0.41,7/22/2025,,,,,,,,,,,
,,9/30/2026,,0.39,,0.37,,0.37,,0.37,,0.41,,0.44,,,,,,,,,,,,
,,6/30/2026,,0.2,,0.2,,0.2,,0.18,,0.18,,0.18,,,,,,,,,,,,
,,3/30/2026,,-0.06,,-0.07,,-0.07,,-0.07,,-0.1,,-0.12,,,,,,,,,,,,
,,12/31/2025,,0.31,12/21/2024,0.32,12/21/2024,0.36,12/21/2024,0.38,12/21/2024,0.39,12/21/2024,0.42,12/21/2024,,,,,,,,,,,
,11/3/2025,9/30/2025,0.35,0.35,,0.23,,0.22,,0.33,,0.4,,,,,,,,,,,,,,
,8/4/2025,6/30/2025,0.24,0.24,,0.02,,0.02,,0.02,,,,,,,,,,,,,,,,
,5/5/2025,3/30/2025,-0.1,-0.1,,-0.28,,-0.04,,0.13,,,,,,,,,,,,,,,,
,2/27/2025,12/31/2024,0.7,0.7,4/10/2024,0.76,4/10/2024,0.75,4/10/2024,0.61,4/10/2024,,,,,,,,,,,,,,,
,11/7/2024,9/30/2024,0.33,0.33,,0.47,,0.51,,0.5,,,,,,,,,,,,,,,,
,8/5/2024,6/30/2024,0.09,0.09,,0.25,,0.28,,0.29,,,,,,,,,,,,,,,,
,5/7/2024,3/30/2024,-0.06,-0.06,,-0.1,,-0.02,,0.25,,,,,,,,,,,,,,,,
,2/28/2024,12/31/2023,0.64,0.69,4/9/2023,0.57,4/9/2023,0.58,4/9/2023,0.78,4/9/2023,,,,,,,,,,,,,,,
,11/6/2023,9/30/2023,0.4,0.4,,0.48,,0.49,,0.51,,,,,,,,,,,,,,,,
,8/2/2023,6/30/2023,0.12,0.15,,0.18,,0.22,,0.32,,,,,,,,,,,,,,,,
,5/1/2023,3/30/2023,0.02,0.03,,0.07,,0.23,,0.37,,,,,,,,,,,,,,,,
,2/27/2023,12/31/2022,0.34,0.35,,0.39,,0.4,,0.41,,,,,,,,,,,,,,,,
,11/1/2022,9/30/2022,0.51,0.54,,0.47,,0.47,,0.5,,,,,,,,,,,,,,,,
,8/1/2022,6/30/2022,0.61,0.62,,0.44,,0.44,,0.47,,,,,,,,,,,,,,,,
,5/2/2022,3/31/2022,0.32,0.36,,0.3,,0.3,,0.42,,,,,,,,,,,,,,,,
,3/1/2022,12/31/2021,0.53,0.5,,0.42,,0.42,,0.42,,,,,,,,,,,,,,,,
,11/1/2021,9/30/2021,0.33,0.41,,0.34,,0.34,,0.34,,,,,,,,,,,,,,,,
,8/2/2021,6/30/2021,0.26,0.34,,0.26,,0.25,,0.24,,,,,,,,,,,,,,,,
,5/4/2021,3/31/2021,0.22,0.25,,0.1,,0.16,,0.18,,,,,,,,,,,,,,,,
,3/1/2021,12/31/2020,0.47,0.47,,0.29,,0.29,,0.29,,,,,,,,,,,,,,,,
,11/2/2020,9/30/2020,0.41,0.38,,0.25,,0.25,,0.29,,,,,,,,,,,,,,,,
,8/3/2020,6/30/2020,0.09,0.19,,0.08,,0.08,,,,,,,,,,,,,,,,,,
,5/4/2020,3/31/2020,0.13,0.15,,0.13,,,,,,,,,,,,,,,,,,,,
,3/2/2020,12/31/2019,0.46,0.46,,0.46,,,,,,,,,,,,,,,,,,,,
