CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,,,,,,,,,,
,,12/31/2021,15.77,6/29/2021,15.77,5/30/2021,15.77,4/30/2021,8.53,3/19/2021,4.66,2/16/2021,31.04,1/2/2021,31.04,11/29/2020,31.04,10/28/2020,31.04,9/24/2020,31.04,8/27/2020,46.28,7/28/2020,46.28,7/27/2020,,,,,,
,,9/30/2021,12.82,,12.82,,12.82,,21.9,,34.87,,28.76,,28.76,,25.67,,25.67,,25.67,,31.26,,31.26,,,,,,,
,,6/30/2021,22.41,,22.41,,22.41,,26.6,,36.58,,20.89,,20.89,,21.58,,21.58,,21.58,,19.28,,19.28,,,,,,,
,4/28/2021,3/31/2021,-10.85,,21.11,,26.29,,20.46,,20.46,,21.27,,21.27,,21.27,,26.62,,26.62,,,,,,,,,,,
,2/16/2021,12/31/2020,2.16,,11.61,,35.57,,34.27,6/7/2020,35.75,6/7/2020,36.97,6/7/2020,44.76,6/7/2020,29.4,4/29/2020,36.13,3/23/2020,36.13,2/17/2020,36.13,1/23/2020,36.18,,36.18,,42.02877698,,42.77,53.42197183
,10/28/2020,9/30/2020,61.13,,20.16,,20.22,,24.24,,26.17,,31.65,,31.65,,31.65,,28.57,,28.57,,33.42446043,,28.59,30.17915493,,,,,,
,7/28/2020,6/30/2020,-9.9,,19.85,,27.51,,27.51,,27.51,,20.43,,20.43,,25.02158273,,19.27,24.28394366,,,,,,,,,,,,
,4/28/2020,3/31/2020,17.33,,27.28,,27.28,,27.28,,22.91,,22.91,,23.52517986,,20.47,21.17408451,,,,,,,,,,,,,,
,2/14/2020,12/31/2019,2.78,,24.85,,24.9,,24.9,,28.14,,29.21,33.31,39.51,37.8,,,,,,,,,,,,,,,,
,10/25/2019,9/30/2019,13.85672803,,23.02,,23.23,,21.94,22.32,27.21,,,,,,,,,,,,,,,,,,,,,
,7/26/2019,6/28/2019,11.06259451,,22.62,,17.75,,17.96,16.63,,,,,,,,,,,,,,,,,,,,,,
,4/25/2019,3/29/2019,10.58567654,,16.55,,15.66,,17.83,,,,,,,,,,,,,,,,,,,,,,,
