CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,
N,,5/28/2021,1,9/23/2020,0.99,8/27/2020,0.91,7/28/2020,0.99,7/2/2020,1.05,5/22/2020,1.01,5/20/2020,1.1,,1.23,,1.18,,1.17,,1.162117647,,1.219941176,,1.21038806,,
,,2/26/2021,1.08,,1.08,,1.17,,1.17,,1.24,,1.13,,1.19,,1.34,,1.28,,1.26,,1.31,,1.280970588,,1.311764706,,1.262447761
,,11/30/2020,0.42,,0.43,,0.47,,0.46,,0.45,,0.46,,0.49,,0.52,,0.38,,0.42,,0.39,,0.2245,,0.183647059,,0.221253731
,,8/31/2020,1.03,,1.03,,1.13,,1.44,,1.44,,1.6,,1.57,,1.85,,1.8,,1.78,,1.809205882,,1.810235294,,1.796059701,,
,7/28/2020,5/29/2020,0.08,,0.35,,0.35,,0.64,,0.67,,0.9,,0.91,,0.9,,0.88,,0.93,,0.94,,0.31,,,,
,4/21/2020,2/28/2020,0.86325896,,0.79,,0.8,,0.97,,0.96,,0.97,,1.01,,1,,0.97,,0.96,,0.95,,,,,,
,1/20/2020,11/29/2019,0.335291917,,0.21,,0.2,,0.17,,0.14,,0.17,,0.15,,0.29,,,,,,,,,,,,
,10/22/2019,8/30/2019,1.307269519,,1.37,,1.38,,1.37,,1.51,,,,,,,,,,,,,,,,,,
,7/23/2019,5/31/2019,0.271885664,,0.64,,0.66,,0.56,,0.76,,0.79,,0.6,,0.65,,,,,,,,,,,,
,4/23/2019,2/28/2019,0.613167082,,0.7,,0.56,,0.77,,0.71,,0.74,,0.78,,,,,,,,,,,,,,
,1/22/2019,11/30/2018,-0.162396319,,0.03,,0.02,,0.18,,0.2,,0.14,,0.17,,0.18,,,,,,,,,,,,
,10/23/2018,8/31/2018,0.777211909,,1.19,,1.27,,1.29,,1.26,,1.25,,,,,,,,,,,,,,,,
,7/24/2018,5/31/2018,0.409489343,,0.53,,0.54,,0.55,,0.56,,0.57,,0.51,,,,,,,,,,,,,,
,4/24/2018,2/28/2018,0.430752788,,0.53,,0.54,,0.6,,0.59,,0.61,,0.54,,,,,,,,,,,,,,
