CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Y,,12/31/2026,,1.12,11/18/2025,1.12,10/19/2025,1.13,9/28/2025,1.13,8/25/2025,1.13,7/18/2025,,,,,,
,,9/30/2026,,1.17,,1.16,,1.13,,1.13,,1.14,,,,,,,
,,6/30/2026,,1.1,,1.1,,1.08,,1.08,,1.08,,,,,,,
,,3/30/2026,,1,,1,,0.99,,0.99,,1,,,,,,,
,,12/31/2025,,0.98,12/27/2024,0.98,12/27/2024,0.95,12/27/2024,0.95,12/27/2024,0.95,12/27/2024,,,,,,
,10/15/2025,9/30/2025,1.06,1.06,,0.94,,0.93,,0.94,,,,,,,,,
,7/16/2025,6/30/2025,0.89,0.89,,0.87,,0.9,,0.9,,,,,,,,,
,4/15/2025,3/30/2025,0.9,0.9,,0.82,,0.83,,0.85,,,,,,,,,
,1/16/2025,12/31/2024,0.82,0.82,3/9/2024,0.77,3/9/2024,0.78,3/9/2024,0.79,3/9/2024,,,,,,,,
,10/15/2024,9/30/2024,0.81,0.81,,0.77,,0.81,,0.81,,,,,,,,,
,7/16/2024,6/30/2024,0.83,0.83,,0.81,,0.81,,0.8,,,,,,,,,
,4/16/2024,3/30/2024,0.76,0.83,,0.78,,0.78,,0.79,,,,,,,,,
,1/12/2024,12/31/2023,0.35,0.7,,0.67,,0.76,,0.76,,,,,,,,,
,10/17/2023,9/30/2023,0.9,0.9,,0.8,,0.81,,0.81,,,,,,,,,
,7/18/2023,6/30/2023,0.88,0.88,,0.84,,0.86,,0.86,,,,,,,,,
,4/18/2023,3/30/2023,0.94,0.94,,0.83,,0.84,,0.85,,,,,,,,,
,1/13/2023,12/31/2022,0.85,0.85,,0.82,,0.85,,0.85,,,,,,,,,
,10/17/2022,9/30/2022,0.81,0.81,,0.79,,0.8,,0.8,,,,,,,,,
,7/18/2022,6/30/2022,0.73,0.73,,0.82,,0.82,,0.82,,,,,,,,,
,4/18/2022,3/31/2022,0.8,0.8,,0.76,,0.78,,0.78,,,,,,,,,
,1/19/2022,12/31/2021,0.82,0.82,,0.78,,0.78,,0.72,,,,,,,,,
,10/14/2021,9/30/2021,0.85,0.85,,0.7,,0.7,,0.71,,,,,,,,,
,7/14/2021,6/30/2021,1.03,1.03,,0.77,,0.76,,0.69,,,,,,,,,
,4/15/2021,3/31/2021,0.86,0.86,,0.61,,0.6,,0.59,,,,,,,,,
