Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,
12/31/2020,2.15,2/10/2020,2.15,1/12/2020,2.11,10/8/2019,1.92,,1.92,,2.309348231,,,,,,
9/30/2020,2.54,,2.57,,2.73,,2.94,,2.94,,2.903500931,,,,,,
6/30/2020,1.84,,1.69,,1.64,,2.09,,2.09,,2.129981378,,,,,,
3/31/2020,-0.3,,-0.29,,-0.4,,-0.66,,-0.66,,-1.266778399,-1.378882682,,,,,
12/31/2019,1.29,,1.69,,1.69,,1.68,,1.68,,2.01,1.91,2.06,2.04,2.17,1.275,1.28
9/30/2019,3.24,,2.26,,2.3,,2.3,,2.58,2.59,2.7,2.56,1.275,1.28,,,
6/28/2019,1.807982319,,1.69,,1.96,,1.9,1.8,1.82,1.275,1.28,,,,,,
3/29/2019,-0.310517078,,-1.13,,-1.23,,-1.39,-1.38,1.275,1.28,,,,,,,
12/31/2018,2.208278753,,1.57,,1.62,,1.7,1.69,1.67,1.79,,,,,,,
9/28/2018,2.497317807,,2.26,,2.23,,2.48,,,,,,,,,,
6/29/2018,1.464495114,,1.72,,1.95,,,,,,,,,,,,
3/29/2018,-1.249041621,,-1.81,,,,,,,,,,,,,,
12/29/2017,1.382465392,,1.14,,1.42,,,,,,,,,,,,
9/29/2017,1.96426199,,1.6,,,,,,,,,,,,,,
6/30/2017,1.473642384,,nan,,,,,,,,,,,,,,
3/31/2017,-1.548765347,,nan,,,,,,,,,,,,,,
12/30/2016,1.078686327,,1.58,,1.66,,1.67,1.73,1.77,1.76,,,,,,,
9/30/2016,1.381904119,,1.73,,1.81,,1.8,1.83,1.93,,,,,,,,
6/30/2016,1.162936681,,1.54,,1.38,,1.39,1.38,1.34,1.29,-0.93,,,,,,
3/31/2016,-1.110294118,,-0.88,,-0.93,,-1,-0.99,,,,,,,,,
12/31/2015,1.547728502,,1.43,,1.56,,1.58,1.51,1.5,1.51,1.5,1.36,1.31,1.61,1.69,1.77,
9/30/2015,1.57267047,,1.54,,1.55,,1.56,1.55,1.66,1.67,1.69,1.75,1.71,1.8,,,
6/30/2015,1.193667258,,1.11,,1.2,,1.27,1.24,1.23,1.21,,,,,,,
