CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted,,12/31/2023,,0.47,11/10/2022,1.07,10/12/2022,1.1,9/10/2022,1.1,8/6/2022,1.49,7/6/2022,1.49,6/4/2022,1.49,5/2/2022,,4/21/2022,1.01,3/19/2022,1.14,2/21/2022,1.15,1/17/2022,1.39,12/10/2021,2.03,11/4/2021,2.03,10/5/2021,1.98,8/31/2021,1.97,7/31/2021,1.97,6/29/2021,1.67,5/30/2021,3,5/1/2021,2.95,3/19/2021,2.54,2/19/2021,2.34,1/8/2021,2.45,12/8/2020,2.5,11/7/2020,2.5,10/16/2020,3.18,9/14/2020,3.18,9/13/2020
,,9/30/2023,,-0.01,,0.37,,0.4,,0.4,,0.65,,0.65,,0.65,,,,0.58,,0.98,,0.93,,1.09,,1.46,,1.46,,1.4,,1.4,,1.4,,1.4,,2.49,,2.56,,2.59,,2.42,,2.63,,2.57,,2.57,,2.3,,2.3,
,,6/30/2023,,0.54,,0.93,,0.96,,0.96,,1.03,,1.03,,1.03,,,,0.55,,0.87,,0.85,,0.95,,1.39,,1.39,,1.34,,1.33,,1.33,,1.33,,2.47,,2.48,,2.41,,2.34,,2.4,,2.21,,2.21,,2.26,,2.26,
,,3/30/2023,,0.01,,0.18,,0.21,,0.21,,0.45,,0.45,,0.45,,,,0.11,,0.82,,0.82,,0.9,,1.12,,1.12,,1.07,,1.06,,1.06,,1.06,,1.28,,1.3,,1.73,,1.82,,1.83,,1.26,,1.26,,0.97,,0.97,
,,12/31/2022,,0.52,,0.71,,0.68,,0.6,,0.94,,0.94,,1.19,,1.01,,1.01,3/19/2022,1.14,2/21/2022,1.15,1/17/2022,1.39,12/10/2021,2.03,11/4/2021,2.03,10/5/2021,1.98,8/31/2021,1.97,7/31/2021,1.97,6/29/2021,1.67,5/30/2021,3,5/1/2021,2.95,3/19/2021,2.54,2/19/2021,2.34,1/8/2021,2.45,12/8/2020,2.5,11/7/2020,2.5,10/16/2020,3.18,9/14/2020,3.18,9/13/2020
,11/8/2022,9/30/2022,-1.52,-1.27,,-0.06,,-0.07,,0.01,,0.4,,0.4,,0.55,,0.58,,0.58,,0.98,,0.93,,1.09,,1.46,,1.46,,1.4,,1.4,,1.4,,1.4,,2.49,,2.56,,2.59,,2.42,,2.63,,2.57,,2.57,,2.3,,2.3,
,8/1/2022,6/30/2022,-1.13,-0.86,,0.38,,0.38,,0.59,,0.55,,0.55,,0.87,,0.85,,0.95,,1.39,,1.39,,1.34,,1.33,,1.33,,1.33,,2.47,,2.48,,2.41,,2.34,,2.4,,2.21,,2.21,,2.26,,2.26,,,,,,,
,4/28/2022,3/30/2022,-0.07,0.18,,0.11,,0.11,,0.82,,0.82,,0.9,,1.12,,1.12,,1.07,,1.06,,1.06,,1.06,,1.28,,1.3,,1.73,,1.82,,1.83,,1.26,,1.26,,0.97,,0.97,,,,,,,,,,,,,
,2/24/2022,12/31/2021,3.5,4.5,,4.27,,4.27,,4.27,,3.39,,3.39,,3.61,,2.82,,2.84,,2.84,,3,,2.95,3/19/2021,2.54,2/19/2021,2.34,1/8/2021,2.45,12/8/2020,2.5,11/7/2020,2.5,10/16/2020,3.18,9/14/2020,3.18,9/13/2020,,,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,-0.61,-0.36,,2.35,,2.44,,2.2,,2.24,,2.24,,2.49,,2.56,,2.59,,2.42,,2.63,,2.57,,2.57,,2.3,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
,7/29/2021,6/30/2021,0.09,0.33,,1.55,,1.55,,2.47,,2.48,,2.41,,2.34,,2.4,,2.21,,2.21,,2.26,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/29/2021,3/31/2021,1.28,1.53,,1.3,,1.73,,1.82,,1.83,,1.26,,1.26,,0.97,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/18/2021,12/31/2020,3.44,3.67,,2.83,,2.83,,2.7,,2.7,,2.76,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.73,2.19,,2.1,,2.09,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/30/2020,6/30/2020,1.73,1.98,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,-0.24,0.01,,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/20/2020,12/31/2019,0.9,1.57,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/6/2019,9/30/2019,0.83,1.21,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/1/2019,6/28/2019,-0.18,0.12,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,-0.51,-0.13,,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/21/2019,12/31/2018,-0.07,0.75,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2018,9/28/2018,0.41,0.55,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2018,6/29/2018,0.98,1.07,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/3/2018,3/29/2018,-0.1,-0.03,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/22/2018,12/29/2017,0.67,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,0.68,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/3/2017,6/30/2017,0.11,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2017,3/31/2017,0.23,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.77,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
