CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,
Adjusted,,12/31/2026,,1.91,11/25/2025,1.9,10/24/2025,1.83,9/29/2025,1.83,8/27/2025,1.83,7/24/2025,1.83,6/8/2025
,,9/30/2026,,2.37,,2.36,,2.19,,2.19,,2.16,,2.12,
,,6/30/2026,,2.29,,2.29,,2.21,,2.21,,2.14,,2,
,,3/30/2026,,1.72,,1.71,,1.68,,1.68,,1.67,,1.63,
,,12/31/2025,,1.71,12/27/2024,1.71,12/27/2024,1.59,12/27/2024,1.59,12/27/2024,1.6,12/27/2024,1.6,12/27/2024
,10/20/2025,9/30/2025,1.85,2.24,,2,,2,,1.99,,1.92,,,
,7/21/2025,6/30/2025,1.56,2.15,,1.86,,1.83,,1.83,,,,,
,4/28/2025,3/30/2025,1.65,1.67,,1.23,,1.21,,1.18,,,,,
,2/5/2025,12/31/2024,3.02,1.59,3/30/2024,1.52,3/30/2024,1.52,3/30/2024,1.52,3/30/2024,,,,
,10/17/2024,9/30/2024,-1.47,1.99,,1.81,,1.8,,1.8,,,,,
,7/22/2024,6/30/2024,1.45,1.81,,1.59,,1.58,,1.56,,,,,
,4/29/2024,3/30/2024,0.56,1.02,,0.95,,1,,1.44,,,,,
,2/5/2024,12/31/2023,0.27,1.24,,1.43,,1.43,,1.47,,,,,
,10/23/2023,9/30/2023,1.33,1.73,,1.73,,1.73,,1.76,,,,,
,7/24/2023,6/30/2023,1.31,1.68,,1.65,,1.66,,1.69,,,,,
,4/24/2023,3/30/2023,0.85,1.2,,1.06,,1.16,,1.53,,,,,
,2/7/2023,12/31/2022,0.74,1.17,,1.06,,1.07,,1.24,,,,,
,10/24/2022,9/30/2022,1.06,1.46,,1.81,,1.82,,1.99,,,,,
,7/20/2022,6/30/2022,2.43,2.1,,2.03,,2.03,,2.05,,,,,
,4/25/2022,3/31/2022,1.74,2.01,,1.82,,1.82,,1.8,,,,,
,2/8/2022,12/31/2021,-7.95,1.66,,1.54,,1.54,,1.53,,,,,
,10/25/2021,9/30/2021,0.79,2.03,,1.95,,1.96,,1.91,,,,,
,7/19/2021,6/30/2021,0.95,2.14,,1.78,,1.77,,1.77,,,,,
,4/19/2021,3/31/2021,1.57,1.83,,1.38,,1.26,,1.24,,,,,
,2/9/2021,12/31/2020,1.12,1.5,,1.27,,1.27,,1.15,,,,,
,10/19/2020,9/30/2020,1.592261905,1.96,,1.58,,1.53,,1.76,,,,,
,7/20/2020,6/30/2020,0.940298507,1.33,,1.3,,1.57,,1.59,,,,,
,4/20/2020,3/31/2020,0.651851852,1.13,,0.92,,0.93,,1.14,,,,,
,2/4/2020,12/31/2019,0.643550686,1.04,,0.95,,1.02,,1.06,,,,,
,10/16/2019,9/30/2019,1.355739976,1.56,,1.56,,1.57,,1.7,,,,,
,7/17/2019,6/28/2019,1.016320475,1.46,,1.47,,1.49,,1.53,,,,,
,4/17/2019,3/29/2019,0.766369048,1.05,,1.05,,1.07,,1.2,,,,,
,2/6/2019,12/31/2018,0.395239512,1,,1,,1.15,,0.91,,,,,
,10/17/2018,9/28/2018,1.225710015,1.71,,1.65,,1.75,,1.51,,,,,
,7/18/2018,6/29/2018,0.986221404,1.55,,1.56,,1.25,,1.24,,,,,
,4/18/2018,3/29/2018,0.67264574,0.94,,0.8,,0.84,,0.87,,,,,
,2/7/2018,12/29/2017,-0.66515084,,,0.79,,0.85,,0.88,,,,,
,10/18/2017,9/29/2017,1.316810893,,,1.41,,1.35,,1.42,,,,,
,7/19/2017,6/30/2017,0.943257185,,,1.1,,1.09,,1.1,,,,,
,4/19/2017,3/31/2017,0.769784173,,,0.69,,0.7,,0.76,,,,,
,,12/30/2016,0.465859184,,,0.7,,0.71,,0.75,,,,,
,,9/30/2016,1.311827957,,,1.31,,1.3,,1.31,,,,,
,,6/30/2016,1.213208902,,,1.11,,1.06,,1.12,,,,,
,,3/31/2016,0.568345324,,,0.63,,0.71,,0.72,,,,,
,,12/31/2015,0.473902049,,,0.69,,0.7,,0.68,,,,,
,,9/30/2015,1.013794274,,,1.31,,1.35,,1.38,,,,,
,,6/30/2015,1.019382627,,,1.01,,1.08,,1.17,,,,,
,,3/31/2015,0.31665283,,,0.52,,0.72,,0.68,,,,,
,,12/31/2014,0.093662588,,,0.48,,0.55,,0.57,,,,,
,,9/30/2014,1.759192502,,,1.22,,1.26,,1.3,,,,,
,,6/30/2014,0.764790765,,,0.99,,1.06,,1.08,,,,,
,,3/31/2014,0.174039159,,,0.51,,0.57,,0.61,,,,,
,,12/31/2013,0.35587535,,,0.5,,0.58,,0.66,,,,,
,,9/30/2013,0.725574713,,,1.08,,1.19,,0.93,,,,,
,,6/28/2013,0.933058261,,,0.93,,0.95,,0.94,,,,,
,,3/28/2013,0.284670717,,,0.49,,0.57,,0.55,,,,,
,,12/28/2012,0.199555525,,,0.55,,1,,,,,,,
,,9/28/2012,2.19879499,,,1,,,,,,,,,
,,6/29/2012,0.890654405,,,0.84,,,,,,,,,
,,3/30/2012,0.459945846,,,0.45,,,,,,,,,
,,12/30/2011,0.052596976,,,nan,,,,,,,,,
,,9/30/2011,0.844793713,,,nan,,,,,,,,,
,,6/30/2011,0.8296548,,,nan,,,,,,,,,
,,3/31/2011,0.101311548,,,nan,,,,,,,,,
,,12/31/2010,0.28125,,,nan,,,,,,,,,
