CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Adjusted,,12/31/2025,,0.39,10/5/2024,0.39,10/4/2024,,,,,,,,,,,,,,,,,
,,9/30/2025,,0.4,,0.4,,,,,,,,,,,,,,,,,,
,,6/30/2025,,0.39,,0.39,,,,,,,,,,,,,,,,,,
,,3/30/2025,,0.36,,0.36,,,,,,,,,,,,,,,,,,
,,12/31/2024,,0.33,,0.33,,,,,,,,,,,,,,,,,,
,,9/30/2024,,0.33,,0.33,,,,,,,,,,,,,,,,,,
,8/6/2024,6/30/2024,0.26,0.34,,0.34,,,,,,,,,,,,,,,,,,
,5/8/2024,3/30/2024,0.2,0.28,,0.28,,,,,,,,,,,,,,,,,,
,2/28/2024,12/31/2023,0.15,0.17,,0.17,,,,,,,,,,,,,,,,,,
,11/8/2023,9/30/2023,0.17,0.21,,0.21,,,,,,,,,,,,,,,,,,
,8/2/2023,6/30/2023,0.04,0.15,,0.15,,,,,,,,,,,,,,,,,,
,5/9/2023,3/30/2023,-0.06,0.06,,0.06,,,,,,,,,,,,,,,,,,
,3/1/2023,12/31/2022,-0.13,0.14,,0.14,,,,,,,,,,,,,,,,,,
,11/14/2022,9/30/2022,-0.44,0.05,,0.05,,,,,,,,,,,,,,,,,,
,8/15/2022,6/30/2022,-0.09,0.01,,0.01,,,,,,,,,,,,,,,,,,
,5/16/2022,3/31/2022,-0.13,-0.03,,-0.03,,,,,,,,,,,,,,,,,,
,3/23/2022,12/31/2021,-0.22,-0.09,,-0.09,,,,,,,,,,,,,,,,,,
,11/15/2021,9/30/2021,-0.23,-0.23,,-0.23,,,,,,,,,,,,,,,,,,
,8/16/2021,6/30/2021,-0.03,-0.03,,-0.03,,,,,,,,,,,,,,,,,,
