CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,
Y,,12/31/2021,0.5,2/4/2021,0.51,1/15/2021,0.5,1/14/2021,0.48,,0.5,,,,,,,,,,,,,,,,,,
,,9/30/2021,0.49,,0.5,,0.5,,0.47,,0.5,,,,,,,,,,,,,,,,,,
,,6/30/2021,0.48,,0.49,,0.5,,0.49,,,,,,,,,,,,,,,,,,,,
,,3/31/2021,0.45,,0.46,,0.46,,0.48,,,,,,,,,,,,,,,,,,,,
,2/4/2021,12/31/2020,0.46,,0.45,,0.44,,0.43,,0.55,,0.57,,0.64,,,,,,,,,,,,,,
,10/29/2020,9/30/2020,0.49758992,,0.42,,0.43,,0.53,,0.6,,,,,,,,,,,,,,,,,,
,7/30/2020,6/30/2020,0.517590436,,0.45,,0.44,,0.53,,0.58,,,,,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,0.475891476,,0.45,,0.5,,0.51,,0.57,,,,,,,,,,,,,,,,,,
,2/6/2020,12/31/2019,0.512150231,,0.53,,0.57,,0.55,,0.61,,0.67,,0.7,,,,,,,,,,,,,,
,10/31/2019,9/30/2019,0.471289641,,0.48,,0.53,,0.5,,0.54,,0.59,,0.62,,0.66,,,,,,,,,,,,
,7/24/2019,6/28/2019,0.532517237,,0.54,,0.53,,0.52,,0.55,,0.6,,0.62,,,,,,,,,,,,,,
,4/24/2019,3/29/2019,0.537963856,,0.56,,0.54,,0.57,,0.6,,0.62,,0.63,,0.61,,,,,,,,,,,,
,2/6/2019,12/31/2018,0.538041989,,0.51,,0.52,,0.53,,0.56,,0.59,,0.57,,0.58,,0.61,,0.62,,,,,,,,
,10/25/2018,9/28/2018,0.52069514,,0.52,,0.53,,0.54,,0.55,,0.54,,0.52,,0.55,,0.56,,0.55,,,,,,,,
,7/26/2018,6/29/2018,0.566593166,,0.55,,0.56,,0.55,,0.53,,0.52,,0.58,,0.59,,0.57,,,,,,,,,,
,4/26/2018,3/29/2018,0.59442116,,0.58,,0.54,,0.53,,0.57,,0.56,,,,,,,,,,,,,,,,
,2/8/2018,12/29/2017,0.436722147,,0.47,,0.45,,0.44,,0.45,,0.47,,0.46,,0.45,,0.5,,0.49,,0.53,,0.57,,0.52,,0.45
,10/26/2017,9/29/2017,0.461919503,,0.43,,0.4,,0.41,,0.47,,0.46,,0.5,,0.51,,0.49,,0.43,,0.46,,,,,,
,7/27/2017,6/30/2017,0.459361148,,0.45,,0.44,,0.46,,0.45,,0.49,,0.47,,0.41,,0.46,,,,,,,,,,
,4/27/2017,3/31/2017,0.479433447,,0.46,,0.45,,0.44,,0.47,,0.48,,0.47,,0.41,,0.39,,,,,,,,,,
,,12/30/2016,0.439905576,,0.39,,0.43,,0.42,,0.4,,0.33,,0.32,,0.91,,,,,,,,,,,,
,,9/30/2016,0.359163256,,0.35,,0.37,,0.36,,0.31,,0.32,,0.86,,,,,,,,,,,,,,
,,6/30/2016,0.37104286,,0.32,,0.31,,0.3,,0.28,,0.83,,,,,,,,,,,,,,,,
,,3/31/2016,0.366870592,,0.3,,0.25,,0.78,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.320108235,,0.29,,0.72,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.260644847,,0.25,,0.64,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.221032006,,0.19,,0.61,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.207841305,,0.18,,0.57,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.214002499,,0.15,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.144964528,,0.14,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.179729161,,0.14,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.126987295,,0.07,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.144964528,,0.11,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.135056048,,0.09,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.122074758,,0.08,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.086747322,,0.05,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.088511586,,0.04,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.062774535,,0.04,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.03949378,,0.03,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.02913349,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.008913454,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.005717798,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,-0.078569445,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,-0.173290942,,nan,,,,,,,,,,,,,,,,,,,,,,,,
