CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2026,,1.51,9/9/2025,1.49,8/3/2025,1.38,7/17/2025,1.38,6/11/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2026,,1.26,,1.28,,1.31,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2026,,1.05,,1.05,,1.03,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2026,,0.93,,0.94,,0.92,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2025,,1.24,12/15/2024,1.31,12/15/2024,1.32,12/15/2024,1.32,12/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2025,,0.81,,0.92,,1.01,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/30/2025,6/30/2025,0.49,0.69,,0.54,,0.54,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/30/2025,3/30/2025,0.58,0.6,,0.45,,0.49,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/5/2025,12/31/2024,0.68,0.91,4/4/2024,0.78,4/4/2024,0.78,4/4/2024,1,4/4/2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/30/2024,9/30/2024,0.62,0.92,,0.85,,0.92,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2024,6/28/2024,0.91,0.96,,0.91,,0.91,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/2/2024,3/28/2024,0.48,0.64,,0.55,,0.55,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/6/2024,12/29/2023,0.63,0.93,,0.72,,0.72,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2023,9/29/2023,0.32,0.63,,0.61,,0.6,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/27/2023,6/30/2023,0.330282912,0.38,,0.46,,0.81,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2023,3/31/2023,0.3,0.33,,0.76,,0.7,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/7/2023,12/30/2022,0.708723539,1.22,,1.66,,1.53,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2022,9/30/2022,1.294236572,1.53,,1.86,,2.24,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/27/2022,6/30/2022,1.554497801,1.88,,1.77,,1.73,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
