CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Y,,12/31/2027,,0.35,7/15/2026,0.35,7/14/2026,,,,,,,,,,,,,,,,,
,,9/30/2027,,0.34,,0.34,,,,,,,,,,,,,,,,,,
,,6/30/2027,,0.3,,0.3,,,,,,,,,,,,,,,,,,
,,3/30/2027,,0.29,,0.29,,,,,,,,,,,,,,,,,,
,,12/31/2026,,0.23,,0.23,,,,,,,,,,,,,,,,,,
,,9/30/2026,,0.23,,0.23,,,,,,,,,,,,,,,,,,
,,6/30/2026,,0.19,,0.19,,,,,,,,,,,,,,,,,,
,5/6/2026,3/30/2026,0.34,0.34,,0.34,,,,,,,,,,,,,,,,,,
,3/4/2026,12/31/2025,0.11,0.11,,0.11,,,,,,,,,,,,,,,,,,
,12/9/2025,9/30/2025,0.1,0.1,,0.1,,,,,,,,,,,,,,,,,,
,7/15/2025,6/30/2025,0.32,0.32,,0.32,,,,,,,,,,,,,,,,,,
,5/6/2025,3/30/2025,-0.39,-0.39,,-0.39,,,,,,,,,,,,,,,,,,
,,12/31/2024,-1.13,-1.13,,-1.13,,,,,,,,,,,,,,,,,,
,,9/30/2024,-1.47,-1.47,,-1.47,,,,,,,,,,,,,,,,,,
,,6/30/2024,-0.76,-0.76,,-0.76,,,,,,,,,,,,,,,,,,
,,3/30/2024,-0.76,-0.76,,-0.76,,,,,,,,,,,,,,,,,,
,,12/31/2023,-2.11,-2.11,,-2.11,,,,,,,,,,,,,,,,,,
,,9/30/2023,-2.11,-2.11,,-2.11,,,,,,,,,,,,,,,,,,
,,6/30/2023,-2.11,-2.11,,-2.11,,,,,,,,,,,,,,,,,,
,,3/30/2023,-2.11,-2.11,,-2.11,,,,,,,,,,,,,,,,,,
