CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,,,,,,,,,,,,
Adjusted,,9/30/2023,,2.27,2/3/2022,2.27,1/20/2022,,12/15/2021,,11/12/2021,1.87,10/12/2021,1.87,9/11/2021,2.06,8/7/2021,2.1,7/9/2021,2.1,6/4/2021,2.05,5/7/2021,2.02,4/4/2021,2.02,3/3/2021,2.01,2/5/2021,2.01,1/2/2021,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2023,,2.21,,2.21,,,,,,1.79,,1.79,,1.82,,2.12,,2.12,,2.03,,1.96,,1.96,,1.93,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2023,,2.07,,2.07,,,,,,1.78,,1.78,,1.85,,2,,2,,1.97,,1.87,,1.87,,1.86,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2022,,2.13,,2.13,,,,,,1.87,,1.87,,1.99,,2.12,,2.12,,2.13,,2.12,,2.12,,2.13,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2022,,1.99,,1.99,,1.99,,1.99,11/12/2021,1.87,10/12/2021,1.87,9/11/2021,2.06,8/7/2021,2.1,7/9/2021,2.1,6/4/2021,2.05,5/7/2021,2.02,4/4/2021,2.02,3/3/2021,2.01,2/5/2021,2.01,1/2/2021,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2022,,1.9,,1.9,,1.9,,1.93,,1.79,,1.79,,1.82,,2.12,,2.12,,2.03,,1.96,,1.96,,1.93,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2022,,1.77,,1.77,,1.77,,1.81,,1.78,,1.78,,1.85,,2,,2,,1.97,,1.87,,1.87,,1.86,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/2/2022,12/31/2021,0.95,2.06,,1.77,,1.77,,1.82,,1.87,,1.87,,1.99,,2.12,,2.12,,2.13,,2.12,,2.12,,2.13,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/10/2021,9/30/2021,0.55,1.62,,1.92,,1.86,,2.07,,2.15,,2.15,,2.07,,2.05,,2.05,,2.1,,1.97,1/2/2021,1.97,1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2021,6/30/2021,1.13,1.86,,2,,2,,2.01,,2.03,,2.03,,2.02,,1.86,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2021,3/31/2021,-5.13,1.71,,1.92,,1.92,,1.86,,1.72,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/3/2021,12/31/2020,1.07,1.92,,1.69,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41
,11/11/2020,9/30/2020,1.25,1.96,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/5/2020,6/30/2020,1.17,1.8,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2020,3/31/2020,1.11,1.75,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/5/2020,12/31/2019,1.3,1.92,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/17/2019,9/30/2019,-0.7,1.68,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/7/2019,6/30/2019,0.64,1.59,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/8/2019,3/30/2019,0.92,1.55,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/6/2019,12/31/2018,0.48,1.9,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/24/2018,9/30/2018,1.84,1.48,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/25/2018,6/30/2018,1.34,1.37,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/26/2018,3/30/2018,1.14,1.19,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/25/2018,12/30/2017,-0.12,1.19,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2017,1.03,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.77,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.71,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.88,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.83,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.76,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2016,0.37,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2015,0.46,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.39,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.55,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.8,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.65,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.53,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.4,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.45,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
