CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Adjusted,,1/30/2027,,1.06,10/27/2025,1.06,9/26/2025,1.11,8/24/2025,1.11,7/3/2025,1.1,5/24/2025,,,,,,,
,,10/30/2026,,1.23,,1.23,,1.21,,1.21,,1.22,,,,,,,,
,,7/30/2026,,1.24,,1.24,,1.23,,1.21,,1.22,,,,,,,,
,,4/30/2026,,1.16,,1.16,,1.17,,1.18,,1.15,,,,,,,,
,,1/30/2026,,0.94,12/30/2024,0.94,12/30/2024,0.95,12/30/2024,0.97,12/30/2024,0.97,12/30/2024,,,,,,,
,,10/30/2025,,1.1,,1.1,,1.09,,1.1,,1.11,,,,,,,,
,8/22/2025,7/30/2025,1.14,1.14,,1.1,,1.11,,1.14,,,,,,,,,,
,5/22/2025,4/30/2025,1.13,1.14,,0.91,,0.91,,0.9,,,,,,,,,,
,3/6/2025,1/30/2025,0.92,0.93,4/14/2024,0.86,4/14/2024,0.87,4/14/2024,0.97,4/14/2024,,,,,,,,,
,11/21/2024,10/30/2024,1.17,1.18,,0.91,,0.94,,1.02,,,,,,,,,,
,8/22/2024,7/30/2024,1.08,1.09,,1,,1,,1,,,,,,,,,,
,5/23/2024,4/30/2024,0.83,0.85,,0.83,,0.89,,0.92,,,,,,,,,,
,3/7/2024,1/30/2024,1.08,1.11,4/17/2023,1.06,4/17/2023,1.06,4/17/2023,1.07,4/17/2023,,,,,,,,,
,11/17/2023,10/30/2023,0.97,0.98,,0.95,,0.95,,1,,,,,,,,,,
,8/22/2023,7/30/2023,0.97,0.97,,0.91,,0.96,,1.06,,,,,,,,,,
,5/23/2023,4/30/2023,0.85,0.85,,0.85,,0.83,,0.78,,,,,,,,,,
,3/9/2023,1/30/2023,0.95,1,,0.85,,0.86,,0.84,,,,,,,,,,
,11/17/2022,10/30/2022,0.95,0.99,,0.8,,0.8,,0.83,,,,,,,,,,
,8/18/2022,7/30/2022,1.03,1.06,,0.77,,0.78,,0.8,,,,,,,,,,
,5/19/2022,4/30/2022,0.82,0.87,,0.7,,0.69,,0.72,,,,,,,,,,
,3/3/2022,1/31/2022,0.78,0.8,,0.72,,0.72,,0.67,,,,,,,,,,
,11/18/2021,10/30/2021,0.92,0.91,,0.77,,0.77,,0.73,,,,,,,,,,
,8/19/2021,7/30/2021,0.8,0.82,,0.63,,0.63,,0.65,,,,,,,,,,
,5/20/2021,4/30/2021,0.59,0.72,,0.56,,0.56,,0.57,,,,,,,,,,
,3/4/2021,1/30/2021,0.69,0.7,,0.67,,0.67,,0.56,,,,,,,,,,
,11/19/2020,10/30/2020,0.88,0.92,,0.64,,0.64,,,,,,,,,,,,
,8/20/2020,7/30/2020,0.76,0.77,,0.76,,,,,,,,,,,,,,
,5/21/2020,4/30/2020,0.69,0.69,,0.69,,,,,,,,,,,,,,
,3/5/2020,1/30/2020,0.3,0.4,,0.3,,,,,,,,,,,,,,
,11/21/2019,10/31/2019,0.4,0.41,,0.4,,,,,,,,,,,,,,
,8/22/2019,7/30/2019,0.39,0.39,,0.39,,,,,,,,,,,,,,
,5/23/2019,4/30/2019,0.25,0.26,,0.25,,,,,,,,,,,,,,
,3/6/2019,1/30/2019,0.46,0.44,,0.46,,,,,,,,,,,,,,
,11/20/2018,10/30/2018,0.39,0.39,,0.39,,,,,,,,,,,,,,
,8/28/2018,7/30/2018,-0.05,0.31,,-0.05,,,,,,,,,,,,,,
,,4/30/2018,0.15,,,0.15,,,,,,,,,,,,,,
,,1/31/2018,0.71,,,0.71,,,,,,,,,,,,,,
,,10/31/2017,0.25,,,0.25,,,,,,,,,,,,,,
,,7/30/2017,0.22,,,0.22,,,,,,,,,,,,,,
,,4/30/2017,-0.67,,,-0.67,,,,,,,,,,,,,,
,,1/30/2017,0.12,,,0.12,,,,,,,,,,,,,,
,,10/31/2016,0.12,,,0.12,,,,,,,,,,,,,,
,,7/30/2016,0.12,,,0.12,,,,,,,,,,,,,,
,,4/30/2016,0.12,,,0.12,,,,,,,,,,,,,,
,,1/31/2016,0.07,,,0.07,,,,,,,,,,,,,,
,,10/30/2015,0.07,,,0.07,,,,,,,,,,,,,,
,,7/31/2015,0.07,,,0.07,,,,,,,,,,,,,,
,,4/30/2015,0.07,,,0.07,,,,,,,,,,,,,,
,,1/30/2015,0.05,,,0.05,,,,,,,,,,,,,,
,,10/31/2014,0.05,,,0.05,,,,,,,,,,,,,,
,,7/30/2014,0.04,,,0.04,,,,,,,,,,,,,,
,,4/30/2014,0.04,,,0.04,,,,,,,,,,,,,,
