CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Adjusted,,12/31/2026,,0.33,11/4/2025,0.31,9/14/2025,0.35,8/5/2025,0.36,6/20/2025,0.35,5/4/2025,0.34,4/6/2025,,,,,,,,,
,,9/30/2026,,0.23,,0.19,,0.21,,0.24,,0.21,,0.24,,,,,,,,,,
,,6/30/2026,,0.31,,0.31,,0.3,,0.31,,0.29,,0.3,,,,,,,,,,
,,3/30/2026,,0.44,,0.44,,0.45,,0.46,,0.51,,0.51,,,,,,,,,,
,,12/31/2025,,0.23,1/29/2025,0.23,1/29/2025,0.26,1/29/2025,0.26,1/29/2025,0.25,1/29/2025,0.24,1/29/2025,,,,,,,,,
,10/30/2025,9/30/2025,0.23,0.23,,0.14,,0.14,,0.17,,0.16,,0.17,,,,,,,,,,
,7/31/2025,6/30/2025,0.32,0.32,,0.24,,0.25,,0.25,,,,,,,,,,,,,,
,5/1/2025,3/30/2025,0.44,0.44,,0.46,,0.48,,0.48,,,,,,,,,,,,,,
,2/20/2025,12/31/2024,-0.13,-0.13,4/9/2024,0.22,4/9/2024,0.24,4/9/2024,0.29,4/9/2024,,,,,,,,,,,,,
,10/31/2024,9/30/2024,0.43,0.43,,0.41,,0.47,,0.47,,,,,,,,,,,,,,
,8/1/2024,6/30/2024,0.6,0.6,,0.61,,0.63,,0.65,,,,,,,,,,,,,,
,5/2/2024,3/30/2024,0.75,0.75,,0.57,,0.61,,0.61,,,,,,,,,,,,,,
,2/22/2024,12/31/2023,0.36,0.36,4/8/2023,0.36,4/8/2023,0.36,4/8/2023,0.4,4/8/2023,,,,,,,,,,,,,
,11/2/2023,9/30/2023,0.38,0.46,,0.41,,0.41,,0.43,,,,,,,,,,,,,,
,8/3/2023,6/30/2023,0.61,0.61,,0.48,,0.51,,0.52,,,,,,,,,,,,,,
,5/4/2023,3/30/2023,0.56,0.56,,0.42,,0.46,,0.47,,,,,,,,,,,,,,
,2/23/2023,12/31/2022,0.22,0.22,,0.36,,0.36,,0.5,,,,,,,,,,,,,,
,11/3/2022,9/30/2022,0.21,0.21,,0.48,,0.51,,0.51,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,0.43,0.43,,0.55,,0.55,,0.54,,,,,,,,,,,,,,
,5/5/2022,3/31/2022,0.37,0.28,,0.28,,0.51,,0.51,,,,,,,,,,,,,,
,2/24/2022,12/31/2021,0.37,0.37,,0.33,,0.45,,0.48,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,0.57,0.57,,0.52,,0.52,,0.61,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,1.22,1.22,,0.56,,0.56,,0.57,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,0.82,0.82,,0.61,,0.61,,,,,,,,,,,,,,,,
,2/25/2021,12/31/2020,0.57,0.57,,0.57,,,,,,,,,,,,,,,,,,
,10/29/2020,9/30/2020,0.57,0.56,,0.57,,,,,,,,,,,,,,,,,,
,7/30/2020,6/30/2020,0.39,0.38,,0.39,,,,,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,0.4,0.37,,0.4,,,,,,,,,,,,,,,,,,
,2/20/2020,12/31/2019,0.24,0.31,,0.24,,,,,,,,,,,,,,,,,,
,10/31/2019,9/30/2019,0.23,0.33,,0.23,,,,,,,,,,,,,,,,,,
,8/1/2019,6/28/2019,0.33,0.33,,0.33,,,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,0.3,0.27,,0.3,,,,,,,,,,,,,,,,,,
,2/21/2019,12/31/2018,0.18,0.2,,0.18,,,,,,,,,,,,,,,,,,
,11/1/2018,9/28/2018,0.24,0.23,,0.24,,,,,,,,,,,,,,,,,,
,8/2/2018,6/29/2018,0.35,0.31,,0.35,,,,,,,,,,,,,,,,,,
,5/3/2018,3/29/2018,0.25,0.29,,0.25,,,,,,,,,,,,,,,,,,
,2/21/2018,12/29/2017,0.75,,,0.75,,,,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,0.14,,,0.14,,,,,,,,,,,,,,,,,,
,8/3/2017,6/30/2017,0.32,,,0.32,,,,,,,,,,,,,,,,,,
,5/4/2017,3/31/2017,0.12,,,0.12,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.15,,,0.15,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.05,,,0.05,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.26,,,0.26,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.42,,,0.42,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.22,,,0.22,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.22,,,0.22,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.28,,,0.28,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.27,,,0.27,,,,,,,,,,,,,,,,,,
,,12/30/2014,0.2,,,0.2,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.2,,,0.2,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.27,,,0.27,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.24,,,0.24,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.21,,,0.21,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.17,,,0.17,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.2,,,0.2,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.24,,,0.24,,,,,,,,,,,,,,,,,,
,,12/28/2012,0.28,,,0.28,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.17,,,0.17,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.31,,,0.31,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.29,,,0.29,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.25,,,0.25,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.17,,,0.17,,,,,,,,,,,,,,,,,,
,,6/20/2011,0.08,,,0.08,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.22,,,0.22,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.13,,,0.13,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.05,,,0.05,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.15,,,0.15,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.15,,,0.15,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.19,,,0.19,,,,,,,,,,,,,,,,,,
,,9/30/2009,-0.09,,,-0.09,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.19,,,0.19,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.27,,,0.27,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.04,,,0.04,,,,,,,,,,,,,,,,,,
,,9/30/2008,-0.11,,,-0.11,,,,,,,,,,,,,,,,,,
,,6/30/2008,-0.01,,,-0.01,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.04,,,0.04,,,,,,,,,,,,,,,,,,
