Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,
12/31/2020,0.41,3/19/2020,0.57,3/8/2020,0.57,,0.56,,0.59,,
9/30/2020,0.44,,0.42,,0.42,,0.44,,0.42,,
6/30/2020,0.5,,0.44,,0.44,,0.45,,0.41,,
3/31/2020,0.5,,0.5,,0.5,,0.48,,0.49,,
12/31/2019,2.64,,0.33,,0.37,,0.41,,0.43,,0.44
9/30/2019,-0.09,,0.19,,0.24,,0.29,,0.3,,
6/28/2019,0.36,,0.18,,0.16,,0.26,,,,
3/29/2019,0.2,,0.25,,0.31,,,,,,
12/31/2018,6.13,,0.06,,0.71,,,,,,
9/28/2018,0.370786359,,0.04,,0.65,,,,,,
6/29/2018,0.880163433,,0.12,,0.63,,,,,,
3/29/2018,-0.477864595,,0.43,,0.65,,,,,,
12/29/2017,0.807852865,,0.64,,0.58,,0.67,,0.68,,
9/29/2017,0.460315166,,0.58,,0.6,,0.61,,,,
6/30/2017,0.265742433,,0.52,,0.54,,,,,,
3/31/2017,0.407298792,,0.53,,0.54,,,,,,
12/30/2016,3.030474096,,0.58,,0.64,,,,,,
9/30/2016,0.366063519,,0.48,,0.49,,0.56,,,,
6/30/2016,0.464591358,,0.49,,0.57,,,,,,
3/31/2016,0.343734527,,0.44,,0.45,,0.53,,,,
12/31/2015,0.52967371,,0.58,,0.57,,0.61,,,,
9/30/2015,0.358422939,,0.49,,0.5,,0.55,,,,
6/30/2015,0.332107998,,0.5,,0.53,,0.56,,,,
3/31/2015,0.382397192,,0.45,,0.46,,0.5,,,,
12/31/2014,1.428023881,,0.46,,,,,,,,
9/30/2014,0.28604423,,0.45,,,,,,,,
6/30/2014,0.30613615,,0.46,,,,,,,,
3/31/2014,0.343506156,,0.38,,,,,,,,
12/31/2013,-0.425315094,,0.52,,,,,,,,
9/30/2013,0.325694921,,nan,,,,,,,,
6/28/2013,0.2978944,,nan,,,,,,,,
3/28/2013,-0.037424112,,nan,,,,,,,,
12/31/2012,0.424515288,,nan,,,,,,,,
9/28/2012,0.532348215,,nan,,,,,,,,
6/29/2012,1.085772654,,nan,,,,,,,,
3/30/2012,0.354093208,,nan,,,,,,,,
12/30/2011,-3.105583534,,nan,,,,,,,,
9/30/2011,0.441011827,,nan,,,,,,,,
6/30/2011,0.670360807,,nan,,,,,,,,
3/31/2011,0.29,,nan,,,,,,,,
12/31/2010,0.27,,nan,,,,,,,,
9/30/2010,0.31,,nan,,,,,,,,
6/30/2010,0.35,,nan,,,,,,,,
3/31/2010,0.15,,nan,,,,,,,,
12/31/2009,0.21,,nan,,,,,,,,
9/30/2009,0.18,,nan,,,,,,,,
6/30/2009,0.38,,nan,,,,,,,,
3/31/2009,0.22,,nan,,,,,,,,
12/31/2008,0.79,,nan,,,,,,,,
9/30/2008,0.46,,nan,,,,,,,,
6/30/2008,0.22,,nan,,,,,,,,
3/31/2008,0.3,,nan,,,,,,,,
12/31/2007,0.67,,nan,,,,,,,,
9/28/2007,4.61,,nan,,,,,,,,
6/29/2007,0.58,,nan,,,,,,,,
3/30/2007,0.35,,nan,,,,,,,,
12/29/2006,0.61,,nan,,,,,,,,
9/29/2006,0.65,,nan,,,,,,,,
6/30/2006,0.26,,nan,,,,,,,,
3/31/2006,0.21,,nan,,,,,,,,
12/30/2005,0.38,,nan,,,,,,,,
9/30/2005,0.47,,nan,,,,,,,,
6/30/2005,0.46,,nan,,,,,,,,
3/31/2005,0.11,,nan,,,,,,,,
12/31/2004,0.67,,nan,,,,,,,,
9/30/2004,0.52,,nan,,,,,,,,
6/30/2004,0.29,,nan,,,,,,,,
3/31/2004,0.05,,nan,,,,,,,,
12/31/2003,0.6,,nan,,,,,,,,
9/30/2003,0.47,,nan,,,,,,,,
6/30/2003,0.17,,nan,,,,,,,,
3/31/2003,0.1,,nan,,,,,,,,
12/31/2002,0.43,,nan,,,,,,,,
9/30/2002,0.39,,nan,,,,,,,,
