CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Adjusted,,6/30/2026,,0.81,8/25/2025,0.81,6/28/2025,0.81,5/14/2025,0.83,4/20/2025,0.83,3/17/2025,0.83,3/16/2025,,,,,,,,,,,,
,,3/30/2026,,0.87,,0.87,,0.87,,0.81,,0.81,,0.81,,,,,,,,,,,,,
,,12/31/2025,,0.78,,0.78,,0.78,,0.72,,0.72,,0.72,,,,,,,,,,,,,
,,9/30/2025,,0.62,,0.62,,0.62,,0.58,,0.58,,0.58,,,,,,,,,,,,,
,,6/30/2025,,0.7,,0.7,,0.72,,0.74,,0.74,,0.74,,,,,,,,,,,,,
,5/8/2025,3/30/2025,0.73,0.82,,0.73,,0.73,,0.73,,,,,,,,,,,,,,,,,
,2/6/2025,12/31/2024,0.57,0.59,,0.59,,,,,,,,,,,,,,,,,,,,,
,11/7/2024,9/30/2024,0.43,0.52,,0.52,,,,,,,,,,,,,,,,,,,,,
,9/12/2024,6/30/2024,0.56,0.58,,0.58,,,,,,,,,,,,,,,,,,,,,
,5/9/2024,3/30/2024,0.57,0.7,,0.7,,,,,,,,,,,,,,,,,,,,,
,2/8/2024,12/31/2023,0.33,0.44,,0.44,,,,,,,,,,,,,,,,,,,,,
,11/9/2023,9/30/2023,0.39,0.4,,0.4,,,,,,,,,,,,,,,,,,,,,
,9/13/2023,6/30/2023,0.24,0.33,,0.33,,,,,,,,,,,,,,,,,,,,,
,5/17/2023,3/30/2023,0.59,0.59,,0.59,,,,,,,,,,,,,,,,,,,,,
,2/15/2023,12/31/2022,0.49,0.62,,0.62,,,,,,,,,,,,,,,,,,,,,
,11/15/2022,9/30/2022,0.35,0.34,,0.34,,,,,,,,,,,,,,,,,,,,,
,9/22/2022,6/30/2022,0.35,0.42,,0.42,,,,,,,,,,,,,,,,,,,,,
,5/18/2022,3/31/2022,0.35,0.59,,0.59,,,,,,,,,,,,,,,,,,,,,
,2/16/2022,12/31/2021,0.45,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,
,11/22/2021,9/30/2021,0.16,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,
,9/14/2021,6/30/2021,0.21,0.31,,0.31,,,,,,,,,,,,,,,,,,,,,
,5/18/2021,3/31/2021,-0.01,0.33,,0.33,,,,,,,,,,,,,,,,,,,,,
,2/18/2021,12/31/2020,0.13,0.33,,0.33,,,,,,,,,,,,,,,,,,,,,
,11/16/2020,9/30/2020,-0.21,0.31,,0.31,,,,,,,,,,,,,,,,,,,,,
,,6/30/2020,0.01,0.16,,0.16,,,,,,,,,,,,,,,,,,,,,
,,3/31/2020,-0.01,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,
,,12/31/2019,0.01,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,
,,9/30/2019,-0.01,0.18,,0.18,,,,,,,,,,,,,,,,,,,,,
,,6/28/2019,-0.01,-0.07,,-0.07,,,,,,,,,,,,,,,,,,,,,
