Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,
,12/31/2021,1.11,5/1/2020,1.11,4/6/2020,,,,,,,,,,,,,
,9/30/2021,0.99,,0.99,,,,,,,,,,,,,,
,6/30/2021,0.91,,0.91,,,,,,,,,,,,,,
,3/31/2021,0.85,,0.85,,,,,,,,,,,,,,
,12/31/2020,0.96,4/6/2020,1.04,4/6/2020,1.03,3/17/2020,1.03,,1.02,,1.03,,1.04,,1,,1.034847561
,9/30/2020,0.85,,0.92,,0.97,,0.97,,0.99,,0.97,,1.000731707,,,,
,6/30/2020,0.74,,0.83,,0.92,,0.92,,0.93,,0.94,,0.93,,0.9,,0.9325
4/30/2020,3/31/2020,0.64,,0.73,,0.82,,0.82,,0.83,,0.82,,0.83,,0.773292683,,
3/17/2020,12/31/2019,-0.045454545,,0.88,,0.86,,0.87,,0.89,,0.91,,0.86,,0.9,,
10/24/2019,9/30/2019,0.709615385,,0.7,,0.86,,0.84,,0.88,,0.84,,0.82,,,,
,6/28/2019,0.66088632,,0.81,,0.82,,0.83,,,,,,,,,,
,3/29/2019,0.664750958,,0.68,,0.74,,0.75,,,,,,,,,,
,12/31/2018,0.646840149,,0.73,,0.77,,0.75,,,,,,,,,,
,9/28/2018,0.996336996,,0.74,,0.72,,,,,,,,,,,,
,6/29/2018,0.627056673,,0.71,,0.69,,,,,,,,,,,,
,3/29/2018,0.705989111,,0.62,,,,,,,,,,,,,,
2/1/2018,12/29/2017,-0.127697842,,0.59,,0.58,,0.57,,0.58,,0.54,,,,,,
10/25/2017,9/29/2017,0.450628366,,0.59,,0.56,,0.59,,0.51,,0.48,,,,,,
7/26/2017,6/30/2017,0.477477477,,0.57,,0.52,,0.51,,0.5,,0.46,,,,,,
4/26/2017,3/31/2017,0.493647913,,0.52,,0.51,,0.44,,0.42,,,,,,,,
2/1/2017,12/30/2016,0.442622951,,0.52,,0.46,,0.47,,0.46,,0.4,,0.39,,,,
10/25/2016,9/30/2016,0.235934664,,0.45,,0.42,,0.4,,0.37,,0.36,,,,,,
7/26/2016,6/30/2016,2.191681736,,0.4,,0.39,,0.35,,0.34,,,,,,,,
4/26/2016,3/31/2016,6.123188406,,0.29,,0.32,,0.33,,,,,,,,,,
,12/31/2015,0.372727273,,0.32,,0.31,,0.3,,1.1,,1.23,,1.29,,1.5,,
,9/30/2015,0.001821494,,0.29,,0.3,,1,,1.11,,1.2,,1.37,,,,
,6/30/2015,0.604735883,,0.95,,1.05,,1.15,,1.31,,,,,,,,
,3/31/2015,0.784671533,,0.88,,0.89,,1.08,,1.19,,1.4,,,,,,
,12/31/2014,1.742230347,,1.31,,1.32,,1.4,,1.43,,1.42,,1.31,,,,
,9/30/2014,0.855575868,,1.31,,1.3,,1.21,,,,,,,,,,
,6/30/2014,0.948905109,,1.22,,1.21,,1.28,,1.29,,1.1,,,,,,
,3/31/2014,1.01459854,,1.09,,1.17,,1.18,,1.26,,,,,,,,
,12/31/2013,0.594890511,,1.25,,1.26,,1.29,,1.19,,,,,,,,
,9/30/2013,0.990892532,,1.19,,1.18,,0.13,,,,,,,,,,
,6/28/2013,1.074681239,,1.13,,1.14,,1.04,,,,,,,,,,
,3/28/2013,1.001814882,,1.04,,1.1,,1.11,,1.26,,,,,,,,
,12/31/2012,0.89009009,,1.26,,1.14,,,,,,,,,,,,
,9/28/2012,1.05615942,,1.14,,,,,,,,,,,,,,
