CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Non-GAAP,,12/31/2026,,0.26,11/15/2025,0.26,10/27/2025,0.26,9/26/2025,0.26,8/22/2025,0.24,6/29/2025,0.24,5/16/2025,,,,,,,,,
Charts Adjusted,,9/30/2026,,0.23,,0.23,,0.23,,0.23,,0.22,,0.22,,,,,,,,,,
I just use,,6/30/2026,,0.2,,0.19,,0.19,,0.2,,0.19,,0.2,,,,,,,,,,
adjusted from,,3/30/2026,,0.19,,0.18,,0.18,,0.18,,0.16,,0.18,,,,,,,,,,
CNBC,,12/31/2025,,0.18,12/24/2024,0.17,12/24/2024,0.17,12/24/2024,0.16,12/24/2024,0.16,12/24/2024,0.16,12/24/2024,,,,,,,,,
,11/13/2025,9/30/2025,0.1595,0.16,,0.16,,0.16,,0.16,,0.15,,0.14,,,,,,,,,,
,8/14/2025,6/30/2025,0.13,0.14,,0.13,,0.13,,0.13,,,,,,,,,,,,,,
,5/13/2025,3/30/2025,0.1139,0.12,,0.12,,0.13,,0.13,,,,,,,,,,,,,,
,2/20/2025,12/31/2024,0.13,0.12,,0.12,,0.12,,0.12,,,,,,,,,,,,,,
,11/13/2024,9/30/2024,0.1132,0.12,,0.11,,0.11,,0.11,,,,,,,,,,,,,,
,8/13/2024,6/30/2024,0.099,0.12,,0.1,,0.1,,0.1,,,,,,,,,,,,,,
,5/14/2024,3/30/2024,0.077,0.09,,0.09,,,,,,,,,,,,,,,,,,
,2/22/2024,12/31/2023,0.06,0.08,,0.08,,,,,,,,,,,,,,,,,,
,11/14/2023,9/30/2023,0.05,0.07,,0.07,,,,,,,,,,,,,,,,,,
,8/15/2023,6/30/2023,0.05,0.05,,0.05,,,,,,,,,,,,,,,,,,
,5/15/2023,3/30/2023,0.05,0.04,,0.04,,,,,,,,,,,,,,,,,,
,2/14/2023,12/31/2022,-0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,
,11/14/2022,9/30/2022,-0.02,0.01,,0.01,,,,,,,,,,,,,,,,,,
,8/15/2022,6/30/2022,-0.02,0.01,,0.01,,,,,,,,,,,,,,,,,,
,5/16/2022,3/31/2022,-0.02,-0.01,,-0.01,,,,,,,,,,,,,,,,,,
,2/22/2022,12/31/2021,-0.03,-0.03,,,,,,,,,,,,,,,,,,,,
,,9/30/2021,-0.03,-0.03,,,,,,,,,,,,,,,,,,,,
,,6/30/2021,-0.02,-0.02,,,,,,,,,,,,,,,,,,,,
,,3/31/2021,-0.02,-0.02,,,,,,,,,,,,,,,,,,,,
,,12/31/2020,-0.04,-0.04,,,,,,,,,,,,,,,,,,,,
,,9/30/2020,-0.03,-0.03,,,,,,,,,,,,,,,,,,,,
,,6/30/2020,-0.03,-0.03,,,,,,,,,,,,,,,,,,,,
,,3/31/2020,-0.03,-0.03,,,,,,,,,,,,,,,,,,,,
,,12/31/2019,-0.02,-0.02,,,,,,,,,,,,,,,,,,,,
,,9/30/2019,-0.02,-0.02,,,,,,,,,,,,,,,,,,,,
,,6/28/2019,-0.02,-0.02,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,-0.02,-0.02,,,,,,,,,,,,,,,,,,,,
