CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,
Y,,12/31/2026,,1.66,12/14/2025,1.56,11/3/2025,1.74,9/12/2025,1.85,8/4/2025,1.5,6/19/2025,1.78,5/4/2025,1.63,3/21/2025
,,9/30/2026,,1.73,,1.62,,1.64,,1.79,,1.47,,1.74,,1.58,
,,6/30/2026,,1.57,,1.49,,1.73,,1.78,,1.53,,1.76,,1.57,
,,3/30/2026,,1.48,,1.35,,1.62,,1.62,,1.44,,1.68,,1.51,
,,12/31/2025,,1.13,12/14/2024,1.48,12/14/2024,1.59,12/14/2024,1.98,12/14/2024,2,12/14/2024,2.38,12/14/2024,3.58,12/14/2024
,10/30/2025,9/30/2025,1.93,1.93,,1.29,,1.29,,1.36,,1.32,,1.44,,,
,8/4/2025,6/30/2025,5.35,5.35,,2.02,,1.75,,1.01,,,,,,,
,5/1/2025,3/30/2025,3.45,3.45,,2.16,,0.88,,1.17,,,,,,,
,2/6/2025,12/31/2024,4.09,4.09,4/7/2024,4.12,4/7/2024,3.44,4/7/2024,0.96,4/7/2024,,,,,,
,10/31/2024,9/30/2024,1.14,1.14,,0.24,,0.45,,0.78,,,,,,,
,8/1/2024,6/30/2024,3.93,3.93,,0.33,,0.34,,0.56,,,,,,,
,5/2/2024,3/30/2024,2.88,2.88,,2.75,,2.3,,1.3,,,,,,,
,2/15/2024,12/31/2023,1.41,1.41,3/26/2023,0.89,3/26/2023,0.71,3/26/2023,0.71,3/26/2023,,,,,,
,11/2/2023,9/30/2023,1.72,1.72,,0.66,,0.67,,0.67,,,,,,,
,8/5/2023,6/30/2023,0.79,0.79,,0.69,,0.62,,0.62,,,,,,,
,5/4/2023,3/30/2023,3.58,3.58,,0.62,,0.7,,0.62,,,,,,,
,2/15/2023,12/31/2022,1.08,1.08,,0.57,,0.56,,0.73,,,,,,,
,11/3/2022,9/30/2022,0.74,0.74,,0.44,,0.39,,0.39,,,,,,,
,8/4/2022,6/30/2022,0.69,0.69,,0.56,,0.99,,0.99,,,,,,,
,5/5/2022,3/31/2022,0.58,0.59,,0.37,,0.52,,0.6,,,,,,,
,2/17/2022,12/31/2021,0.7,0.7,,0.33,,0.33,,0.42,,,,,,,
,11/4/2021,9/30/2021,0.83,0.83,,0.65,,0.82,,0.03,,,,,,,
,8/5/2021,6/30/2021,0.05,0.05,,-0.15,,0.18,,0.14,,,,,,,
,5/6/2021,3/31/2021,0.18,0.18,,0.01,,0.03,,0.18,,,,,,,
,2/18/2021,12/31/2020,-0.04,-0.04,,0.22,,0.22,,0.22,,,,,,,
,11/5/2020,9/30/2020,0.76,0.76,,0.13,,0.13,,0.13,,,,,,,
,8/6/2020,6/30/2020,0.716733774,0.72,,0.64,,0.17,,0.21,,,,,,,
,,3/31/2020,0.003751617,0.003,,0.003751617,,0.11,,0.45,,,,,,,
,2/20/2020,12/31/2019,0.441994987,0.44,,0.27,,0.3,,0.19,,,,,,,
,10/31/2019,9/30/2019,0.071355564,0.07,,-0.17,,0.1,,0.25,,,,,,,
,8/1/2019,6/28/2019,0.243674471,0.24,,0.12,,0.13,,0.28,,,,,,,
,5/2/2019,3/29/2019,-0.085952593,-0.09,,-0.18,,0.18,,0.26,,,,,,,
,2/21/2019,12/31/2018,0.053213143,0.05,,0.053213143,,0.05,,0.19,,,,,,,
,11/1/2018,9/28/2018,0.601202011,0.6,,0.11,,0.12,,0.35,,,,,,,
,8/2/2018,6/29/2018,0.300468693,0.3,,0.19,,0.27,,0.63,,,,,,,
,4/26/2018,3/29/2018,0.840448239,0.84,,0.24,,0.3,,0.65,,,,,,,
,2/22/2018,12/29/2017,1.478096847,,,0.99,,0.59,,0.61,,,,,,,
,10/26/2017,9/29/2017,1.004182209,,,0.66,,0.64,,0.63,,,,,,,
,7/27/2017,6/30/2017,1.462286224,,,1.33,,1.14,,0.65,,,,,,,
,4/27/2017,3/31/2017,0.933093923,,,0.6,,0.64,,1.05,,,,,,,
,,12/30/2016,3.845633612,,,3.84,,0.61,,0.74,,,,,,,
,,9/30/2016,2.98875633,,,3.01,,0.3,,0.6,,,,,,,
,,6/30/2016,1.144484189,,,0.31,,0.36,,0.6,,,,,,,
,,3/31/2016,0.793481641,,,0.78,,0.72,,0.79,,,,,,,
,,12/31/2015,0.920611921,,,1.03,,0.47,,0.54,,,,,,,
,,9/30/2015,0.677254523,,,0.24,,0.3,,0.37,,,,,,,
,,6/30/2015,0.894627079,,,0.78,,0.47,,0.42,,,,,,,
,,3/31/2015,0.778617161,,,0.76,,0.77,,0.49,,,,,,,
,,12/31/2014,0.364111636,,,0.36,,0.22,,0.06,,,,,,,
,,9/30/2014,0.33619467,,,0.19,,0.01,,-0.11,,,,,,,
,,6/30/2014,1.93280584,,,2.11,,-0.01,,-0.12,,,,,,,
,,3/31/2014,-0.046014242,,,-0.08,,-0.14,,0.3,,,,,,,
,,12/31/2013,0.351978304,,,0.3,,0.28,,0.04,,,,,,,
,,9/30/2013,0.643215595,,,0.01,,-0.21,,0.18,,,,,,,
,,6/28/2013,0.222838672,,,0.17,,0.07,,-0.17,,,,,,,
,,3/28/2013,-0.29824007,,,-0.2,,-0.32,,-0.4,,,,,,,
,,12/31/2012,0.375722683,,,0.01,,0.11,,5.55,,,,,,,
,,9/28/2012,5.564399216,,,5.42,,,,,,,,,,,
,,6/29/2012,0.219148599,,,nan,,,,,,,,,,,
,,3/30/2012,0.237887955,,,nan,,,,,,,,,,,
,,12/30/2011,0.453563715,,,nan,,,,,,,,,,,
,,9/30/2011,0.566236685,,,nan,,,,,,,,,,,
,,6/30/2011,0.374233798,,,nan,,,,,,,,,,,
,,3/31/2011,0.508785316,,,nan,,,,,,,,,,,
,,12/31/2010,0.765460468,,,nan,,,,,,,,,,,
,,9/30/2010,0.796318303,,,nan,,,,,,,,,,,
,,6/30/2010,0.785208974,,,nan,,,,,,,,,,,
,,3/31/2010,1.103759297,,,nan,,,,,,,,,,,
,,12/31/2009,0.881941924,,,nan,,,,,,,,,,,
,,9/30/2009,0.698806454,,,nan,,,,,,,,,,,
,,6/30/2009,0.596777469,,,nan,,,,,,,,,,,
,,3/31/2009,-0.199673571,,,nan,,,,,,,,,,,
,,12/31/2008,0.083613574,,,nan,,,,,,,,,,,
,,9/30/2008,0.201867643,,,nan,,,,,,,,,,,
,,6/30/2008,0.12649144,,,nan,,,,,,,,,,,
,,3/31/2008,0.155017902,,,nan,,,,,,,,,,,
,,12/31/2007,-0.04,,,nan,,,,,,,,,,,
,,9/28/2007,0.18,,,nan,,,,,,,,,,,
,,6/29/2007,-0.09,,,nan,,,,,,,,,,,
,,3/30/2007,0.34,,,nan,,,,,,,,,,,
,,12/29/2006,0.37,,,nan,,,,,,,,,,,
,,9/29/2006,0.4,,,nan,,,,,,,,,,,
,,6/30/2006,2.98,,,nan,,,,,,,,,,,
