CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Plots Adjusted,,3/30/2027,,0.27,5/14/2025,0.17,4/16/2025,0.17,3/11/2025,0.18,2/1/2025,0.21,1/13/2025,0.21,12/5/2024,0.21,12/4/2024,,,,
,,12/30/2026,,0.25,,0.15,,0.14,,0.15,,0.17,,0.17,,0.17,,,,,
,,9/30/2026,,0.23,,0.11,,0.11,,0.12,,0.15,,0.14,,0.14,,,,,
,,6/30/2026,,0.19,,0.08,,0.08,,0.08,,0.11,,0.11,,0.11,,,,,
,,3/30/2026,,0.18,4/16/2025,0.17,4/16/2025,0.17,3/11/2025,0.18,2/1/2025,0.21,1/13/2025,0.21,12/5/2024,0.21,12/4/2024,,,,
,,12/30/2025,,0.14,,0.15,,0.14,,0.15,,0.17,,0.17,,0.17,,,,,
,,9/30/2025,,0.12,,0.11,,0.11,,0.12,,0.15,,0.14,,0.14,,,,,
,,6/30/2025,,0.08,,0.08,,0.08,,0.08,,0.11,,0.11,,0.11,,,,,
,5/8/2025,3/30/2025,-0.08,0.06,,0.05,,0.05,,0.06,,0.08,,0.08,,0.08,,,,,
,1/30/2025,12/30/2024,-0.04,0.07,,0.07,,0.07,,0.07,,,,,,,,,,,
,10/31/2024,9/30/2024,-0.18,0.08,,0.08,,,,,,,,,,,,,,,
,8/1/2024,6/30/2024,-0.09,0.03,,0.03,,,,,,,,,,,,,,,
,5/9/2024,3/30/2024,-0.04,0.25,,0.25,,,,,,,,,,,,,,,
,2/1/2024,12/30/2023,0.17,0.32,,0.32,,,,,,,,,,,,,,,
,11/2/2023,9/30/2023,0.34,0.4,,0.4,,,,,,,,,,,,,,,
,8/1/2023,6/30/2023,0.31,0.39,,0.39,,,,,,,,,,,,,,,
,5/10/2023,3/30/2023,0.32,0.37,,0.37,,,,,,,,,,,,,,,
,1/31/2023,12/30/2022,0.33,0.35,,0.35,,,,,,,,,,,,,,,
,10/27/2022,9/30/2022,0.26,0.31,,0.31,,,,,,,,,,,,,,,
,7/28/2022,6/30/2022,0.05,0.24,,0.24,,,,,,,,,,,,,,,
,5/9/2022,3/31/2022,0.13,0.21,,0.21,,,,,,,,,,,,,,,
,2/1/2022,12/31/2021,0.17,0.19,,0.19,,,,,,,,,,,,,,,
,10/28/2021,9/30/2021,0.17,0.2,,0.2,,,,,,,,,,,,,,,
,7/29/2021,6/30/2021,0.14,0.18,,0.18,,,,,,,,,,,,,,,
,5/5/2021,3/31/2021,0.05,0.15,,0.15,,,,,,,,,,,,,,,
,2/2/2021,12/31/2020,-0.04,0.13,,0.13,,,,,,,,,,,,,,,
,,9/30/2020,0.96,0.09,,0.09,,,,,,,,,,,,,,,
,,6/30/2020,0.48,0.09,,0.09,,,,,,,,,,,,,,,
,,3/31/2020,1.33,1.99,,1.99,,,,,,,,,,,,,,,
,,12/31/2019,0.89,1.16,,1.16,,,,,,,,,,,,,,,
,,9/30/2019,1.16,1.15,,1.15,,,,,,,,,,,,,,,
,,6/28/2019,0.3,1.15,,1.15,,,,,,,,,,,,,,,
