CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2024,,0.52,12/26/2023,0.53,11/3/2023,0.52,9/22/2023,0.52,8/5/2023,0.55,6/16/2023,0.55,5/5/2023,,3/26/2023,0.46,2/18/2023,0.46,1/18/2023,0.46,12/11/2022,0.46,11/4/2022,0.44,10/19/2022,0.44,9/15/2022,0.45,8/13/2022,0.46,7/15/2022,0.46,6/14/2022,0.49,5/12/2022,0.49,4/22/2022,,3/20/2022,0.41,2/19/2022,0.41,1/17/2022,0.41,12/11/2021,0.4,11/6/2021,0.4,10/14/2021,0.4,9/11/2021,0.4,8/7/2021,0.4,7/9/2021,0.4,6/7/2021,0.39,5/9/2021,0.39,4/19/2021,0.35,3/19/2021,0.35,2/19/2021,0.26,1/14/2021,0.26,1/13/2021
,,9/30/2024,,0.54,,0.54,,0.51,,0.51,,0.54,,0.54,,,,0.45,,0.45,,0.45,,0.45,,0.44,,0.44,,0.44,,0.45,,0.45,,0.45,,0.45,,,,0.4,,0.4,,0.4,,0.4,,0.4,,0.4,,0.38,,0.38,,0.38,,0.37,,0.37,,0.33,,0.32,,0.25,,0.25,
,,6/30/2024,,0.51,,0.51,,0.5,,0.51,,0.51,,0.51,,,,0.42,,0.43,,0.43,,0.42,,0.42,,0.42,,0.43,,0.42,,0.42,,0.43,,0.43,,,,0.39,,0.39,,0.39,,0.39,,0.39,,0.39,,0.37,,0.37,,0.38,,0.35,,0.35,,0.31,,0.3,,0.22,,0.22,
,,3/30/2024,,0.48,,0.47,,0.48,,0.48,,0.49,,0.49,,,,0.36,,0.4,,0.4,,0.39,,0.4,,0.4,,0.41,,0.42,,0.42,,0.42,,0.42,,,,0.36,,0.36,,0.36,,0.35,,0.35,,0.35,,0.36,,0.36,,0.36,,0.34,,0.34,,0.31,,0.3,,0.21,,0.21,
,,12/31/2023,,0.48,3/26/2023,0.47,3/26/2023,0.48,3/26/2023,0.48,3/26/2023,0.5,3/26/2023,0.49,3/26/2023,0.46,3/26/2023,0.46,2/18/2023,0.46,1/18/2023,0.46,12/11/2022,0.46,11/4/2022,0.44,10/19/2022,0.44,9/15/2022,0.45,8/13/2022,0.46,7/15/2022,0.46,6/14/2022,0.49,5/12/2022,0.49,4/22/2022,,3/20/2022,0.41,2/19/2022,0.41,1/17/2022,0.41,12/11/2021,0.4,11/6/2021,0.4,10/14/2021,0.4,9/11/2021,0.4,8/7/2021,0.4,7/9/2021,0.4,6/7/2021,0.39,5/9/2021,0.39,4/19/2021,0.35,3/19/2021,0.35,2/19/2021,0.26,1/14/2021,0.26,1/13/2021
,11/2/2023,9/30/2023,0.33,0.56,,0.49,,0.49,,0.48,,0.47,,0.45,,0.45,,0.45,,0.45,,0.45,,0.44,,0.44,,0.44,,0.45,,0.45,,0.45,,0.45,,,,0.4,,0.4,,0.4,,0.4,,0.4,,0.4,,0.38,,0.38,,0.38,,0.37,,0.37,,0.33,,0.32,,0.25,,0.25,,,
,8/5/2023,6/30/2023,0.13,0.51,,0.46,,0.44,,0.41,,0.42,,0.43,,0.43,,0.42,,0.42,,0.42,,0.43,,0.42,,0.42,,0.43,,0.43,,,,0.39,,0.39,,0.39,,0.39,,0.39,,0.39,,0.37,,0.37,,0.38,,0.35,,0.35,,0.31,,0.3,,0.22,,0.22,,,,,,,
,5/4/2023,3/30/2023,0.2,0.42,,0.36,,0.36,,0.4,,0.4,,0.39,,0.4,,0.4,,0.41,,0.42,,0.42,,0.42,,0.42,,,,0.36,,0.36,,0.36,,0.35,,0.35,,0.35,,0.36,,0.36,,0.36,,0.34,,0.34,,0.31,,0.3,,0.21,,0.21,,,,,,,,,,,
,2/16/2023,12/31/2022,0.93,0.4,,0.4,,0.4,,0.39,,0.39,,0.39,,0.39,,0.41,,0.41,,0.41,,0.44,,0.44,,0.41,2/19/2022,0.41,1/17/2022,0.41,12/11/2021,0.4,11/6/2021,0.4,10/14/2021,0.4,9/11/2021,0.4,8/7/2021,0.4,7/9/2021,0.4,6/7/2021,0.39,5/9/2021,0.39,4/19/2021,0.35,3/19/2021,0.35,2/19/2021,0.26,1/14/2021,0.26,1/13/2021,,,,,,,,,,,,,,
,11/3/2022,9/30/2022,0.23,0.43,,0.38,,0.38,,0.38,,0.39,,0.39,,0.39,,0.42,,0.42,,0.4,,0.4,,0.4,,0.4,,0.4,,0.4,,0.38,,0.38,,0.38,,0.37,,0.37,,0.33,,0.32,,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,
