Q_Report_Date,Date,Q_EPS_Diluted,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,12/31/2020,2.05,2.36,2.36,2.33,2.38,2.4,2.22,2.289230769,2.196181534,2.095707472,,,,,
,9/30/2020,1.76,2.11,2.11,2.07,2.2,2.17,2.01,1.8830769230000002,1.90172144,1.86009539,,,,,
,6/30/2020,1.79,1.97,1.97,1.98,2.11,2.19,2.06,1.833846154,1.8403755869999998,1.7732909380000001,,,,,
,3/31/2020,1.68,2.01,2.01,2.03,2.08,1.9692307690000002,1.9630672930000002,1.9096979330000001,,,,,,,
,12/31/2019,1.44,1.74,1.74,1.75,1.8,1.88,1.86,1.82,1.79,1.69,1.6,1.54,2.28,2.56,2.28
,9/30/2019,1.07,1.52,1.52,1.55,1.58,1.53,1.5,1.55,1.5,1.51,1.58,2.05,2.52,2.61,
,6/28/2019,0.8824912970000001,1.44,1.43,1.44,1.48,1.49,1.47,1.5,1.43,1.47,1.54,1.86,2.29,2.4,
,3/29/2019,0.9794439309999999,1.6,1.54,1.64,1.67,2.04,2.56,2.08,,,,,,,
,12/31/2018,4.414173783,1.35,1.19,1.77,2.11,2.0,2.01,1.87,1.9,1.45,,,,,
,9/28/2018,1.438410437,1.69,2.08,2.02,1.99,2.0,1.87,1.73,1.6,,,,,,
,6/29/2018,1.4367971959999999,1.96,1.92,1.9,1.89,1.73,1.55,1.47,,,,,,,
,3/29/2018,-1.9918787169999999,1.98,1.96,1.79,1.57,1.51,1.37,,,,,,,,
,12/29/2017,4.770601077,1.38,1.32,1.26,,,,,,,,,,,
,9/29/2017,0.7759888709999999,1.43,1.33,,,,,,,,,,,,
,6/30/2017,0.7309208340000001,1.16,,,,,,,,,,,,,
,3/31/2017,0.987723991,1.01,,,,,,,,,,,,,
,12/30/2016,1.1166715729999999,0.85,,,,,,,,,,,,,
,9/30/2016,-0.17189641100000003,0.78,,,,,,,,,,,,,
,6/30/2016,0.690913909,0.91,,,,,,,,,,,,,
,3/31/2016,0.7397380170000001,0.83,,,,,,,,,,,,,
,12/31/2015,0.859667452,0.76,,,,,,,,,,,,,
,9/30/2015,0.9471259390000001,0.86,,,,,,,,,,,,,
,6/30/2015,0.555107659,0.96,,,,,,,,,,,,,
,3/31/2015,-0.44100459799999997,1.3,,,,,,,,,,,,,
,12/31/2014,1.07,1.43,,,,,,,,,,,,,
,9/30/2014,1.88,1.84,,,,,,,,,,,,,
,6/30/2014,2.0,1.95,,,,,,,,,,,,,
,3/31/2014,2.22,2.07,,,,,,,,,,,,,
,12/31/2013,2.1,,,,,,,,,,,,,,
,9/30/2013,1.79,,,,,,,,,,,,,,
,6/28/2013,1.28,,,,,,,,,,,,,,
,3/28/2013,2.0,,,,,,,,,,,,,,
,12/31/2012,1.1,,,,,,,,,,,,,,
,9/28/2012,1.11,,,,,,,,,,,,,,
,6/29/2012,1.37,,,,,,,,,,,,,,
,3/30/2012,1.23,,,,,,,,,,,,,,
,12/30/2011,1.52,,,,,,,,,,,,,,
,9/30/2011,1.01,,,,,,,,,,,,,,
,6/30/2011,0.97,,,,,,,,,,,,,,
,3/31/2011,1.39,,,,,,,,,,,,,,
,12/31/2010,0.91,,,,,,,,,,,,,,
,9/30/2010,-0.27,,,,,,,,,,,,,,
,6/30/2010,0.42,,,,,,,,,,,,,,
,3/31/2010,0.22,,,,,,,,,,,,,,
,12/31/2009,-0.04,,,,,,,,,,,,,,
,9/30/2009,0.28,,,,,,,,,,,,,,
,6/30/2009,0.21,,,,,,,,,,,,,,
,3/31/2009,-0.3,,,,,,,,,,,,,,
,12/31/2008,-1.49,,,,,,,,,,,,,,
,9/30/2008,0.49,,,,,,,,,,,,,,
,6/30/2008,2.42,,,,,,,,,,,,,,
,3/31/2008,0.41,,,,,,,,,,,,,,
,12/31/2007,0.57,,,,,,,,,,,,,,
,9/28/2007,0.41,,,,,,,,,,,,,,
,6/29/2007,0.82,,,,,,,,,,,,,,
,3/30/2007,0.54,,,,,,,,,,,,,,
,12/29/2006,-0.55,,,,,,,,,,,,,,
,9/29/2006,0.43,,,,,,,,,,,,,,
,6/30/2006,-0.2,,,,,,,,,,,,,,
,3/31/2006,-0.12,,,,,,,,,,,,,,
,12/30/2005,-0.1,,,,,,,,,,,,,,
,9/30/2005,-0.09,,,,,,,,,,,,,,
,6/30/2005,-0.43,,,,,,,,,,,,,,
,3/31/2005,-0.3,,,,,,,,,,,,,,
,12/31/2004,-1.32,,,,,,,,,,,,,,
,9/30/2004,-0.36,,,,,,,,,,,,,,
,6/30/2004,-0.28,,,,,,,,,,,,,,
,3/31/2004,-0.31,,,,,,,,,,,,,,
,12/31/2003,-0.15,,,,,,,,,,,,,,
,9/30/2003,-0.18,,,,,,,,,,,,,,
,6/30/2003,-0.16,,,,,,,,,,,,,,
,3/31/2003,-0.12,,,,,,,,,,,,,,
