CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2025,,1.08,11/7/2024,1.18,9/15/2024,1.21,8/3/2024,1.24,6/21/2024,1.24,5/4/2024,1.03,4/5/2024,1.04,2/17/2024,0.99,1/26/2024,0.99,12/26/2023,0.98,11/3/2023,1.02,9/22/2023,1.01,8/5/2023,1.04,6/21/2023,1.03,5/13/2023,,3/24/2023,0.78,2/16/2023,0.9,1/15/2023,0.88,12/8/2022,0.9,11/3/2022,1.23,10/12/2022,1.37,9/10/2022,1.32,8/7/2022,1.32,7/4/2022,1.32,6/2/2022,1.28,5/1/2022,1.28,4/11/2022,,3/10/2022,1.1,2/2/2022,1.05,1/3/2022,1.05,12/3/2021,1.02,10/28/2021,1.01,10/5/2021,1.01,8/31/2021,1.01,7/31/2021,1.01,6/24/2021,1.01,5/25/2021,0.96,4/27/2021,0.96,4/3/2021
,,9/30/2025,,1.04,,1.12,,1.12,,1.19,,1.19,,0.93,,0.91,,0.92,,0.92,,0.91,,0.94,,0.92,,0.95,,0.95,,,,0.71,,0.85,,0.85,,0.85,,1.19,,1.32,,1.25,,1.26,,1.28,,1.24,,1.24,,,,1.06,,1.01,,1.01,,1,,1,,1,,1,,0.99,,0.99,,0.94,,0.94,
,,6/30/2025,,0.9,,1.02,,1.02,,1.06,,1.07,,0.74,,0.74,,0.76,,0.76,,0.77,,0.84,,0.83,,0.85,,0.86,,,,0.62,,0.79,,0.82,,0.89,,1.15,,1.22,,1.17,,1.19,,1.21,,1.19,,1.19,,,,1.02,,0.97,,0.97,,0.96,,0.97,,0.97,,0.97,,0.93,,0.93,,0.87,,0.87,
,,3/30/2025,,0.77,,0.95,,0.95,,1,,0.99,,0.62,,0.62,,0.64,,0.64,,0.65,,0.72,,0.72,,0.74,,0.75,,,,0.57,,0.8,,0.83,,0.89,,1.14,,1.18,,1.15,,1.14,,1.13,,1.14,,1.14,,,,0.97,,0.89,,0.89,,0.89,,0.92,,0.92,,0.92,,0.89,,0.89,,0.81,,0.81,
,,12/31/2024,,0.8,4/5/2024,0.96,4/5/2024,0.97,4/5/2024,1.01,4/5/2024,1,4/5/2024,1.03,4/5/2024,1.04,2/17/2024,0.99,1/26/2024,0.99,12/26/2023,0.98,11/3/2023,1.02,9/22/2023,1.01,8/5/2023,1.04,6/21/2023,1.03,5/13/2023,,3/24/2023,0.78,2/16/2023,0.9,1/15/2023,0.88,12/8/2022,0.9,11/3/2022,1.23,10/12/2022,1.37,9/10/2022,1.32,8/7/2022,1.32,7/4/2022,1.32,6/2/2022,1.28,5/1/2022,1.28,4/11/2022,,3/10/2022,1.1,2/2/2022,1.05,1/3/2022,1.05,12/3/2021,1.02,10/28/2021,1.01,10/5/2021,1.01,8/31/2021,1.01,7/31/2021,1.01,6/24/2021,1.01,5/25/2021,0.96,4/27/2021,0.96,4/3/2021
,11/4/2024,9/30/2024,0.51,0.77,,0.78,,0.79,,0.88,,0.89,,0.93,,0.91,,0.92,,0.92,,0.91,,0.94,,0.92,,0.95,,0.95,,,,0.71,,0.85,,0.85,,0.85,,1.19,,1.32,,1.25,,1.26,,1.28,,1.24,,1.24,,,,1.06,,1.01,,1.01,,1,,1,,1,,1,,0.99,,0.99,,0.94,,0.94,
,7/31/2024,6/30/2024,0.45,0.71,,0.7,,0.71,,0.74,,0.74,,0.76,,0.76,,0.77,,0.84,,0.83,,0.85,,0.86,,,,0.62,,0.79,,0.82,,0.89,,1.15,,1.22,,1.17,,1.19,,1.21,,1.19,,1.19,,,,1.02,,0.97,,0.97,,0.96,,0.97,,0.97,,0.97,,0.93,,0.93,,0.87,,0.87,,,,,
,5/1/2024,3/30/2024,0.3,0.68,,0.62,,0.62,,0.64,,0.64,,0.65,,0.72,,0.72,,0.74,,0.75,,,,0.57,,0.8,,0.83,,0.89,,1.14,,1.18,,1.15,,1.14,,1.13,,1.14,,1.14,,,,0.97,,0.89,,0.89,,0.89,,0.92,,0.92,,0.92,,0.89,,0.89,,0.81,,0.81,,,,,,,,,
,2/13/2024,12/31/2023,0.25,0.65,3/24/2023,0.58,3/24/2023,0.58,3/24/2023,0.6,3/24/2023,0.66,3/24/2023,0.67,3/24/2023,0.65,3/24/2023,0.66,3/24/2023,0.77,3/24/2023,0.78,2/16/2023,0.9,1/15/2023,0.88,12/8/2022,0.9,11/3/2022,1.23,10/12/2022,1.37,9/10/2022,1.32,8/7/2022,1.32,7/4/2022,1.32,6/2/2022,1.28,5/1/2022,1.28,4/11/2022,,3/10/2022,1.1,2/2/2022,1.05,1/3/2022,1.05,12/3/2021,1.02,10/28/2021,1.01,10/5/2021,1.01,8/31/2021,1.01,7/31/2021,1.01,6/24/2021,1.01,5/25/2021,0.96,4/27/2021,0.96,4/3/2021,,,,,,,,,,,,
,11/2/2023,9/30/2023,0.22,0.68,,0.6,,0.63,,0.61,,0.62,,0.68,,0.71,,0.85,,0.85,,0.85,,1.19,,1.32,,1.25,,1.26,,1.28,,1.24,,1.24,,,,1.06,,1.01,,1.01,,1,,1,,1,,1,,0.99,,0.99,,0.94,,0.94,,,,,,,,,,,,,,,,,,,
