CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted Net Income,,12/31/2023,,1.41,11/3/2022,1.46,10/20/2022,1.57,9/16/2022,1.57,8/13/2022,1.82,7/14/2022,1.83,6/12/2022,1.84,5/11/2022,1.68,3/29/2022,1.59,2/27/2022,1.56,1/19/2022,1.57,12/12/2021,1.62,11/6/2021,1.76,10/14/2021,1.82,9/11/2021,1.82,8/7/2021,1.82,7/9/2021,1.83,6/4/2021,1.8,5/7/2021,1.8,3/27/2021,1.54,2/28/2021,1.54,1/7/2021,1.54,12/7/2020,1.55,11/6/2020,1.53,10/12/2020,1.53,9/13/2020,1.58,8/6/2020,1.58,8/5/2020
,,9/30/2023,,1.36,,1.45,,1.6,,1.6,,1.83,,1.85,,1.86,,1.69,,1.66,,1.65,,1.65,,1.67,,1.85,,1.89,,1.85,,1.85,,1.86,,1.84,,1.84,,1.56,,1.56,,1.56,,1.55,,1.49,,1.49,,1.39,,1.39,
,,6/30/2023,,1.23,,1.31,,1.35,,1.35,,1.6,,1.63,,1.64,,1.34,,1.4,,1.49,,1.49,,1.54,,1.66,,1.67,,1.67,,1.68,,1.67,,1.67,,1.67,,1.43,,1.43,,1.42,,1.43,,1.42,,1.42,,1.26,,1.26,
,,3/30/2023,,1.13,,1.24,,1.28,,1.28,,1.38,,1.41,,1.42,,1.05,,1.21,,1.35,,1.36,,1.43,,1.53,,1.51,,1.5,,1.53,,1.51,,1.51,,1.51,,1.37,,1.38,,1.38,,1.38,,1.34,,1.34,,1.24,,1.24,
,,12/31/2022,,1.3,,1.38,,1.43,,1.45,,1.68,,1.68,,1.68,,1.68,,1.59,,1.56,1/19/2022,1.57,12/12/2021,1.62,11/6/2021,1.76,10/14/2021,1.82,9/11/2021,1.82,8/7/2021,1.82,7/9/2021,1.83,6/4/2021,1.8,5/7/2021,1.8,3/27/2021,1.54,2/28/2021,1.54,1/7/2021,1.54,12/7/2020,1.55,11/6/2020,1.53,10/12/2020,1.53,9/13/2020,1.58,8/6/2020,1.58,8/5/2020
,11/2/2022,9/30/2022,0.56,1.06,,1.36,,1.45,,1.47,,1.69,,1.69,,1.69,,1.69,,1.66,,1.65,,1.65,,1.67,,1.85,,1.89,,1.85,,1.85,,1.86,,1.84,,1.84,,1.56,,1.56,,1.56,,1.55,,1.49,,1.49,,1.39,,1.39,
,8/3/2022,6/30/2022,0.35,0.98,,1.35,,1.35,,1.35,,1.34,,1.4,,1.49,,1.49,,1.54,,1.66,,1.67,,1.67,,1.68,,1.67,,1.67,,1.67,,1.43,,1.43,,1.42,,1.43,,1.42,,1.42,,1.26,,1.26,,,,,,,
,5/4/2022,3/31/2022,0.64,1.09,,1.05,,1.21,,1.35,,1.36,,1.43,,1.53,,1.51,,1.5,,1.53,,1.51,,1.51,,1.51,,1.37,,1.38,,1.38,,1.38,,1.34,,1.34,,1.24,,1.24,,,,,,,,,,,,,
,2/23/2022,12/31/2021,0.5,1.26,,1.32,,1.32,,1.38,,1.7,,1.73,,1.68,,1.68,,1.68,,1.6,,1.55,3/27/2021,1.54,2/28/2021,1.54,1/7/2021,1.54,12/7/2020,1.55,11/6/2020,1.53,10/12/2020,1.53,9/13/2020,1.58,8/6/2020,1.58,8/5/2020,,,,,,,,,,,,,,,,
,11/3/2021,9/30/2021,0.88,1.45,,1.68,,1.71,,1.72,,1.7,,1.7,,1.62,,1.59,,1.56,,1.56,,1.56,,1.55,,1.49,,1.49,,1.39,,1.39,,,,,,,,,,,,,,,,,,,,,,,
